NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MACHCHHU-II,57.3,56.23,0.091,0.065,2020-12-17,71,89,65,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,55.56,0.091,0.055,2021-03-25,60,76,40,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,56.63,0.091,0.072,2020-02-06,79,40,22,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,56.1,0.091,0.063,2023-10-26,69.0,73.0,65.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,57.02,0.091,0.079,2021-11-24,87.0,82.0,66.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,53.94,0.091,0.034,2022-06-09,37.0,42.0,19.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.79,0.091,0.044,2022-08-18,48.0,46.0,46.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,57.09,0.091,0.08,2021-11-17,88.0,86.0,67.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,55.09,0.091,0.048,2022-08-25,53.0,44.0,47.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,56.08,0.091,0.063,2023-09-06,69.0,58.0,49.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.04,0.091,0.035,2020-07-23,38,8,29,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,55.99,0.091,0.061,2021-01-21,67,81,64,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.85,0.091,0.045,2021-08-04,49,33,41,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,55.64,0.091,0.056,2021-03-17,62,77,45,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,53.9,0.091,0.033,2023-05-04,36.0,57.0,38.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.93,0.091,0.05,2024-01-04,55.0,38.0,56.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,57.3,0.091,0.084,2020-09-24,92,92,54,10,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.07,0.091,0.035,2020-07-09,38,21,18,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,56.18,0.091,0.064,2023-10-19,70.0,76.0,67.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,52.94,0.091,0.024,2022-06-23,26.0,36.0,14.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,53.94,0.091,0.034,2021-06-17,37,46,15,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.65,0.091,0.042,2021-06-02,46,51,20,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.77,0.091,0.044,2021-08-12,48,41,48,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,53.21,0.091,0.03,2024-03-13,33.0,42.0,47.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,53.8,0.091,0.032,2024-03-28,35.0,45.0,56.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,55.76,0.091,0.052,2023-12-21,57.0,46.0,63.0,10.13,0.0,70.8654774481862,22.7633457042978
MACHCHHU-II,57.3,54.63,0.091,0.042,2024-01-10,46.0,33.0,58.0,10.13,0.0,70.8654774481862,22.7633457042978
