NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MACHKUND(JALAPUT),838.16,837.51,0.893,0.829,2016-10-27,93,94,90,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,837.98,0.893,0.872,2020-12-16,98,89,88,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,830.82,0.893,0.383,2015-07-22,43,43,35,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,837.62,0.893,0.838,2018-10-03,94,86,86,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,824.18,0.893,0.126,2017-06-08,14,27,34,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,832.91,0.893,0.5,2021-03-25,56,60,62,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,835.43,0.893,0.668,2020-02-06,75,69,72,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,833.78,0.893,0.551,2017-08-31,62,67,65,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,832.59,0.893,0.483,2023-10-26,54.0,76.0,76.0,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,829.6,0.893,0.325,2016-05-11,36,31,41,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,826.92,0.893,0.216,2018-05-30,24,16,33,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,835.79,0.893,0.694,2016-12-21,78,78,81,-,115,18.459192,82.548478
MACHKUND(JALAPUT),838.16,833.29,0.893,0.523,2021-11-25,59.0,95.0,91.0,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,820.81,0.893,0.042,2022-06-09,5.0,30.0,30.0,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,827.44,0.893,0.236,2022-08-18,26.0,23.0,53.0,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,833.37,0.893,0.535,2021-11-17,60.0,97.0,91.0,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,827.41,0.893,0.235,2022-08-25,26.0,26.0,58.0,0.0,115.0,18.459192,82.548478
MACHKUND(JALAPUT),838.16,826.94,0.893,0.216,2023-09-06,24.0,42.0,57.0,0.0,115.0,18.459192,82.548478
