NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MAHANADI,348.7,348.68,0.767,0.765,2016-10-26,100,47,71,319,10,20.860055,84.149394
MAHANADI,348.7,348.57,0.767,0.755,2020-12-17,98,89,79,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,340.96,0.767,0.2,2015-07-22,26,51,52,319,10,20.860055,84.149394
MAHANADI,348.7,345.43,0.767,0.488,2018-10-04,64,36,77,319,10,20.860055,84.149394
MAHANADI,348.7,338.78,0.767,0.092,2017-06-07,12,23,25,319,10,20.860055,84.149394
MAHANADI,348.7,346.82,0.767,0.598,2021-03-25,78,72,55,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,347.39,0.767,0.643,2020-02-06,84,63,67,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,341.93,0.767,0.254,2017-08-31,33,78,73,319,10,20.860055,84.149394
MAHANADI,348.7,343.01,0.767,0.321,2023-10-26,42.0,98.0,72.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,340.54,0.767,0.179,2016-05-11,23,13,34,319,10,20.860055,84.149394
MAHANADI,348.7,341.1,0.767,0.206,2018-05-30,27,13,25,319,10,20.860055,84.149394
MAHANADI,348.7,348.63,0.767,0.76,2016-12-21,99,48,77,319,10,20.860055,84.149394
MAHANADI,348.7,347.92,0.767,0.693,2021-11-25,90.0,98.0,83.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.78,0.767,0.369,2022-06-09,48.0,36.0,25.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,348.57,0.767,0.755,2022-08-18,98.0,39.0,60.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,347.62,0.767,0.664,2021-11-18,87.0,99.0,78.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,348.66,0.767,0.763,2022-08-25,99.0,38.0,62.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,344.29,0.767,0.401,2023-09-05,52.0,100.0,65.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,341.22,0.767,0.212,2018-05-23,28,15,25,319,10,20.860055,84.149394
MAHANADI,348.7,344.26,0.767,0.399,2020-07-22,52,22,34,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.38,0.767,0.344,2015-12-02,45,90,77,319,10,20.860055,84.149394
MAHANADI,348.70,348.67,0.767,0.764,2022-11-10,100.0,84.0,7.0,31,10.0,20.860055,84.149394
MAHANADI,348.7,347.74,0.767,0.675,2021-01-21,88,85,77,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,342.78,0.767,0.308,2021-08-05,40,56,52,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.82,0.767,0.371,2015-12-16,48,94,80,319,10,20.860055,84.149394
MAHANADI,348.7,346.03,0.767,0.535,2021-03-18,70,74,58,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,339.5,0.767,0.13,2017-08-24,17,90,69,319,10,20.860055,84.149394
MAHANADI,348.7,344.54,0.767,0.418,2018-10-10,54,31,67,319,10,20.860055,84.149394
MAHANADI,348.7,343.7,0.767,0.364,2023-05-04,47.0,58.0,30.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.19,0.767,0.332,2024-01-04,43.0,95.0,85.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,344.33,0.767,0.403,2016-07-27,53,26,52,319,10,20.860055,84.149394
MAHANADI,348.7,342.62,0.767,0.297,2016-07-13,39,36,42,319,10,20.860055,84.149394
MAHANADI,348.7,348.22,0.767,0.722,2020-09-24,94,64,85,319,10.0,20.860055,84.149394
MAHANADI,348.7,344.08,0.767,0.388,2020-07-08,51,17,24,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.01,0.767,0.321,2016-02-18,42,71,68,319,10,20.860055,84.149394
MAHANADI,348.7,343.47,0.767,0.349,2023-10-19,46.0,92.0,67.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,340.43,0.767,0.174,2016-05-04,23,17,37,319,10,20.860055,84.149394
MAHANADI,348.7,342.66,0.767,0.299,2019-04-10,39,47,45,319,10,20.860055,84.149394
MAHANADI,348.7,343.69,0.767,0.363,2022-06-23,47.0,43.0,27.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,348.65,0.767,0.762,2016-12-08,99,46,73,319,10,20.860055,84.149394
MAHANADI,348.7,343.15,0.767,0.33,2019-04-03,43,49,48,319,10,20.860055,84.149394
MAHANADI,348.7,342.53,0.767,0.291,2021-06-17,38,37,23,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,342.31,0.767,0.278,2021-06-03,36,38,23,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,342.08,0.767,0.263,2017-04-26,34,28,37,319,10,20.860055,84.149394
MAHANADI,348.7,343.01,0.767,0.321,2016-02-18,42,71,68,319,10,20.860055,84.149394
MAHANADI,348.7,342.71,0.767,0.302,2021-08-12,39,55,53,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,341.27,0.767,0.214,2024-03-14,28.0,78.0,62.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,341.02,0.767,0.202,2024-03-28,26.0,72.0,63.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,338.79,0.767,0.092,2017-06-21,12,21,25,319,10,20.860055,84.149394
MAHANADI,348.7,343.34,0.767,0.341,2023-12-21,44.0,97.0,83.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.07,0.767,0.325,2024-01-11,42.0,94.0,78.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.94,0.767,0.379,2023-05-11,49.0,54.0,27.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,340.12,0.767,0.159,2015-07-08,21,25,43,319,10,20.860055,84.149394
MAHANADI,348.7,345.41,0.767,0.487,2015-09-30,63,92,88,319,10,20.860055,84.149394
MAHANADI,348.7,345.95,0.767,0.529,2019-01-24,69,55,71,319,10,20.860055,84.149394
MAHANADI,348.7,342.91,0.767,0.315,2019-08-14,41,65,65,319,10,20.860055,84.149394
MAHANADI,348.7,342.73,0.767,0.304,2017-11-02,40,99,75,319,10,20.860055,84.149394
MAHANADI,348.7,342.58,0.767,0.294,2017-11-15,38,100,75,319,10,20.860055,84.149394
MAHANADI,348.7,347.41,0.767,0.644,2022-03-17,84.0,70.0,61.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,347.79,0.767,0.68,2019-11-20,89,69,73,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,342.89,0.767,0.314,2020-05-20,41,20,23,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,343.77,0.767,0.368,2015-10-28,48,90,74,319,10,20.860055,84.149394
MAHANADI,348.7,343.76,0.767,0.367,2015-10-14,48,100,78,319,10,20.860055,84.149394
MAHANADI,348.7,345.89,0.767,0.524,2018-12-13,68,42,73,319,10,20.860055,84.149394
MAHANADI,348.7,339.26,0.767,0.117,2024-04-25,15.0,50.0,41.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,344.57,0.767,0.42,2020-07-29,55,23,43,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,348.55,0.767,0.753,2022-11-17,98.0,87.0,79.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,346.17,0.767,0.546,2017-03-15,71,39,57,319,10,20.860055,84.149394
MAHANADI,348.7,346.76,0.767,0.593,2017-03-02,77,41,61,319,10,20.860055,84.149394
MAHANADI,348.7,343.57,0.767,0.355,2015-12-09,46,90,77,319,10,20.860055,84.149394
MAHANADI,348.7,348.6,0.767,0.766,2022-11-03,100.0,84.0,78.0,31,10.0,20.860055,84.149394
MAHANADI,348.7,344.85,0.767,0.442,2023-09-29,58.0,93.0,81.0,319.0,10.0,20.860055,84.149394
MAHANADI,348.7,347.8,0.767,0.681,2022-01-06,89.0,95.0,83.0,319.0,10.0,20.860055,84.149394
