NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MAHI BAJAJ SAGAR,280.75,281.5,1.711,1.711,2016-10-27,100,99,87,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,279.1,1.711,1.495,2020-12-17,87,95,81,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,270.9,1.711,0.679,2015-07-22,40,40,35,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.7,1.711,1.71,2018-10-03,100,100,87,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,269.55,1.711,0.557,2017-06-08,33,20,21,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,271.0,1.711,0.689,2021-03-25,40,47,37,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,276.4,1.711,1.181,2020-02-06,69,57,51,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,281.3,1.711,1.711,2017-08-31,100,100,79,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.95,1.711,1.711,2023-10-26,100.0,100.0,100.0,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,266.5,1.711,0.352,2016-05-11,21,30,23,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,269.35,1.711,0.542,2018-05-31,32,33,23,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,279.2,1.711,1.51,2016-12-22,88,71,66,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.5,1.711,1.692,2021-11-25,99.0,99.0,97.0,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,269.2,1.711,0.531,2022-06-09,31.0,31.0,32.0,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.2,1.711,1.65,2022-08-18,96.0,59.0,81.0,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.85,1.711,1.711,2021-11-18,100.0,100.0,99.0,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.6,1.711,1.701,2022-08-25,99.0,66.0,84.0,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,278.25,1.711,1.381,2023-09-05,81.0,100.0,94.0,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,269.55,1.711,0.557,2018-05-24,33,33,23,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,270.35,1.711,0.627,2020-07-23,37,52,39,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,278.25,1.711,1.381,2015-12-02,81,91,77,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,276.6,1.711,1.202,2021-01-21,70,77,65,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,272.4,1.711,0.806,2021-08-05,47,38,62,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,277.1,1.711,1.258,2015-12-17,74,83,70,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,271.55,1.711,0.731,2021-03-18,43,50,39,63.0,140.0,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.35,1.711,1.674,2017-08-24,98,100,75,63,140,23.6284854,74.5472827
MAHI BAJAJ SAGAR,280.75,280.9,1.711,1.711,2018-10-10,100,100,87,63,140,23.6284854,74.5472827
