NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MAITHON,146.3,148.72,0.471,0.471,2016-10-25,100,40,90,342,-,23.838125,86.8075539772727
MAITHON,146.3,149.09,0.471,0.471,2020-12-17,100,100,80,342.0,0.0,23.838125,86.8075539772727
MAITHON,146.3,142.99,0.471,0.27,2015-07-23,57,67,57,342,-,23.838125,86.8075539772727
MAITHON,146.3,146.52,0.471,0.454,2018-10-04,96,100,94,342,-,23.838125,86.8075539772727
MAITHON,146.3,122.8,0.471,0.089,2017-06-08,19,7,27,342,-,23.838125,86.8075539772727
MAITHON,146.3,146.08,0.471,0.429,2021-03-25,91,100,55,342.0,0.0,23.838125,86.8075539772727
MAITHON,146.3,149.11,0.471,0.471,2020-02-06,100,49,76,342.0,0.0,23.838125,86.8075539772727
MAITHON,146.3,145.01,0.471,0.371,2017-08-31,79,100,84,342,-,23.838125,86.8075539772727
MAITHON,146.3,147.5,0.471,0.471,2023-10-26,100.0,100.0,89.0,342.0,0.0,23.838125,86.8075539772727
MAITHON,146.3,135.8,0.471,0.05,2016-05-12,11,18,29,342,-,23.838125,86.8075539772727
MAITHON,146.3,139.03,0.471,0.127,2018-05-31,27,25,27,342,-,23.838125,86.8075539772727
MAITHON,146.3,148.73,0.471,0.471,2016-12-22,100,33,85,342,-,23.838125,86.8075539772727
MAITHON,146.3,148.07,0.471,0.471,2021-11-24,100.0,100.0,84.0,342.0,0.0,23.838125,86.8075539772727
MAITHON,146.3,138.68,0.471,0.116,2022-06-09,25.0,40.0,33.0,342.0,0.0,23.838125,86.8075539772727
MAITHON,146.3,139.69,0.471,0.148,2022-08-18,31.0,100.0,75.0,342.0,0.0,23.838125,86.8075539772727
MAITHON,146.3,148.11,0.471,0.471,2021-11-18,100.0,100.0,85.0,342.0,0.0,23.838125,86.8075539772727
