NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MALAMPUZHA,115.06,108.28,0.224,0.094,2016-10-26,42,64,88,21,3,10.8190998,76.6652482
MALAMPUZHA,115.06,112.97,0.224,0.176,2020-12-15,79,85,66,21.17,2.5,10.8190998,76.6652482
MALAMPUZHA,867.41,863.12,0.224,0.107,2015-07-22,53,37,52,84,140,10.8190998,76.6652482
MALAMPUZHA,115.06,114.03,0.224,0.198,2018-10-04,88,62,76,21,3,10.8190998,76.6652482
MALAMPUZHA,115.06,100.39,0.224,0.018,2017-06-01,8,7,21,21,3,10.8190998,76.6652482
MALAMPUZHA,115.06,104.32,0.224,0.046,2021-03-25,21,20,19,21.17,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,108.43,0.224,0.096,2020-02-06,43,26,29,21.165,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,107.62,0.224,0.085,2017-08-31,38,38,71,21,3,10.8190998,76.6652482
MALAMPUZHA,115.06,108.63,0.224,0.099,2023-10-26,44.0,95.0,81.0,21.17,2.5,10.8190998,76.6652482
MALAMPUZHA,867.41,859.19,0.224,0.016,2016-05-12,8,15,32,84,140,10.8190998,76.6652482
MALAMPUZHA,115.06,103.02,0.224,0.035,2018-05-31,16,8,19,21,3,10.8190998,76.6652482
MALAMPUZHA,115.06,106.21,0.224,0.067,2016-12-22,30,50,67,21,3,10.8190998,76.6652482
MALAMPUZHA,115.06,114.6,0.224,0.21,2021-11-25,94.0,89.0,81.0,21.165,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,106.86,0.224,0.075,2022-06-09,33.0,19.0,15.0,21.165,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,113.04,0.224,0.177,2022-08-18,79.0,50.0,61.0,21.165,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,114.45,0.224,0.207,2021-11-18,92.0,95.0,80.0,21.165,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,113.49,0.224,0.187,2022-08-25,83.0,53.0,66.0,21.165,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,105.75,0.224,0.062,2023-09-06,28.0,88.0,72.0,21.17,2.5,10.8190998,76.6652482
MALAMPUZHA,115.06,102.72,0.224,0.033,2018-05-24,15,8,19,21,3,10.8190998,76.6652482
MALAMPUZHA,115.06,105.19,0.224,0.055,2020-07-23,25,22,47,21.165,2.5,10.8190998,76.6652482
