NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MALAPRABHA(RENUKA),633.83,627.57,0.972,0.35,2016-10-27,36,28,71,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,632.26,0.972,0.779,2020-12-17,80,90,41,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,625.05,0.972,0.195,2015-07-22,20,9,29,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,630.95,0.972,0.638,2018-10-04,66,37,61,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,620.14,0.972,0.018,2017-06-08,2,1,5,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,626.38,0.972,0.269,2021-03-25,28,38,11,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,629.9,0.972,0.539,2020-02-06,55,17,19,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,625.94,0.972,0.242,2017-08-31,25,38,59,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,628.61,0.972,0.429,2023-10-26,44.0,100.0,72.0,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,620.22,0.972,0.02,2016-05-11,2,8,7,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,621.39,0.972,0.052,2018-05-30,5,2,6,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,624.98,0.972,0.19,2016-12-22,20,14,47,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,633.07,0.972,0.876,2021-11-25,90.0,94.0,58.0,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,625.77,0.972,0.231,2022-06-09,24.0,19.0,7.0,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,633.13,0.972,0.883,2022-08-18,91.0,92.0,60.0,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,632.95,0.972,0.861,2021-11-18,89.0,98.0,57.0,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,633.44,0.972,0.922,2022-08-25,95.0,95.0,59.0,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,629.67,0.972,0.518,2023-09-06,53.0,100.0,68.0,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,621.49,0.972,0.055,2018-05-23,6,2,6,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,627.93,0.972,0.377,2020-07-23,39,29,22,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,624.1,0.972,0.151,2015-12-02,16,62,65,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,630.13,0.972,0.56,2021-01-21,58,66,26,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,632.73,0.972,0.824,2021-08-05,85,44,40,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,623.98,0.972,0.144,2015-12-14,15,55,58,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,626.91,0.972,0.303,2021-03-18,31,38,12,215.0,0.0,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,625.77,0.972,0.232,2017-08-24,24,38,58,215,-,31.258165,77.6557982
MALAPRABHA(RENUKA),633.83,631.01,0.972,0.644,2018-10-10,66,39,66,215,-,31.258165,77.6557982
