NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MANI DAM,594.36,586.86,0.884,0.519,2020-12-17,59,68,62,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,578.6,0.884,0.241,2021-03-25,27,31,32,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,584.84,0.884,0.441,2020-02-06,50,58,49,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,581.0,0.884,0.31,2023-10-26,35.0,71.0,71.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,586.66,0.884,0.511,2021-11-25,58.0,64.0,68.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,569.07,0.884,0.049,2022-06-09,6.0,6.0,13.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,587.94,0.884,0.564,2022-08-18,64.0,52.0,60.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,586.72,0.884,0.514,2021-11-18,58.0,66.0,69.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,588.52,0.884,0.59,2022-08-25,67.0,54.0,68.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,579.24,0.884,0.26,2023-09-06,29.0,69.0,72.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,576.68,0.884,0.192,2020-07-23,22,18,37,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,585.18,0.884,0.453,2021-01-21,51,55,53,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,583.38,0.884,0.387,2021-08-05,44,26,47,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,580.36,0.884,0.291,2021-03-18,33,33,35,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,572.7,0.884,0.108,2023-05-03,12.0,12.0,20.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,580.25,0.884,0.283,2024-01-04,32.0,51.0,57.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,588.56,0.884,0.591,2020-09-24,67,79,77,0,469.0,13.6759636,75.0477553
MANI DAM,594.36,574.18,0.884,0.137,2020-07-09,15,100,32,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,580.99,0.884,0.309,2023-10-19,35.0,72.0,72.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,569.4,0.884,0.054,2022-06-23,6.0,15.0,16.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,570.52,0.884,0.071,2021-06-17,8,11,15,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,570.44,0.884,0.07,2021-06-03,8,12,14,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,584.84,0.884,0.44,2021-08-12,50,40,54,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,577.34,0.884,0.209,2024-03-14,24.0,26.0,36.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,576.46,0.884,0.188,2024-03-28,21.0,23.0,30.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,580.56,0.884,0.296,2023-12-21,33.0,57.0,61.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,580.25,0.884,0.287,2024-01-11,32.0,49.0,55.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,572.06,0.884,0.098,2023-05-11,11.0,11.0,18.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,579.92,0.884,0.278,2022-03-17,31.0,33.0,36.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,590.16,0.884,0.666,2019-11-21,75,84,67,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,574.0,0.884,0.133,2020-05-20,15,18,16,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,574.7,0.884,0.149,2024-04-25,17.0,14.0,21.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,576.36,0.884,0.185,2020-07-30,21,18,43,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,588.26,0.884,0.578,2022-11-17,65.0,58.0,68.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,580.96,0.884,0.308,2023-09-29,35.0,75.0,73.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,585.2,0.884,0.454,2022-01-05,51.0,54.0,58.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,584.8,0.884,0.44,2022-01-13,50.0,53.0,56.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,588.88,0.884,0.606,2020-10-01,69,79,77,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,579.84,0.884,0.277,2023-09-14,31.0,73.0,70.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,589.04,0.884,0.613,2020-10-15,69,77,76,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,589.12,0.884,0.616,2020-10-29,70,80,73,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,572.02,0.884,0.096,2021-05-27,11,13,15,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,574.74,0.884,0.15,2024-04-18,17.0,17.0,23.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,581.92,0.884,0.338,2023-02-09,38.0,44.0,48.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,580.0,0.884,0.28,2023-02-23,32.0,40.0,44.0,0.0,469.0,13.6759636,75.0477553
MANI DAM,594.36,575.06,0.884,0.155,2021-04-15,18,25,25,0.0,469.0,13.6759636,75.0477553
