NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MANIKDOH,711.25,706.61,0.288,0.21,2016-10-26,73,26,61,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,701.06,0.288,0.133,2020-12-17,46,87,51,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,688.2,0.288,0.042,2015-07-22,15,9,17,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,707.09,0.288,0.217,2018-10-04,75,81,59,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,685.17,0.288,0.008,2017-06-08,3,1,3,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,689.29,0.288,0.028,2021-03-25,10,32,18,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,701.77,0.288,0.142,2020-02-06,49,13,30,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,706.65,0.288,0.211,2017-08-30,73,67,48,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,707.76,0.288,0.228,2023-10-26,79.0,92.0,68.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,682.88,0.288,0.02,2016-05-11,7,8,6,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,686.86,0.288,0.015,2018-05-31,5,3,3,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,702.9,0.288,0.157,2016-12-21,55,17,44,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,705.27,0.288,0.19,2021-11-25,66.0,47.0,58.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,688.21,0.288,0.022,2022-06-08,8.0,4.0,4.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,705.6,0.288,0.195,2022-08-18,68.0,43.0,52.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,705.24,0.288,0.19,2021-11-18,66.0,47.0,60.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,706.72,0.288,0.212,2022-08-25,74.0,45.0,55.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,704.14,0.288,0.173,2023-09-06,60.0,75.0,64.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,688.81,0.288,0.025,2018-05-23,9,3,3,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,689.28,0.288,0.028,2020-07-23,10,16,23,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,692.62,0.288,0.07,2015-12-02,24,42,57,2.2,6,19.8500056,77.5023636
MANIKDOH,.,7.0,0.288,0.264,2022-11-10,2.0,66.0,62.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,700.71,0.288,0.129,2021-01-21,45,67,42,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,699.32,0.288,0.113,2021-08-05,39,13,41,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,690.8,0.288,0.057,2015-12-16,20,41,52,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,689.44,0.288,0.029,2021-03-18,10,38,20,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,705.18,0.288,0.189,2017-08-23,66,64,45,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,707.05,0.288,0.216,2018-10-11,75,82,60,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,689.91,0.288,0.032,2023-05-04,11.0,9.0,9.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,703.16,0.288,0.16,2024-01-03,56.0,86.0,59.0,2.2,6.0,19.8500056,77.5023636
MANIKDOH,711.25,696.63,0.288,0.105,2016-07-28,36,19,22,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,694.17,0.288,0.083,2016-07-13,29,9,10,2.2,6,19.8500056,77.5023636
MANIKDOH,711.25,700.79,0.288,0.13,2020-09-24,45,82,64,2,6.0,19.8500056,77.5023636
