NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MATATILA,308.46,307.15,0.707,0.502,2016-10-26,71,44,78,-,30,25.1002237,78.3719184832803
MATATILA,308.46,304.56,0.707,0.267,2020-12-17,38,57,52,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,305.96,0.707,0.383,2015-07-22,54,12,41,-,30,25.1002237,78.3719184832803
MATATILA,308.46,308.46,0.707,0.641,2018-10-03,91,91,92,-,30,25.1002237,78.3719184832803
MATATILA,308.46,301.14,0.707,0.064,2017-06-07,9,9,25,-,30,25.1002237,78.3719184832803
MATATILA,308.46,303.73,0.707,0.207,2021-03-25,29,9,30,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,303.92,0.707,0.219,2020-02-05,31,30,44,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,303.03,0.707,0.162,2017-08-30,23,86,79,-,30,25.1002237,78.3719184832803
MATATILA,308.46,306.26,0.707,0.412,2023-10-26,58.0,91.0,75.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.76,0.707,0.146,2016-05-11,21,84,41,-,30,25.1002237,78.3719184832803
MATATILA,308.46,301.36,0.707,0.074,2018-05-30,10,9,28,-,30,25.1002237,78.3719184832803
MATATILA,308.46,305.29,0.707,0.325,2016-12-21,46,63,56,-,30,25.1002237,78.3719184832803
MATATILA,308.46,308.0,0.707,0.592,2021-11-25,84.0,39.0,53.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.27,0.707,0.119,2022-06-09,17.0,10.0,17.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,307.85,0.707,0.576,2022-08-18,81.0,81.0,65.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,308.27,0.707,0.622,2021-11-18,88.0,38.0,56.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,307.51,0.707,0.541,2022-08-25,77.0,83.0,78.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,308.15,0.707,0.608,2023-09-05,86.0,87.0,79.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,301.39,0.707,0.076,2018-05-23,11,10,30,-,30,25.1002237,78.3719184832803
MATATILA,308.46,302.42,0.707,0.127,2020-07-22,18,12,40,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,306.17,0.707,0.404,2015-12-02,57,53,65,-,30,25.1002237,78.3719184832803
MATATILA,308.46,308.46,0.707,0.641,2022-11-10,1.0,1.0,68.0,0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.33,0.707,0.122,2021-01-21,17,36,39,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,306.93,0.707,0.479,2021-08-05,68,20,49,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,306.51,0.707,0.437,2015-12-15,62,39,60,-,30,25.1002237,78.3719184832803
MATATILA,308.46,303.61,0.707,0.199,2021-03-18,28,9,30,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.64,0.707,0.139,2017-08-23,20,81,76,-,30,25.1002237,78.3719184832803
MATATILA,308.46,308.46,0.707,0.641,2018-10-10,91,91,92,-,30,25.1002237,78.3719184832803
MATATILA,308.46,304.59,0.707,0.269,2023-05-03,38.0,31.0,36.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,304.8,0.707,0.285,2024-01-04,40.0,44.0,48.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,306.93,0.707,0.479,2016-07-27,68,59,47,-,30,25.1002237,78.3719184832803
MATATILA,308.46,306.63,0.707,0.449,2016-07-13,64,51,39,-,30,25.1002237,78.3719184832803
MATATILA,308.46,308.46,0.707,0.641,2020-09-24,91,91,93,0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.3,0.707,0.121,2020-07-08,17,8,34,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,303.12,0.707,0.168,2016-02-17,24,28,41,-,30,25.1002237,78.3719184832803
MATATILA,308.46,306.87,0.707,0.473,2023-10-19,67.0,91.0,82.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.73,0.707,0.144,2016-05-04,20,86,45,-,30,25.1002237,78.3719184832803
MATATILA,308.46,303.34,0.707,0.182,2019-04-10,26,25,42,-,30,25.1002237,78.3719184832803
MATATILA,308.46,302.48,0.707,0.131,2022-06-23,19.0,11.0,16.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,305.5,0.707,0.344,2016-12-07,49,64,63,-,30,25.1002237,78.3719184832803
MATATILA,308.46,303.34,0.707,0.182,2019-04-03,26,25,40,-,30,25.1002237,78.3719184832803
MATATILA,308.46,301.33,0.707,0.073,2021-06-17,10,13,16,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.21,0.707,0.115,2021-06-03,16,13,20,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,304.43,0.707,0.256,2017-04-26,36,20,44,-,30,25.1002237,78.3719184832803
MATATILA,308.46,302.33,0.707,0.122,2016-02-24,17,26,39,-,30,25.1002237,78.3719184832803
MATATILA,308.46,307.39,0.707,0.528,2021-08-12,75,27,64,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,303.79,0.707,0.211,2024-03-14,30.0,38.0,31.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.73,0.707,0.144,2024-03-28,20.0,39.0,30.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,301.02,0.707,0.059,2017-06-21,8,9,27,-,30,25.1002237,78.3719184832803
MATATILA,308.46,304.8,0.707,0.285,2023-12-21,40.0,48.0,52.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,304.83,0.707,0.288,2024-01-11,41.0,45.0,44.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,303.86,0.707,0.215,2023-05-11,30.0,25.0,31.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,305.71,0.707,0.362,2015-07-08,51,9,34,-,30,25.1002237,78.3719184832803
MATATILA,308.46,307.42,0.707,0.531,2015-09-30,75,91,92,-,30,25.1002237,78.3719184832803
MATATILA,308.46,302.7,0.707,0.143,2019-01-23,20,24,47,-,30,25.1002237,78.3719184832803
MATATILA,308.46,307.06,0.707,0.492,2019-08-14,70,33,66,-,30,25.1002237,78.3719184832803
MATATILA,308.46,306.57,0.707,0.443,2017-11-01,63,59,71,-,30,25.1002237,78.3719184832803
MATATILA,308.46,306.32,0.707,0.419,2017-11-15,59,39,62,-,30,25.1002237,78.3719184832803
MATATILA,308.46,304.31,0.707,0.248,2022-03-17,35.0,28.0,29.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,306.51,0.707,0.437,2019-11-20,62,52,57,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.54,0.707,0.134,2020-05-20,19,14,30,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,304.83,0.707,0.288,2015-10-28,41,61,82,-,30,25.1002237,78.3719184832803
MATATILA,308.46,306.81,0.707,0.467,2015-10-14,66,70,91,-,30,25.1002237,78.3719184832803
MATATILA,308.46,304.8,0.707,0.285,2018-12-12,40,61,62,-,30,25.1002237,78.3719184832803
MATATILA,308.46,302.27,0.707,0.118,2024-04-25,17.0,38.0,35.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,302.54,0.707,0.134,2020-07-29,19,19,47,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,308.46,0.707,0.641,2022-11-17,91.0,88.0,62.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,304.71,0.707,0.279,2017-03-15,39,16,37,-,30,25.1002237,78.3719184832803
MATATILA,308.46,304.53,0.707,0.265,2017-03-01,37,15,38,-,30,25.1002237,78.3719184832803
MATATILA,308.46,306.66,0.707,0.452,2015-12-09,64,47,63,-,30,25.1002237,78.3719184832803
MATATILA,308.46,308.46,0.707,0.641,2022-11-03,1.0,1.0,68.0,0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,308.45,0.707,0.641,2023-09-28,91.0,91.0,89.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,305.44,0.707,0.338,2022-01-06,48.0,18.0,45.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,305.65,0.707,0.357,2022-01-13,50.0,16.0,41.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,308.46,0.707,0.641,2020-10-01,91,91,92,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,308.39,0.707,0.634,2023-09-14,90.0,90.0,89.0,0.0,30.0,25.1002237,78.3719184832803
MATATILA,308.46,307.97,0.707,0.589,2020-10-15,83,91,86,0.0,30.0,25.1002237,78.3719184832803
