NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MAUDAHA,147.8,144.0,0.179,0.063,2020-12-17,35,65,51,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,142.2,0.179,0.03,2021-03-25,17,47,34,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,147.4,0.179,0.165,2023-10-26,92.0,98.0,67.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,145.8,0.179,0.111,2021-11-25,62.0,41.0,57.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,143.6,0.179,0.055,2022-06-09,31.0,9.0,23.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,144.8,0.179,0.082,2022-08-18,46.0,44.0,45.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,145.9,0.179,0.114,2021-11-18,64.0,42.0,59.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,146.1,0.179,0.121,2022-08-25,68.0,47.0,47.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,147.2,0.179,0.158,2023-09-05,88.0,94.0,56.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.80,147.7,0.17,0.176,2022-11-10,8.0,64.0,61.0,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,143.3,0.179,0.049,2021-01-21,27,64,44,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,143.9,0.179,0.061,2021-08-05,34,41,36,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,142.2,0.179,0.03,2021-03-18,17,47,34,41.7,0.0,25.70656655,80.0434571115807
MAUDAHA,147.8,145.7,0.179,0.107,2023-05-04,60.0,36.0,32.0,41.7,0.0,25.70656655,80.0434571115807
