NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MAYURAKSHI,121.31,117.33,0.48,0.3,2016-10-25,63,23,51,227,-,24.157345,87.283314
MAYURAKSHI,121.31,117.17,0.48,0.292,2020-12-17,61,77,45,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,117.88,0.48,0.324,2015-07-22,68,68,48,227,-,24.157345,87.283314
MAYURAKSHI,121.31,114.88,0.48,0.204,2018-10-04,43,97,66,227,-,24.157345,87.283314
MAYURAKSHI,121.31,111.51,0.48,0.11,2017-06-08,23,16,18,227,-,24.157345,87.283314
MAYURAKSHI,121.31,113.78,0.48,0.169,2021-03-25,35,53,33,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,118.65,0.48,0.363,2020-02-06,76,21,38,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,119.5,0.48,0.406,2017-08-31,85,76,59,227,-,24.157345,87.283314
MAYURAKSHI,121.31,115.96,0.48,0.244,2023-10-26,51.0,41.0,54.0,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,109.58,0.48,0.073,2016-05-12,15,15,17,227,-,24.157345,87.283314
MAYURAKSHI,121.31,113.83,0.48,0.171,2018-05-31,36,23,18,227,-,24.157345,87.283314
MAYURAKSHI,121.31,115.29,0.48,0.218,2016-12-22,45,21,44,227,-,24.157345,87.283314
MAYURAKSHI,121.31,116.85,0.48,0.277,2021-11-24,58.0,62.0,50.0,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,112.65,0.48,0.138,2022-06-09,29.0,22.0,24.0,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,111.19,0.48,0.104,2022-08-18,22.0,62.0,56.0,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,116.8,0.48,0.275,2021-11-18,57.0,62.0,50.0,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,111.22,0.48,0.104,2022-08-25,22.0,63.0,58.0,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,112.62,0.48,0.138,2023-09-05,29.0,25.0,59.0,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,113.8,0.48,0.169,2018-05-24,35,22,17,227,-,24.157345,87.283314
MAYURAKSHI,121.31,118.74,0.48,0.368,2020-07-22,77,26,40,227.0,0.0,24.157345,87.283314
MAYURAKSHI,121.31,111.13,0.48,0.102,2015-12-02,21,23,45,227,-,24.157345,87.283314
MAYURAKSHI,121.31,114.0,0.48,0.178,2022-11-10,37.0,56.0,52.0,227,0.0,24.157345,87.283314
MAYURAKSHI,121.31,116.95,0.48,0.283,2021-01-21,59,76,44,227.0,0.0,24.157345,87.283314
