NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MEJA,178.0,169.1,0.299,0.132,2020-12-17,44,1,43,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,162.25,0.299,0.048,2021-03-25,16,0,30,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,167.15,0.299,0.103,2023-10-26,34.0,51.0,52.0,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,173.55,0.299,0.205,2021-11-25,69.0,45.0,46.0,71.048,0.0,25.1648519,82.1401075344574
MEJA,178.0,164.95,0.299,0.073,2022-06-08,24.0,14.0,22.0,71.048,0.0,25.1648519,82.1401075344574
MEJA,178.0,161.8,0.299,0.045,2022-08-18,15.0,85.0,60.0,71.048,0.0,25.1648519,82.1401075344574
MEJA,178.0,173.55,0.299,0.205,2021-11-17,69.0,46.0,46.0,71.048,0.0,25.1648519,82.1401075344574
MEJA,178.0,165.15,0.299,0.075,2022-08-25,25.0,88.0,63.0,71.048,0.0,25.1648519,82.1401075344574
MEJA,178.0,159.95,0.299,0.032,2023-09-06,11.0,60.0,68.0,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.00,167.05,0.2,0.101,2022-11-10,34.0,68.0,47.0,71.048,0.0,25.1648519,82.1401075344574
MEJA,178.0,166.3,0.299,0.092,2021-01-21,31,1,36,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,175.3,0.299,0.24,2021-08-05,80,1,39,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,162.0,0.299,0.048,2021-03-18,16,0,27,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,164.8,0.299,0.071,2023-05-03,24.0,30.0,28.0,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,166.05,0.299,0.086,2024-01-04,29.0,31.0,42.0,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,168.45,0.299,0.122,2023-10-19,41.0,56.0,55.0,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,164.95,0.299,0.073,2022-06-22,24.0,40.0,21.0,71.048,0.0,25.1648519,82.1401075344574
MEJA,178.0,162.0,0.299,0.046,2021-06-17,15,0,20,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,161.4,0.299,0.042,2021-06-03,14,0,22,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,175.6,0.299,0.246,2021-08-12,82,1,46,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,167.1,0.299,0.102,2024-03-14,34.0,26.0,28.0,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,167.95,0.299,0.115,2024-03-28,38.0,36.0,31.0,71.05,0.0,25.1648519,82.1401075344574
MEJA,178.0,165.4,0.299,0.078,2023-12-21,26.0,36.0,45.0,71.05,0.0,25.1648519,82.1401075344574
