NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
METTUR(STANLEY),240.79,219.86,2.647,0.528,2016-10-26,20,27,49,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,236.6,2.647,2.072,2020-12-17,78,100,58,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,231.62,2.647,1.488,2015-07-22,56,25,51,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,235.5,2.647,1.934,2018-10-03,73,63,50,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,211.51,2.647,0.151,2017-06-08,6,16,39,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,234.79,2.647,1.847,2021-03-25,70,74,34,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,236.79,2.647,2.096,2020-02-06,79,35,34,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,221.63,2.647,0.64,2017-08-31,24,38,61,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,219.44,2.647,0.503,2023-10-26,19.0,100.0,63.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,219.01,2.647,0.478,2016-05-12,18,32,43,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,215.6,2.647,0.305,2018-05-31,12,5,35,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,215.85,2.647,0.316,2016-12-22,12,66,63,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,240.83,2.647,2.647,2021-11-25,100.0,68.0,57.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,239.34,2.647,2.437,2022-06-09,92.0,65.0,29.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,240.8,2.647,2.647,2022-08-18,100.0,33.0,63.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,240.83,2.647,2.647,2021-11-18,100.0,63.0,57.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,240.8,2.647,2.647,2022-08-25,100.0,31.0,63.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,218.65,2.647,0.458,2023-09-06,17.0,100.0,67.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,214.22,2.647,0.246,2018-05-23,9,4,34,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,224.81,2.647,0.867,2020-07-23,33,12,41,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,232.48,2.647,1.581,2015-12-02,60,77,71,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,236.49,2.647,2.057,2021-01-20,78,82,41,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,228.46,2.647,1.174,2021-08-05,44,30,49,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,233.74,2.647,1.722,2015-12-17,65,64,67,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,235.05,2.647,1.878,2021-03-18,71,75,34,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,220.59,2.647,0.587,2017-08-23,22,32,62,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,235.73,2.647,1.962,2018-10-10,74,64,46,122,360,11.908625,77.8007315102992
METTUR(STANLEY),240.79,235.2,2.647,1.896,2023-05-04,72.0,78.0,32.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,225.94,2.647,0.957,2024-01-04,36.0,96.0,60.0,122.0,360.0,11.908625,77.8007315102992
METTUR(STANLEY),240.79,221.64,2.647,0.641,2016-07-28,24,62,57,122,360,11.908625,77.8007315102992
