NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MULA,552.3,552.28,0.609,0.608,2016-10-27,100,50,84,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.26,0.609,0.607,2020-12-17,100,99,70,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,537.51,0.609,0.068,2015-07-22,11,9,27,139,-,74.601434290761,19.3454409908784
MULA,552.3,548.38,0.609,0.417,2018-10-04,68,100,82,139,-,74.601434290761,19.3454409908784
MULA,552.3,534.58,0.609,0.011,2017-06-08,2,5,7,139,-,74.601434290761,19.3454409908784
MULA,552.3,548.06,0.609,0.403,2021-03-25,66,72,37,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,550.51,0.609,0.516,2020-02-06,85,21,51,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,549.82,0.609,0.483,2017-08-30,79,98,70,139,-,74.601434290761,19.3454409908784
MULA,552.3,551.02,0.609,0.541,2023-10-26,89.0,100.0,88.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,536.43,0.609,0.045,2016-05-12,7,13,18,139,-,74.601434290761,19.3454409908784
MULA,552.3,536.43,0.609,0.045,2018-05-31,7,3,9,139,-,74.601434290761,19.3454409908784
MULA,552.3,550.78,0.609,0.53,2016-12-22,87,25,66,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.11,0.609,0.599,2021-11-25,98.0,100.0,83.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.7,0.609,0.119,2022-06-09,20.0,22.0,6.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.87,0.609,0.586,2022-08-18,96.0,63.0,68.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.12,0.609,0.6,2021-11-18,99.0,100.0,80.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.11,0.609,0.599,2022-08-25,98.0,67.0,73.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,549.74,0.609,0.479,2023-09-06,79.0,98.0,81.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,538.42,0.609,0.089,2018-05-23,15,7,12,139,-,74.601434290761,19.3454409908784
MULA,552.3,540.59,0.609,0.143,2020-07-23,23,17,27,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,543.62,0.609,0.236,2015-12-03,39,70,81,139,-,74.601434290761,19.3454409908784
MULA,552.30,552.3,0.6,0.6,2022-11-10,100.0,100.0,82.0,13,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.82,0.609,0.583,2021-01-21,96,96,58,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,546.78,0.609,0.35,2021-08-05,57,36,54,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,541.81,0.609,0.178,2015-12-16,29,52,75,139,-,74.601434290761,19.3454409908784
MULA,552.3,548.85,0.609,0.438,2021-03-18,72,73,39,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,548.85,0.609,0.438,2017-08-23,72,98,67,139,-,74.601434290761,19.3454409908784
MULA,552.3,548.22,0.609,0.41,2018-10-11,67,100,84,139,-,74.601434290761,19.3454409908784
MULA,552.3,545.88,0.609,0.315,2023-05-04,52.0,41.0,24.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,548.99,0.609,0.444,2024-01-04,73.0,98.0,78.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,545.28,0.609,0.293,2016-07-27,48,13,32,139,-,74.601434290761,19.3454409908784
MULA,552.3,540.1,0.609,0.13,2016-07-11,21,5,15,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.19,0.609,0.603,2020-09-24,99,99,83,139,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.22,0.609,0.107,2020-07-09,18,5,8,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,538.84,0.609,0.098,2016-02-18,16,41,51,139,-,74.601434290761,19.3454409908784
MULA,552.3,551.06,0.609,0.544,2023-10-19,89.0,100.0,89.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,536.78,0.609,0.052,2016-05-04,9,14,23,139,-,74.601434290761,19.3454409908784
MULA,552.3,538.52,0.609,0.09,2019-04-10,15,39,32,139,-,74.601434290761,19.3454409908784
MULA,552.3,539.32,0.609,0.11,2022-06-23,18.0,17.0,5.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.84,0.609,0.584,2016-12-07,96,36,75,139,-,74.601434290761,19.3454409908784
MULA,552.3,538.73,0.609,0.095,2019-04-04,16,43,34,139,-,74.601434290761,19.3454409908784
MULA,552.3,539.22,0.609,0.107,2021-06-17,18,10,5,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,541.17,0.609,0.159,2021-06-03,26,13,7,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,541.67,0.609,0.173,2017-04-27,28,10,26,139,-,74.601434290761,19.3454409908784
MULA,552.3,538.74,0.609,0.096,2016-02-24,16,37,49,139,-,74.601434290761,19.3454409908784
MULA,552.3,547.31,0.609,0.372,2021-08-12,61,47,63,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,543.73,0.609,0.239,2024-03-14,39.0,70.0,50.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,543.25,0.609,0.223,2024-03-28,37.0,61.0,44.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,534.77,0.609,0.014,2017-06-22,2,5,5,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.25,0.609,0.456,2023-12-20,75.0,99.0,82.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,548.93,0.609,0.441,2024-01-11,72.0,96.0,70.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,545.51,0.609,0.302,2023-05-11,50.0,36.0,21.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,535.7,0.609,0.031,2015-07-07,5,2,15,139,-,74.601434290761,19.3454409908784
MULA,552.3,545.85,0.609,0.314,2015-09-30,52,95,87,139,-,74.601434290761,19.3454409908784
MULA,552.3,540.3,0.609,0.135,2019-01-24,22,76,59,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.05,0.609,0.596,2019-08-14,98,56,59,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.26,0.609,0.607,2017-11-02,100,99,83,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.14,0.609,0.601,2017-11-15,99,98,81,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.06,0.609,0.447,2022-03-17,73.0,73.0,43.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.29,0.609,0.609,2019-11-21,100,51,76,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,540.54,0.609,0.14,2020-05-21,23,5,12,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,545.65,0.609,0.307,2015-10-29,50,91,88,139,-,74.601434290761,19.3454409908784
MULA,552.3,545.86,0.609,0.315,2015-10-15,52,94,85,139,-,74.601434290761,19.3454409908784
MULA,552.3,543.99,0.609,0.248,2018-12-06,41,97,76,139,-,74.601434290761,19.3454409908784
MULA,552.3,540.79,0.609,0.148,2024-04-25,24.0,53.0,32.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,542.11,0.609,0.187,2020-07-30,31,33,41,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.3,0.609,0.609,2022-11-17,100.0,99.0,81.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,544.78,0.609,0.275,2017-03-15,45,14,40,139,-,74.601434290761,19.3454409908784
MULA,552.3,546.62,0.609,0.344,2017-02-28,56,15,45,139,-,74.601434290761,19.3454409908784
MULA,552.3,542.69,0.609,0.205,2015-12-10,34,67,78,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.3,0.6,0.6,2022-11-03,100.0,100.0,84.0,13,0.0,74.601434290761,19.3454409908784
MULA,552.3,550.01,0.609,0.492,2023-09-27,81.0,99.0,89.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.93,0.609,0.589,2022-01-06,97.0,99.0,66.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.85,0.609,0.585,2022-01-13,96.0,99.0,60.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.19,0.609,0.603,2020-10-01,99,99,83,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,549.4,0.609,0.463,2023-09-14,76.0,98.0,83.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.3,0.609,0.609,2020-10-15,100,100,85,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.3,0.609,0.609,2020-10-29,100,100,84,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.06,0.609,0.103,2019-03-20,17,55,39,139,-,74.601434290761,19.3454409908784
MULA,552.3,542.39,0.609,0.195,2021-05-27,32,18,10,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,541.68,0.609,0.173,2024-04-18,28.0,53.0,34.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,543.99,0.609,0.248,2018-12-06,41,97,76,139,-,74.601434290761,19.3454409908784
MULA,552.3,551.29,0.609,0.555,2016-09-14,91,44,78,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.55,0.609,0.47,2017-01-11,77,19,62,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.06,0.609,0.596,2016-08-31,98,42,70,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.28,0.609,0.608,2016-09-29,100,52,82,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.28,0.609,0.608,2016-10-20,100,51,84,139,-,74.601434290761,19.3454409908784
MULA,552.3,538.12,0.609,0.081,2015-07-23,13,11,29,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.99,0.609,0.491,2023-02-09,81.0,82.0,55.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.73,0.609,0.578,2019-08-29,95,73,67,139,-,74.601434290761,19.3454409908784
MULA,552.3,540.19,0.609,0.132,2019-01-31,22,75,57,139,-,74.601434290761,19.3454409908784
MULA,552.3,548.56,0.609,0.425,2018-09-19,70,90,78,139,-,74.601434290761,19.3454409908784
MULA,552.3,542.17,0.609,0.189,2018-07-18,31,29,17,139,-,74.601434290761,19.3454409908784
MULA,552.3,535.13,0.609,0.02,2019-06-06,3,3,5,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.58,0.609,0.471,2023-02-23,77.0,77.0,50.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,545.68,0.609,0.308,2015-09-22,51,96,86,139,-,74.601434290761,19.3454409908784
MULA,552.3,545.83,0.609,0.314,2021-04-15,52,50,30,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,536.65,0.609,0.03,2016-06-29,5,5,6,139,-,74.601434290761,19.3454409908784
MULA,552.3,547.29,0.609,0.371,2021-04-01,61,60,34,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,544.83,0.609,0.277,2021-04-29,45,40,25,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,544.19,0.609,0.255,2024-03-07,42.0,74.0,52.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,540.07,0.609,0.129,2021-06-10,21,10,5,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,542.55,0.609,0.201,2017-04-19,33,10,30,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.32,0.609,0.459,2018-01-30,75,74,55,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.12,0.609,0.45,2018-02-15,74,66,49,139,-,74.601434290761,19.3454409908784
MULA,552.3,541.29,0.609,0.162,2023-07-13,27.0,32.0,17.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.26,0.609,0.108,2022-06-30,18.0,20.0,6.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,540.21,0.609,0.132,2023-07-06,22.0,17.0,10.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.63,0.609,0.117,2019-02-28,19,70,47,139,-,74.601434290761,19.3454409908784
MULA,552.3,534.93,0.609,0.017,2019-06-13,3,1,4,139,-,74.601434290761,19.3454409908784
MULA,552.3,541.96,0.609,0.182,2021-07-22,30,23,26,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,538.54,0.609,0.09,2016-03-09,15,29,44,139,-,74.601434290761,19.3454409908784
MULA,552.3,543.51,0.609,0.232,2018-04-11,38,34,32,139,-,74.601434290761,19.3454409908784
MULA,552.3,549.37,0.609,0.461,2023-08-24,76.0,99.0,77.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.16,0.609,0.601,2019-09-19,99,70,75,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.08,0.609,0.597,2016-11-10,98,45,81,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.26,0.609,0.607,2019-10-10,100,68,80,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,548.91,0.609,0.441,2020-03-19,72,17,36,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.6,0.609,0.117,2016-01-07,19,50,68,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.2,0.609,0.604,2022-12-22,99.0,98.0,70.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,550.59,0.609,0.52,2017-09-06,85,96,73,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.02,0.609,0.594,2016-08-23,98,41,66,139,-,74.601434290761,19.3454409908784
MULA,552.3,535.76,0.609,0.032,2016-06-09,5,2,6,139,-,74.601434290761,19.3454409908784
MULA,552.3,539.31,0.609,0.109,2016-01-27,18,47,60,139,-,74.601434290761,19.3454409908784
MULA,552.3,551.79,0.609,0.582,2016-08-16,96,40,64,139,-,74.601434290761,19.3454409908784
MULA,552.3,544.38,0.609,0.261,2015-11-18,43,77,86,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.06,0.609,0.596,2021-12-16,98.0,100.0,74.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.29,0.609,0.609,2017-10-25,100,100,84,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.08,0.609,0.597,2021-12-02,98.0,100.0,76.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,543.01,0.609,0.215,2022-05-12,35.0,44.0,19.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,541.72,0.609,0.175,2023-06-08,29.0,20.0,8.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.23,0.609,0.606,2021-10-07,100,100,85,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,549.98,0.609,0.49,2023-08-31,80.0,97.0,80.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,535.32,0.609,0.024,2019-05-30,4,8,8,139,-,74.601434290761,19.3454409908784
MULA,552.30,552.3,0.6,0.6,2022-10-27,100.0,100.0,85,13,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.96,0.609,0.591,2020-01-09,97,23,58,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,546.41,0.609,0.336,2024-02-08,55.0,81.0,60.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,544.91,0.609,0.28,2024-02-22,46.0,78.0,60.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.83,0.609,0.122,2017-05-08,20,8,21,139,-,74.601434290761,19.3454409908784
MULA,552.3,545.35,0.609,0.296,2020-08-13,49,97,64,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.23,0.609,0.606,2021-09-30,100,99,84,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.82,0.609,0.583,2020-01-23,96,22,54,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,539.98,0.609,0.126,2019-02-07,21,75,55,139,-,74.601434290761,19.3454409908784
MULA,552.3,544.25,0.609,0.257,2018-04-05,42,34,33,139,-,74.601434290761,19.3454409908784
MULA,552.3,539.96,0.609,0.126,2023-06-22,21.0,18.0,7.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,552.3,0.609,0.609,2020-11-26,100,100,82,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,551.85,0.609,0.585,2017-12-20,96,89,67,139,-,74.601434290761,19.3454409908784
MULA,552.3,534.36,0.609,0.007,2018-06-28,1,2,4,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.16,0.609,0.601,2019-09-26,99,69,78,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,534.46,0.609,0.009,2018-06-14,1,2,5,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.29,0.609,0.609,2017-10-17,100,100,84,139,-,74.601434290761,19.3454409908784
MULA,552.3,546.01,0.609,0.32,2023-04-27,53.0,43.0,27.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,543.0,0.609,0.215,2015-08-05,35,47,55,139,-,74.601434290761,19.3454409908784
MULA,552.3,535.54,0.609,0.028,2016-06-22,5,2,5,139,-,74.601434290761,19.3454409908784
MULA,552.3,550.78,0.609,0.53,2017-09-13,87,92,76,139,-,74.601434290761,19.3454409908784
MULA,552.3,552.26,0.609,0.607,2022-12-08,100.0,98.0,76.0,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,549.99,0.609,0.491,2021-02-11,81,80,52,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,548.91,0.609,0.441,2020-03-19,72,17,36,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,544.38,0.609,0.261,2015-11-18,43,77,86,139,-,74.601434290761,19.3454409908784
MULA,552.3,550.62,0.609,0.521,2021-02-04,86,87,59,139.0,0.0,74.601434290761,19.3454409908784
MULA,552.3,549.56,0.609,0.471,2022-02-24,77.0,76.0,51.0,139.0,0.0,74.601434290761,19.3454409908784
