NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MULSHI,607.1,603.44,0.572,0.419,2020-12-17,73,74,68,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,596.4,0.572,0.175,2021-03-25,31,37,31,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.19,0.572,0.301,2020-02-06,53,50,51,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.92,0.572,0.515,2023-10-26,90.0,91.0,82.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,603.59,0.572,0.425,2021-11-25,74.0,79.0,73.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,590.49,0.572,0.009,2022-06-09,2.0,5.0,5.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,607.08,0.572,0.57,2022-08-18,100.0,85.0,84.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,604.17,0.572,0.447,2021-11-18,78.0,81.0,76.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,607.1,0.572,0.571,2022-08-25,100.0,84.0,84.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.55,0.572,0.501,2023-09-06,88.0,93.0,85.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,595.09,0.572,0.134,2020-07-23,23,43,39,0.0,300.0,18.5134117,73.5668845512146
MULSHI,605.4,0.572,0.4,8.0,2022-11-10,87.0,81.0,77.0,0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,601.51,0.572,0.348,2021-01-21,61,57,53,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.13,0.572,0.484,2021-08-05,85,45,70,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,596.69,0.572,0.184,2021-03-18,32,38,30,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,595.71,0.572,0.153,2023-05-04,27.0,15.0,17.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,603.34,0.572,0.415,2024-01-04,73.0,70.0,61.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.1,0.572,0.523,2020-09-24,91,91,88,0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,593.63,0.572,0.091,2020-07-09,16,24,16,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.11,0.572,0.523,2023-10-19,91.0,92.0,83.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,589.66,0.572,0.0,2022-06-23,0.0,12.0,7.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,591.21,0.572,0.027,2021-06-17,5,7,5,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,591.66,0.572,0.038,2021-06-03,7,11,7,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.14,0.572,0.484,2021-08-12,85,67,78,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,599.86,0.572,0.289,2024-03-14,51.0,47.0,36.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,598.85,0.572,0.255,2024-03-28,45.0,42.0,32.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,604.13,0.572,0.445,2023-12-21,78.0,75.0,64.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,603.05,0.572,0.405,2024-01-11,71.0,67.0,58.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,595.18,0.572,0.137,2023-05-11,24.0,13.0,14.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,596.95,0.572,0.192,2022-03-17,34.0,33.0,39.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,604.12,0.572,0.445,2019-11-21,78,80,76,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,593.33,0.572,0.083,2020-05-21,15,10,19,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,596.51,0.572,0.178,2024-04-25,31.0,29.0,21.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,595.51,0.572,0.147,2020-07-30,26,70,55,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.2,0.572,0.486,2022-11-17,85.0,79.0,77.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.8,0.572,0.511,2022-11-03,8.0,82.0,81.0,0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.92,0.572,0.562,2023-09-29,98.0,97.0,89.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,601.19,0.572,0.336,2022-01-06,59.0,66.0,59.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.85,0.572,0.324,2022-01-12,57.0,64.0,57.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.08,0.572,0.522,2020-10-01,91,91,87,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.18,0.572,0.526,2023-09-14,92.0,96.0,88.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.43,0.572,0.496,2020-10-15,87,90,84,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.14,0.572,0.484,2020-10-29,85,86,81,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,592.28,0.572,0.054,2021-05-27,9,12,9,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,597.28,0.572,0.203,2024-04-18,35.0,32.0,24.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.77,0.572,0.322,2023-02-09,56.0,47.0,46.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,599.91,0.572,0.291,2023-02-22,51.0,44.0,41.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,595.54,0.572,0.148,2021-04-14,26,31,24,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,596.16,0.572,0.167,2021-04-01,29,35,29,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,594.45,0.572,0.115,2021-04-29,20,24,19,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.33,0.572,0.306,2024-03-07,53.0,49.0,39.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,591.23,0.572,0.027,2021-06-09,5,10,5,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,594.11,0.572,0.105,2023-07-13,18.0,37.0,28.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,589.46,0.572,0.0,2022-06-30,0.0,13.0,10.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,592.48,0.572,0.059,2023-07-06,10.0,3.0,31.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,597.82,0.572,0.22,2021-07-22,38,23,39,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.58,0.572,0.502,2023-08-24,88.0,100.0,87.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.05,0.572,0.521,2019-10-10,91,94,86,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,597.8,0.572,0.22,2020-03-19,38,34,33,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,603.58,0.572,0.424,2022-12-22,74.0,65.0,63.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,602.49,0.572,0.384,2021-12-16,67.0,73.0,67.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,603.26,0.572,0.412,2021-12-02,72.0,78.0,71.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,592.96,0.572,0.072,2022-05-12,13.0,15.0,15.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,591.94,0.572,0.045,2023-06-08,8.0,2.0,5.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.18,0.572,0.526,2021-10-07,92,89,88,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.79,0.572,0.51,2023-08-31,89.0,97.0,86.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.10,605.0,0.572,0.518,2022-10-27,1.0,85.0,81,0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,601.28,0.572,0.34,2020-01-09,59,60,62,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,601.57,0.572,0.32,2024-02-08,56.0,55.0,48.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.99,0.572,0.329,2024-02-22,58.0,51.0,43.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,602.43,0.572,0.382,2020-08-13,67,91,78,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.52,0.572,0.543,2021-09-30,95,91,87,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.74,0.572,0.32,2020-01-23,56,54,56,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,590.72,0.572,0.015,2023-06-22,3.0,0.0,6.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,604.3,0.572,0.452,2020-11-26,79,78,73,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,596.0,0.572,0.162,2023-04-27,28.0,17.0,20.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,604.33,0.572,0.453,2022-12-08,79.0,70.0,68.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.05,0.572,0.296,2021-02-11,52,51,45,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,597.46,0.572,0.209,2020-03-26,37,31,37,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,600.53,0.572,0.313,2021-02-04,55,53,48,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,598.46,0.572,0.242,2022-02-24,42.0,45.0,41.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,593.42,0.572,0.085,2022-05-05,15.0,18.0,17.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,603.15,0.572,0.408,2022-07-28,71.0,71.0,54.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,599.02,0.572,0.261,2022-07-14,46.0,11.0,24.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,598.95,0.572,0.258,2020-08-06,45,86,74,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,592.0,0.572,0.047,2021-07-08,8,16,18,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,594.74,0.572,0.124,2024-05-16,22.0,21.0,21.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,595.84,0.572,0.157,2024-05-02,27.0,27.0,19.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.19,0.572,0.525,2022-10-20,92.0,87.0,83.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,604.98,0.572,0.478,2021-09-09,84,91,88,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.97,0.572,0.565,2022-09-15,99.0,97.0,87.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,605.73,0.572,0.508,2021-10-14,89,87,85,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,602.5,0.572,0.384,2023-01-12,67.0,57.0,57.0,0.0,300.0,18.5134117,73.5668845512146
MULSHI,607.1,606.65,0.572,0.549,2022-09-01,96.0,80.0,87.0,0.0,300.0,18.5134117,73.5668845512146
