NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MUSI PROJECT,196.6,196.36,0.123,0.117,2023-10-26,95.0,97.0,66.0,12.15,0.0,,
MUSI PROJECT,196.6,196.11,0.123,0.111,2023-09-06,90.0,85.0,58.0,12.15,0.0,,
MUSI PROJECT,196.6,195.02,0.123,0.087,2024-01-04,71.0,91.0,58.0,12.15,0.0,,
MUSI PROJECT,196.6,196.38,0.123,0.118,2023-10-19,96.0,90.0,61.0,12.15,0.0,,
MUSI PROJECT,196.6,190.99,0.123,0.025,2024-03-14,20.0,75.0,28.0,12.15,0.0,,
MUSI PROJECT,196.6,189.11,0.123,0.011,2024-03-28,9.0,60.0,19.0,12.15,0.0,,
MUSI PROJECT,196.6,195.74,0.123,0.103,2023-12-21,84.0,98.0,66.0,12.15,0.0,,
MUSI PROJECT,196.6,194.88,0.123,0.084,2024-01-11,68.0,89.0,54.0,12.15,0.0,,
MUSI PROJECT,196.6,189.69,0.123,0.014,2024-04-25,11.0,59.0,19.0,12.15,0.0,,
MUSI PROJECT,196.6,196.41,0.123,0.118,2023-09-28,96.0,91.0,67.0,12.15,0.0,,
MUSI PROJECT,196.6,196.35,0.123,0.117,2023-09-14,95.0,85.0,59.0,12.15,0.0,,
MUSI PROJECT,196.6,189.06,0.123,0.011,2024-04-18,9.0,57.0,17.0,12.15,0.0,,
MUSI PROJECT,196.6,191.36,0.123,0.029,2024-03-07,24.0,82.0,33.0,12.15,0.0,,
MUSI PROJECT,196.6,196.14,0.123,0.112,2023-08-31,91.0,89.0,55.0,12.15,0.0,,
MUSI PROJECT,196.6,193.47,0.123,0.057,2024-02-08,46.0,92.0,46.0,12.15,0.0,,
MUSI PROJECT,196.6,192.97,0.123,0.049,2024-02-22,40.0,94.0,42.0,12.15,0.0,,
MUSI PROJECT,196.6,191.87,0.123,0.034,2024-05-16,28.0,77.0,22.0,12.15,0.0,,
MUSI PROJECT,196.6,190.32,0.123,0.019,2024-05-02,15.0,62.0,20.0,12.15,0.0,,
MUSI PROJECT,196.6,196.56,0.123,0.122,2023-11-02,99.0,97.0,67.0,12.15,0.0,,
MUSI PROJECT,196.6,196.44,0.123,0.119,2023-11-16,97.0,96.0,68.0,12.15,0.0,,
MUSI PROJECT,196.6,190.84,0.123,0.023,2024-05-09,19.0,71.0,22.0,12.15,0.0,,
MUSI PROJECT,196.6,196.46,0.123,0.12,2023-11-29,98.0,97.0,67.0,12.15,0.0,,
MUSI PROJECT,196.6,192.15,0.123,0.038,2024-02-29,31.0,89.0,37.0,12.15,0.0,,
MUSI PROJECT,196.6,193.3,0.123,0.055,2024-02-15,45.0,92.0,45.0,12.15,0.0,,
MUSI PROJECT,196.6,194.04,0.123,0.067,2024-02-01,54.0,94.0,49.0,12.15,0.0,,
MUSI PROJECT,196.6,196.47,0.123,0.12,2023-11-23,98.0,98.0,68.0,12.15,0.0,,
MUSI PROJECT,196.6,193.4,0.123,0.056,2024-05-30,46.0,89.0,29.0,12.15,0.0,,
MUSI PROJECT,196.6,192.83,0.123,0.047,2024-05-22,38.0,83.0,27.0,12.15,0.0,,
MUSI PROJECT,196.6,196.48,0.123,0.12,2023-11-09,98.0,98.0,68.0,12.15,0.0,,
MUSI PROJECT,196.6,194.22,0.123,0.071,2024-06-13,58.0,97.0,34.0,12.15,0.0,,
MUSI PROJECT,196.6,196.41,0.123,0.118,2023-10-10,96.0,82.0,59.0,12.15,0.0,,
MUSI PROJECT,196.6,193.75,0.123,0.062,2024-06-06,50.0,98.0,31.0,12.15,0.0,,
MUSI PROJECT,196.6,194.18,0.123,0.07,2024-01-25,57.0,97.0,53.0,12.15,0.0,,
MUSI PROJECT,196.6,196.41,0.123,0.118,2023-10-05,96.0,89.0,72.0,12.15,0.0,,
MUSI PROJECT,196.6,190.27,0.123,0.019,2024-03-18,15.0,71.0,26.0,12.15,0.0,,
MUSI PROJECT,196.6,195.37,0.123,0.094,2023-12-28,76.0,94.0,62.0,12.15,0.0,,
MUSI PROJECT,196.6,196.17,0.123,0.112,2023-12-14,91.0,98.0,67.0,12.15,0.0,,
MUSI PROJECT,196.6,194.6,0.123,0.078,2024-01-18,63.0,98.0,54.0,12.15,0.0,,
MUSI PROJECT,196.6,188.44,0.123,0.008,2024-04-04,7.0,54.0,16.0,12.15,0.0,,
MUSI PROJECT,196.6,196.35,0.123,0.117,2023-09-21,95.0,87.0,64.0,12.15,0.0,,
MUSI PROJECT,196.6,196.41,0.123,0.119,2023-12-06,97.0,97.0,67.0,12.15,0.0,,
MUSI PROJECT,196.6,188.43,0.123,0.008,2024-04-10,7.0,55.0,16.0,12.15,0.0,,
