NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
NAGARJUNA SAGAR,179.83,164.9,6.841,1.664,2016-10-27,24,0,72,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,178.22,5.108,4.67,2020-12-17,91,82,49,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,155.87,6.841,0.068,2015-07-21,1,2,33,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,177.33,6.841,4.433,2018-10-04,65,5,58,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,153.07,6.841,0.0,2017-06-08,0,0,20,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,166.94,5.108,2.069,2021-03-25,41,41,18,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,168.04,5.108,2.293,2020-02-06,45,24,27,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,152.4,6.841,0.0,2017-08-31,0,2,47,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,160.11,5.108,0.777,2023-10-26,15.0,99.0,75.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,154.59,6.841,0.0,2016-05-12,0,3,24,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,156.06,6.841,0.097,2018-05-31,1,0,17,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,159.75,6.841,0.713,2016-12-21,10,0,47,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,179.47,5.108,5.007,2021-11-25,98.0,99.0,59.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,163.13,5.108,1.326,2022-06-09,26.0,24.0,9.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,178.25,5.108,4.678,2022-08-18,92.0,99.0,43.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,179.22,5.108,4.94,2021-11-18,97.0,99.0,60.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,179.74,5.108,5.083,2022-08-25,100.0,97.0,52.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,159.72,5.108,0.708,2023-09-06,14.0,99.0,65.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,156.12,6.841,0.107,2018-05-24,2,0,17,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,163.13,5.108,1.326,2020-07-23,26,0,15,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,155.14,6.841,0.0,2015-12-03,0,44,63,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,.34,5.108,4.0,73.0,2022-11-10,7.0,100.0,66.0,8,5.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,172.76,5.108,3.31,2021-01-21,65,54,35,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,179.77,5.108,5.091,2021-08-05,100,48,23,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,154.99,6.841,0.0,2015-12-17,0,39,57,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,166.85,5.108,2.051,2021-03-18,40,45,19,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,152.43,6.841,0.0,2017-08-24,0,3,44,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,177.27,6.841,4.417,2018-10-11,65,12,58,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,159.14,5.108,0.608,2023-05-03,12.0,30.0,12.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,159.35,5.108,0.645,2024-01-04,13.0,82.0,50.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,153.44,6.841,0.0,2016-07-28,0,1,32,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,153.59,6.841,0.0,2016-07-14,0,1,31,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,179.65,5.108,5.057,2020-09-24,99,100,63,895,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,161.6,5.108,1.044,2020-07-09,20,0,15,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,155.14,6.841,0.0,2016-02-18,0,17,30,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,160.2,5.108,0.793,2023-10-19,16.0,98.0,77.0,895.0,810.0,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,154.5,6.841,0.0,2016-05-05,0,3,23,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,156.61,6.841,0.185,2019-04-10,3,3,14,895,810,16.495012,79.2208086604122
NAGARJUNA SAGAR,179.83,162.64,5.108,1.234,2022-06-23,24.0,23.0,9.0,895.0,810.0,16.495012,79.2208086604122
