NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
NANAK SAGAR,215.19,214.46,0.176,0.143,2023-10-26,81.0,69.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-11-25,81.0,69.0,61.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2022-06-09,0.0,0.0,1.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.74,0.176,0.054,2022-08-18,31.0,2.0,33.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-11-18,81.0,69.0,61.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.87,0.176,0.084,2022-08-25,48.0,2.0,38.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.21,0.176,0.095,2023-09-06,54.0,57.0,50.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,213.,7.0,0.176,0.122,2022-11-10,6.0,81.0,64.0,250,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-05-04,0.0,2.0,11.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.84,0.176,0.083,2024-01-04,47.0,47.0,43.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2023-10-19,81.0,69.0,63.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2022-06-23,0.0,0.0,1.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.68,0.176,0.053,2024-03-14,30.0,16.0,24.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.68,0.176,0.053,2024-03-28,30.0,16.0,23.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.49,0.176,0.144,2023-12-21,82.0,68.0,55.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.63,0.176,0.078,2024-01-11,44.0,47.0,41.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-05-11,0.0,1.0,9.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,209.76,0.176,0.021,2022-03-17,12.0,31.0,26.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.95,0.176,0.038,2024-04-25,22.0,2.0,15.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.97,0.176,0.122,2022-11-17,69.0,81.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,213.0,7.0,0.176,0.122,2022-11-03,6.0,81.0,64.0,250,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.21,0.176,0.133,2023-09-29,76.0,65.0,56.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.35,0.176,0.07,2022-01-06,40.0,32.0,40.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.45,0.176,0.072,2022-01-13,41.0,32.0,40.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.6,0.176,0.109,2023-09-14,62.0,59.0,56.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.5,0.176,0.049,2024-04-18,28.0,16.0,20.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.93,0.176,0.086,2023-02-09,49.0,45.0,35.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.5,0.176,0.049,2023-02-23,28.0,40.0,30.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.68,0.176,0.053,2024-03-07,30.0,16.0,25.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,209.0,0.176,0.012,2023-07-13,7.0,5.0,8.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2022-06-30,0.0,0.0,2.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,208.03,0.176,0.004,2023-07-06,2.0,0.0,4.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.75,0.176,0.081,2023-08-24,46.0,48.0,40.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.88,0.176,0.119,2022-12-22,68.0,74.0,52.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-12-16,81.0,69.0,54.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-12-02,81.0,69.0,60.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.69,0.176,0.002,2022-05-12,1.0,1.0,9.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-06-08,0.0,0.0,1.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.96,0.176,0.087,2023-08-31,49.0,48.0,41.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,213.,7.0,0.176,0.122,2022-10-27,6.0,81.0,64,250,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.66,0.176,0.079,2024-02-08,45.0,49.0,36.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.66,0.176,0.079,2024-02-22,45.0,28.0,28.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-06-22,0.0,0.0,1.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.87,0.176,0.003,2023-04-27,2.0,6.0,16.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.97,0.176,0.122,2022-12-08,69.0,81.0,61.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.38,0.176,0.071,2022-02-24,40.0,32.0,27.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,208.0,0.176,0.004,2022-05-05,2.0,7.0,11.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.75,0.176,0.002,2022-07-28,1.0,2.0,15.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,208.48,0.176,0.008,2022-07-14,5.0,2.0,8.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2024-05-16,0.0,0.0,5.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,209.55,0.176,0.018,2024-05-02,10.0,0.0,11.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.97,0.176,0.122,2022-10-20,69.0,81.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.42,0.176,0.103,2022-09-15,59.0,2.0,49.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.81,0.176,0.083,2023-01-12,47.0,41.0,41.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.5,0.176,0.107,2022-09-01,61.0,2.0,41.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.76,0.176,0.115,2022-09-29,65.0,2.0,55.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-10-28,81.0,69.0,61.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.31,0.176,0.028,2023-03-16,16.0,12.0,26.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.46,0.176,0.031,2023-03-02,18.0,35.0,28.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.46,0.176,0.143,2023-11-02,81.0,69.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.49,0.176,0.144,2023-11-16,82.0,69.0,63.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.84,0.176,0.083,2023-01-05,47.0,40.0,42.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2022-07-07,0.0,2.0,5.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-06-30,0.0,0.0,2.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.28,0.176,0.028,2023-04-20,16.0,12.0,20.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,208.09,0.176,0.004,2024-05-09,2.0,0.0,7.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.91,0.176,0.12,2022-10-13,68.0,81.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.49,0.176,0.144,2023-11-30,82.0,69.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2022-05-26,0.0,1.0,5.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.15,0.176,0.13,2021-12-23,74.0,56.0,47.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.31,0.176,0.028,2023-03-31,16.0,12.0,23.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.75,0.176,0.081,2023-08-10,46.0,30.0,28.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-06-15,0.0,0.0,1.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-06-01,0.0,0.0,3.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.74,0.176,0.054,2024-02-29,31.0,18.0,25.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.66,0.176,0.079,2024-02-15,45.0,46.0,34.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.63,0.176,0.078,2024-02-01,44.0,49.0,39.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-12-09,81.0,69.0,58.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.43,0.176,0.03,2023-04-06,17.0,12.0,22.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2022-05-19,0.0,0.0,7.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.66,0.176,0.079,2022-02-10,45.0,32.0,33.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.09,0.176,0.091,2022-12-29,52.0,56.0,45.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.97,0.176,0.122,2022-12-01,69.0,81.0,63.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.97,0.176,0.122,2022-12-15,69.0,81.0,58.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.43,0.176,0.03,2023-04-13,17.0,12.0,22.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,208.18,0.176,0.005,2022-07-21,3.0,2.0,12.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.26,0.176,0.044,2023-08-03,25.0,14.0,20.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.32,0.176,0.069,2023-08-17,39.0,31.0,36.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.36,0.176,0.101,2022-09-08,57.0,2.0,44.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.3,0.176,0.099,2021-12-30,56.0,36.0,43.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.31,0.176,0.028,2023-03-23,16.0,12.0,24.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.49,0.176,0.144,2023-11-23,82.0,69.0,63.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2024-05-30,0.0,0.0,2.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2024-05-24,0.0,0.0,3.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.49,0.176,0.144,2023-11-09,82.0,69.0,63.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.31,0.176,0.028,2023-03-09,16.0,20.0,27.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.66,0.176,0.079,2022-02-17,45.0,32.0,30.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.6,0.176,0.078,2022-02-03,44.0,32.0,36.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.81,0.176,0.083,2023-01-19,47.0,41.0,40.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.81,0.176,0.083,2023-01-25,47.0,44.0,39.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.6,0.176,0.109,2022-09-22,62.0,2.0,50.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,209.76,0.176,0.021,2022-03-24,12.0,31.0,24.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2024-06-13,0.0,0.0,1.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.97,0.176,0.122,2022-11-24,69.0,81.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.71,0.176,0.053,2022-08-11,30.0,2.0,27.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,210.01,0.176,0.024,2022-08-04,14.0,2.0,21.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.48,0.176,0.073,2022-01-20,41.0,32.0,39.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-11-11,81.0,69.0,61.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.37,0.176,0.139,2023-10-12,79.0,68.0,63.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2024-06-06,0.0,0.0,1.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-05-25,0.0,0.0,5.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.63,0.176,0.078,2024-01-25,44.0,47.0,39.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,209.18,0.176,0.014,2023-07-20,8.0,3.0,11.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.3,0.176,0.136,2023-10-05,77.0,65.0,64.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.68,0.176,0.053,2024-03-21,30.0,16.0,25.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.66,0.176,0.112,2023-12-28,64.0,52.0,46.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.49,0.176,0.144,2023-12-14,82.0,69.0,60.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.63,0.176,0.078,2024-01-18,44.0,47.0,40.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,207.26,0.176,0.0,2023-05-18,0.0,0.0,6.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.68,0.176,0.053,2024-04-04,30.0,17.0,22.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.6,0.176,0.078,2022-01-27,44.0,32.0,37.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,213.91,0.176,0.12,2023-09-21,68.0,62.0,51.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.43,0.176,0.142,2021-11-03,81.0,69.0,61.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.93,0.176,0.086,2023-02-02,49.0,44.0,38.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,212.76,0.176,0.081,2023-02-16,46.0,45.0,32.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,214.49,0.176,0.144,2023-12-07,82.0,69.0,63.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,209.79,0.176,0.021,2023-07-27,12.0,1.0,14.0,250.0,0.0,28.962642,79.840101245
NANAK SAGAR,215.19,211.68,0.176,0.053,2024-04-12,30.0,17.0,21.0,250.0,0.0,28.962642,79.840101245
