NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
NARAYANPUR,492.25,491.36,0.863,0.627,2016-10-27,73,54,86,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.53,0.863,0.648,2020-12-17,75,75,65,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,489.2,0.863,0.396,2015-07-21,46,32,60,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.59,0.863,0.655,2018-10-04,76,84,83,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,485.54,0.863,0.12,2017-06-08,14,9,33,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,489.88,0.863,0.464,2021-03-25,54,50,37,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.57,0.863,0.653,2020-02-06,76,27,68,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,492.08,0.863,0.718,2017-08-31,83,82,85,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.21,0.863,0.394,2023-10-26,46.0,85.0,77.0,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,486.61,0.863,0.18,2016-05-12,21,21,33,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,487.76,0.863,0.267,2018-05-31,31,14,28,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,488.39,0.863,0.321,2016-12-21,37,43,81,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,492.02,0.863,0.71,2021-11-25,82.0,70.0,68.0,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,490.79,0.863,0.562,2022-06-09,65.0,45.0,32.0,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.72,0.863,0.671,2022-08-18,78.0,82.0,73.0,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.59,0.863,0.655,2021-11-18,76.0,72.0,73.0,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.95,0.863,0.701,2022-08-25,81.0,84.0,81.0,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,490.44,0.863,0.308,2023-09-06,36.0,84.0,80.0,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,487.14,0.863,0.218,2018-05-24,25,15,28,425,-,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.74,0.863,0.673,2020-07-23,78,70,59,425.0,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,489.43,0.863,0.419,2015-12-03,49,75,89,425,-,24.04358345,86.5806128001105
NARAYANPUR,4,1.36,0.863,0.627,2022-11-10,73.0,70.0,71.0,425,0.0,24.04358345,86.5806128001105
NARAYANPUR,492.25,491.29,0.863,0.619,2021-01-21,72,76,71,425.0,0.0,24.04358345,86.5806128001105
