NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
NIRA DEOGHAR,667.1,666.8,0.332,0.328,2020-12-17,99,100,79,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,654.4,0.332,0.172,2021-03-25,52,64,38,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,665.8,0.332,0.314,2020-02-06,95,38,54,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2023-10-26,100.0,100.0,95.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.0,0.332,0.331,2021-11-25,100.0,100.0,90.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,640.2,0.332,0.053,2022-06-09,16.0,10.0,5.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.6,0.332,0.325,2022-08-18,98.0,100.0,93.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.0,0.332,0.331,2021-11-18,100.0,100.0,92.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-08-25,100.0,100.0,95.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.89,0.332,0.329,2023-09-06,99.0,100.0,94.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,644.0,0.332,0.079,2020-07-23,24,3,46,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.10,667.1,0.332,0.332,2022-11-10,100.0,100.0,3.0,0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,662.55,0.332,0.269,2021-01-21,81,99,66,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.95,0.332,0.33,2021-08-05,99,44,70,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,655.8,0.332,0.187,2021-03-18,56,68,42,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,649.4,0.332,0.123,2023-05-04,37.0,34.0,20.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,658.97,0.332,0.224,2024-01-04,67.0,98.0,74.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2020-09-24,100,100,95,0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,637.9,0.332,0.039,2020-07-09,12,3,19,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2023-10-19,100.0,100.0,95.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,632.8,0.332,0.016,2022-06-23,5.0,6.0,7.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,633.7,0.332,0.02,2021-06-17,6,17,5,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,638.9,0.332,0.045,2021-06-03,14,23,6,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2021-08-12,100,63,77,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,657.25,0.332,0.204,2024-03-14,61.0,63.0,45.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,648.75,0.332,0.117,2024-03-28,35.0,53.0,39.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,661.25,0.332,0.253,2023-12-21,76.0,99.0,83.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,657.7,0.332,0.209,2024-01-11,63.0,95.0,71.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,648.0,0.332,0.111,2023-05-11,33.0,32.0,17.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.7,0.332,0.326,2019-08-14,98,100,78,0,6,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,657.3,0.332,0.204,2022-03-17,61.0,56.0,43.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.05,0.332,0.331,2019-11-21,100,86,89,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,646.5,0.332,0.098,2020-05-21,30,3,9,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,642.75,0.332,0.07,2024-04-25,21.0,39.0,25.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,644.6,0.332,0.083,2020-07-30,25,3,57,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-11-17,100.0,100.0,91.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-11-03,100.0,100.0,5.0,0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.86,0.332,0.329,2023-09-29,99.0,100.0,96.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.9,0.332,0.329,2022-01-06,99.0,89.0,73.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.4,0.332,0.322,2022-01-13,97.0,86.0,70.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2020-10-01,100,100,96,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.14,0.332,0.332,2023-09-14,100.0,100.0,95.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2020-10-15,100,100,96,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2020-10-29,100,100,94,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,640.05,0.332,0.052,2021-05-27,16,25,8,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,645.65,0.332,0.091,2024-04-18,27.0,45.0,29.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,662.9,0.332,0.274,2023-02-09,83.0,80.0,58.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.8,0.332,0.328,2019-08-29,99,100,80,0,6,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,660.95,0.332,0.249,2023-02-23,75.0,72.0,54.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,650.1,0.332,0.129,2021-04-15,39,52,27,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,652.9,0.332,0.157,2021-04-01,47,59,34,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,646.95,0.332,0.102,2021-04-29,31,42,20,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,650.15,0.332,0.13,2024-03-07,39.0,69.0,47.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,636.55,0.332,0.032,2021-06-10,10,19,4,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,645.0,0.332,0.086,2023-07-13,26.0,36.0,27.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,631.0,0.332,0.01,2022-06-30,3.0,21.0,9.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,639.7,0.332,0.05,2023-07-06,15.0,8.0,16.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,653.3,0.332,0.161,2021-07-22,48,24,38,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2023-08-24,100.0,100.0,96.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2019-09-19,100,100,95,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2019-10-10,100,100,96,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,659.1,0.332,0.226,2020-03-19,68,32,38,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.8,0.332,0.328,2022-12-22,99.0,100.0,80.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.05,0.332,0.331,2021-12-16,100.0,99.0,83.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.0,0.332,0.331,2021-12-02,100.0,100.0,86.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,647.35,0.332,0.105,2022-05-12,32.0,22.0,16.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,637.1,0.332,0.04,2023-06-08,12.0,16.0,7.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2021-10-07,100,100,97,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2023-08-31,100.0,100.0,96.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.10,667.1,0.332,0.332,2022-10-27,100.0,100.0,6,0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.9,0.332,0.329,2020-01-09,99,55,67,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,652.55,0.332,0.153,2024-02-08,46.0,83.0,59.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,650.2,0.332,0.13,2024-02-22,39.0,75.0,53.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,657.3,0.332,0.209,2020-08-13,63,98,89,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2021-09-30,100,100,96,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,666.75,0.332,0.327,2020-01-23,98,46,61,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,629.1,0.332,0.006,2023-06-22,2.0,5.0,7.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2020-11-26,100,100,87,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2019-09-26,100,100,95,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,650.31,0.332,0.131,2023-04-27,39.0,38.0,25.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-12-08,100.0,100.0,83.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,658.8,0.332,0.222,2021-02-11,67,90,56,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,658.1,0.332,0.213,2020-03-26,64,28,34,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,660.25,0.332,0.24,2021-02-04,72,95,59,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,660.1,0.332,0.238,2022-02-24,72.0,66.0,53.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,648.35,0.332,0.114,2022-05-05,34.0,27.0,19.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,658.6,0.332,0.219,2022-07-28,66.0,94.0,54.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,649.1,0.332,0.12,2022-07-14,36.0,27.0,30.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,651.3,0.332,0.146,2020-08-06,44,97,83,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,643.6,0.332,0.077,2021-07-07,23,12,16,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,635.45,0.332,0.027,2024-05-16,8.0,31.0,19.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,636.5,0.332,0.032,2024-05-02,10.0,36.0,22.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-10-20,100.0,100.0,96.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2021-09-09,100,100,87,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-09-15,100.0,100.0,86.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2021-10-14,100,100,97,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,665.95,0.332,0.316,2023-01-12,95.0,97.0,72.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-09-01,100.0,100.0,95.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2022-09-29,100.0,100.0,96.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,667.1,0.332,0.332,2021-10-28,100.0,100.0,95.0,0.0,6.0,18.0938071,73.7113388394077
NIRA DEOGHAR,667.1,656.7,0.332,0.197,2020-04-02,59,23,30,0.0,6.0,18.0938071,73.7113388394077
