NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
NIZAM SAGAR,428.24,428.23,0.482,0.482,2020-12-17,100,23,50,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.67,0.482,0.228,2021-03-25,47,6,16,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,423.15,0.482,0.096,2020-02-06,20,0,32,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.09,0.482,0.482,2023-10-26,100.0,100.0,59.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2021-11-25,100.0,100.0,52.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.94,0.482,0.178,2022-06-09,37.0,43.0,11.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.94,0.482,0.463,2022-08-18,96.0,52.0,19.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2021-11-18,100.0,100.0,53.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.02,0.482,0.473,2022-08-25,98.0,55.0,21.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.09,0.482,0.482,2023-09-06,100.0,90.0,31.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,419.53,0.482,0.023,2020-07-23,5,0,12,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2022-11-10,100.0,100.0,55.0,3.61,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.52,0.482,0.411,2021-01-21,85,21,38,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.24,0.482,0.276,2021-08-05,57,5,18,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.01,0.482,0.255,2021-03-18,53,10,20,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.41,0.482,0.147,2023-05-04,30.0,40.0,14.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.32,0.482,0.386,2024-01-04,80.0,87.0,56.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.89,0.482,0.175,2020-09-24,36,14,42,94,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,419.53,0.482,0.023,2020-07-09,5,0,8,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.11,0.482,0.482,2023-10-19,100.0,100.0,59.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.86,0.482,0.173,2022-06-23,36.0,42.0,11.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.36,0.482,0.205,2021-06-17,43,5,9,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.4,0.482,0.208,2021-06-03,43,5,9,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.95,0.482,0.251,2021-08-12,52,5,18,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.08,0.482,0.187,2024-03-14,39.0,47.0,30.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.74,0.482,0.166,2024-03-28,34.0,37.0,23.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.67,0.482,0.429,2023-12-21,89.0,99.0,61.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.32,0.482,0.386,2024-01-11,80.0,86.0,54.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.39,0.482,0.146,2023-05-11,30.0,39.0,15.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.42,0.482,0.292,2022-03-17,61.0,53.0,23.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,423.7,0.482,0.116,2019-11-20,24,1,51,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,419.53,0.482,0.024,2020-05-21,5,0,9,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.34,0.482,0.144,2024-04-25,30.0,31.0,17.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,419.53,0.482,0.023,2020-07-30,5,0,13,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2022-11-17,100.0,100.0,55.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2022-11-03,100.0,100.0,52.0,3.61,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.23,0.482,0.482,2023-09-27,100.0,100.0,46.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.86,0.482,0.453,2022-01-06,94.0,91.0,45.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.84,0.482,0.45,2022-01-13,93.0,90.0,43.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.96,0.482,0.252,2020-10-01,52,18,45,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.23,0.482,0.482,2023-09-14,100.0,96.0,34.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.24,0.482,0.355,2020-10-15,74,20,47,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2020-10-29,100,22,50,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.44,0.482,0.211,2021-05-27,44,5,9,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.35,0.482,0.144,2024-04-18,30.0,31.0,17.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.8,0.482,0.329,2023-02-09,68.0,82.0,39.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.47,0.482,0.298,2023-02-23,62.0,73.0,33.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.02,0.482,0.183,2021-04-15,38,5,12,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.42,0.482,0.209,2021-04-01,43,6,14,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.09,0.482,0.187,2021-04-29,39,5,10,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.6,0.482,0.223,2024-03-07,46.0,50.0,33.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.36,0.482,0.205,2021-06-10,43,5,6,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,422.8,0.482,0.085,2023-07-13,18.0,43.0,13.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.59,0.482,0.157,2022-06-30,33.0,42.0,10.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,422.79,0.482,0.085,2023-07-06,18.0,30.0,12.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.63,0.482,0.225,2021-07-22,47,5,11,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.07,0.482,0.48,2023-08-24,100.0,98.0,30.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,421.24,0.482,0.026,2019-09-19,5,6,34,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,423.15,0.482,0.096,2019-10-10,20,2,44,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,421.28,0.482,0.05,2020-03-18,10,0,19,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.0,0.482,0.471,2022-12-22,98.0,100.0,53.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2021-12-16,100.0,100.0,51.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2021-12-02,100.0,100.0,52.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.11,0.482,0.188,2022-05-12,39.0,42.0,12.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.3,0.482,0.142,2023-06-08,29.0,37.0,13.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2021-10-07,100,54,41,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.93,0.482,0.462,2023-08-31,96.0,93.0,28.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.16,0.482,0.482,2022-10-27,100.0,100.0,52,3.61,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,423.45,0.482,0.106,2020-01-06,22,1,42,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.53,0.482,0.303,2024-02-08,63.0,70.0,44.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.18,0.482,0.271,2024-02-22,56.0,62.0,38.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,419.81,0.482,0.026,2020-08-13,5,0,17,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.49,0.482,0.407,2021-09-30,84,51,40,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,423.24,0.482,0.099,2020-01-23,21,1,35,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.19,0.482,0.137,2023-06-22,28.0,36.0,13.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2020-11-26,100,24,52,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,422.21,0.482,0.069,2019-09-26,14,4,41,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.43,0.482,0.149,2023-04-27,31.0,40.0,14.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.22,0.482,0.482,2022-12-08,100.0,100.0,55.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.08,0.482,0.359,2021-02-11,74,20,33,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,420.18,0.482,0.031,2020-03-26,6,0,15,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.2,0.482,0.373,2021-02-04,77,20,33,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.01,0.482,0.351,2022-02-24,73.0,67.0,31.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.15,0.482,0.191,2022-05-05,40.0,41.0,12.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.91,0.482,0.46,2022-07-28,95.0,61.0,17.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.06,0.482,0.259,2022-07-14,54.0,38.0,10.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,419.53,0.482,0.023,2020-08-06,5,0,17,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.15,0.482,0.191,2021-07-08,40,5,9,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.26,0.482,0.14,2024-05-16,29.0,30.0,16.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,424.34,0.482,0.144,2024-05-02,30.0,31.0,18.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.17,0.482,0.482,2022-10-20,100.0,100.0,51.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.1,0.482,0.482,2021-09-09,100,15,26,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.05,0.482,0.478,2022-09-15,99.0,100.0,26.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2021-10-14,100,57,42,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.55,0.482,0.414,2023-01-12,86.0,93.0,47.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,427.8,0.482,0.446,2022-09-01,93.0,62.0,21.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.15,0.482,0.482,2022-09-29,100.0,85.0,39.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,428.24,0.482,0.482,2021-10-28,100.0,100.0,50.0,93.619,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,420.11,0.482,0.03,2020-03-31,6,0,14,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,419.7,0.482,0.025,2020-04-16,5,0,11,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.46,0.482,0.212,2021-05-20,44,5,10,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,423.19,0.482,0.098,2019-10-16,20,2,47,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,423.0,0.482,0.091,2019-10-03,19,5,43,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,425.52,0.482,0.216,2023-03-16,45.0,61.0,25.0,93.62,10.0,18.1735195,77.9340163606773
NIZAM SAGAR,428.24,426.05,0.482,0.259,2023-03-02,54.0,71.0,31.0,93.619,10.0,18.1735195,77.9340163606773
