NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
OMKARESHWAR,196.6,194.06,0.299,0.046,2020-12-17,15,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.75,0.299,0.108,2021-03-25,36,57,6,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.49,0.299,0.175,2020-02-06,59,0,100,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.48,0.299,0.084,2023-10-26,28.0,7.0,15.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.58,0.299,0.003,2021-11-25,1.0,67.0,15.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.64,0.299,0.009,2022-06-09,3.0,16.0,10.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.48,0.299,0.084,2022-08-18,28.0,31.0,5.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.21,0.299,0.06,2021-11-18,20.0,74.0,16.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.12,0.299,0.142,2022-08-23,47.0,38.0,10.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.84,0.299,0.027,2023-09-05,9.0,81.0,17.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.97,0.299,0.038,2020-07-23,13,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.27,0.299,0.245,2021-01-21,82,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.55,0.299,0.09,2021-08-05,30,14,1,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.72,0.299,0.195,2021-03-18,65,59,6,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.51,0.299,0.0,2023-05-04,0.0,0.0,11.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.39,0.299,0.166,2023-12-28,56.0,32.0,27.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.2,0.299,0.059,2020-09-23,20,0,0,132,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.93,0.299,0.035,2020-07-09,12,0,100,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.9,0.299,0.122,2023-10-19,41.0,14.0,13.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.92,0.299,0.034,2022-06-23,11.0,60.0,9.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.7,0.299,0.104,2021-06-17,35,40,4,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.12,0.299,0.052,2021-06-03,17,69,7,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.24,0.299,0.063,2021-08-12,21,16,2,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.83,0.299,0.115,2024-03-14,38.0,42.0,17.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.99,0.299,0.13,2024-03-28,43.0,44.0,16.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.39,0.299,0.076,2023-12-21,25.0,40.0,22.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.4,0.299,0.167,2024-01-11,56.0,11.0,20.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.94,0.299,0.036,2023-05-11,12.0,4.0,9.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,192.7,0.299,0.0,2019-08-14,0,0,0,132.5,520,22.2429799,76.1495705
OMKARESHWAR,196.6,194.72,0.299,0.106,2022-03-17,35.0,60.0,12.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.51,0.299,0.266,2019-11-21,89,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.07,0.299,0.0,2020-05-21,0,0,100,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.19,0.299,0.148,2024-04-25,49.0,1.0,11.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.04,0.299,0.045,2020-07-30,15,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.08,0.299,0.048,2022-11-17,16.0,25.0,19.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.28,0.299,0.156,2023-09-28,52.0,80.0,14.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.25,0.299,0.063,2022-01-06,21.0,88.0,17.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.2,0.299,0.059,2022-01-13,20.0,85.0,16.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.08,0.299,0.048,2020-10-01,16,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.64,0.299,0.098,2023-09-13,33.0,75.0,15.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.84,0.299,0.206,2020-10-15,69,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.15,0.299,0.234,2020-10-29,78,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.76,0.299,0.019,2021-05-27,6,71,7,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.43,0.299,0.169,2024-04-18,57.0,10.0,12.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.37,0.299,0.169,2023-02-09,57.0,38.0,17.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,192.91,0.299,0.0,2019-08-29,0,0,0,132.5,520,22.2429799,76.1495705
OMKARESHWAR,196.6,195.86,0.299,0.208,2023-02-23,70.0,29.0,12.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.49,0.299,0.085,2021-04-15,28,74,7,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.71,0.299,0.105,2021-04-01,35,63,6,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.44,0.299,0.08,2021-04-29,27,81,8,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.44,0.299,0.08,2024-03-07,27.0,66.0,17.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.06,0.299,0.046,2021-06-10,15,74,7,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.33,0.299,0.071,2023-07-13,24.0,26.0,8.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.53,0.299,0.0,2022-06-30,0.0,65.0,9.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.39,0.299,0.076,2023-07-06,25.0,38.0,11.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.64,0.299,0.098,2021-07-22,33,12,1,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.17,0.299,0.146,2023-08-24,49.0,0.0,6.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,192.95,0.299,0.0,2019-09-19,0,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,192.64,0.299,0.0,2019-10-10,0,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.48,0.299,0.174,2020-03-19,58,0,100,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.99,0.299,0.13,2022-12-22,43.0,65.0,19.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.31,0.299,0.069,2021-12-15,23.0,12.0,9.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.67,0.299,0.011,2021-12-02,4.0,41.0,13.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.72,0.299,0.016,2022-05-12,5.0,10.0,9.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.74,0.299,0.107,2023-06-08,36.0,8.0,10.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.44,0.299,0.08,2021-10-07,27,25,3,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.2,0.299,0.059,2023-08-31,20.0,75.0,13.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.15,0.299,0.234,2020-01-08,78,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.13,0.299,0.142,2024-02-08,47.0,50.0,22.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.74,0.299,0.107,2024-02-22,36.0,70.0,19.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.08,0.299,0.048,2020-08-13,16,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.9,0.299,0.122,2021-09-30,41,13,1,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.12,0.299,0.231,2020-01-23,77,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.31,0.299,0.069,2023-06-22,23.0,9.0,10.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.61,0.299,0.186,2020-11-26,62,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,192.82,0.299,0.0,2019-09-26,0,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.68,0.299,0.012,2023-04-27,4.0,0.0,11.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.27,0.299,0.065,2022-12-08,22.0,14.0,13.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.04,0.299,0.224,2021-02-11,75,53,5,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.36,0.299,0.163,2020-03-26,55,0,100,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,196.0,0.299,0.221,2021-02-04,74,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.48,0.299,0.084,2022-02-24,28.0,45.0,8.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,193.58,0.299,0.003,2022-05-05,1.0,25.0,11.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.55,0.299,0.09,2022-07-28,30.0,41.0,6.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.88,0.299,0.12,2022-07-14,40.0,36.0,6.0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,194.01,0.299,0.042,2020-08-05,14,0,0,132.5,520.0,22.2429799,76.1495705
OMKARESHWAR,196.6,195.18,0.299,0.147,2021-07-08,49,14,1,132.5,520.0,22.2429799,76.1495705
