NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PANAM,127.41,125.85,0.697,0.451,2016-10-27,65,47,73,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,124.8,0.697,0.39,2020-12-17,56,75,69,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,123.65,0.697,0.033,2015-07-22,5,52,46,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,127.41,0.697,0.553,2018-10-03,79,79,72,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,120.8,0.697,0.212,2017-06-08,30,17,38,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,122.25,0.697,0.267,2021-03-25,38,55,51,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,125.9,0.697,0.454,2020-02-06,65,60,53,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,127.3,0.697,0.545,2017-08-31,78,56,66,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,127.35,0.697,0.549,2023-10-26,79.0,44.0,66.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,117.85,0.697,0.118,2016-05-11,17,47,42,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,121.75,0.697,0.247,2018-05-31,35,30,38,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,125.4,0.697,0.424,2016-12-22,61,37,65,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,124.0,0.697,0.348,2021-11-25,50.0,60.0,73.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,119.2,0.697,0.161,2022-06-09,23.0,34.0,42.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,120.8,0.697,0.212,2022-08-18,30.0,29.0,61.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,124.1,0.697,0.354,2021-11-18,51.0,62.0,73.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,121.15,0.697,0.224,2022-08-25,32.0,28.0,66.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,122.2,0.697,0.265,2023-09-05,38.0,33.0,62.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,121.8,0.697,0.249,2018-05-24,36,31,38,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,120.7,0.697,0.209,2020-07-23,30,36,43,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,122.7,0.697,0.287,2015-12-03,41,68,73,36,2,75.9599443500744,11.6716293709237
PANAM,123.10,0.6,7.0,0.305,2022-11-10,44.0,51.0,70.0,36,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,124.05,0.697,0.351,2021-01-21,50,69,63,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,120.85,0.697,0.214,2021-08-05,31,28,51,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,122.2,0.697,0.265,2015-12-17,38,66,70,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,122.45,0.697,0.276,2021-03-18,40,56,53,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,126.55,0.697,0.491,2017-08-24,70,50,62,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,127.41,0.697,0.553,2018-10-10,79,77,72,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,119.65,0.697,0.175,2023-05-04,25.0,23.0,41.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,126.65,0.697,0.501,2024-01-04,72.0,34.0,57.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,120.0,0.697,0.186,2016-07-28,27,54,46,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,118.85,0.697,0.152,2016-07-12,22,49,44,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,125.35,0.697,0.421,2020-09-24,60,79,79,36,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,121.1,0.697,0.223,2020-07-09,32,37,39,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,120.2,0.697,0.192,2016-02-18,28,56,59,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,127.4,0.697,0.552,2023-10-19,79.0,44.0,67.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,117.9,0.697,0.128,2016-05-05,18,47,43,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,123.2,0.697,0.31,2019-04-10,44,45,42,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,119.2,0.697,0.161,2022-06-23,23.0,34.0,42.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,125.75,0.697,0.445,2016-12-08,64,40,68,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,123.45,0.697,0.321,2019-04-03,46,46,43,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,121.45,0.697,0.235,2021-06-17,34,40,42,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,121.6,0.697,0.241,2021-06-03,35,40,42,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,121.8,0.697,0.249,2017-04-27,36,19,43,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,119.9,0.697,0.182,2016-02-25,26,55,58,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,120.65,0.697,0.207,2021-08-12,30,27,58,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,124.95,0.697,0.399,2024-03-14,57.0,27.0,45.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,124.7,0.697,0.385,2024-03-28,55.0,26.0,42.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,120.8,0.697,0.212,2017-06-21,30,17,38,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,126.95,0.697,0.522,2023-12-21,75.0,37.0,59.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,126.6,0.697,0.498,2024-01-11,71.0,33.0,56.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,119.55,0.697,0.172,2023-05-11,25.0,23.0,40.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,124.0,0.697,0.35,2015-07-08,50,52,44,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,124.3,0.697,0.364,2015-09-29,52,77,82,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,125.6,0.697,0.436,2019-01-24,63,62,55,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,126.4,0.697,0.485,2019-08-13,70,48,55,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,126.85,0.697,0.515,2017-11-02,74,65,69,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,126.75,0.697,0.508,2017-11-16,73,65,68,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,121.05,0.697,0.221,2022-03-17,32.0,40.0,53.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,127.4,0.697,0.552,2019-11-21,79,75,67,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,122.7,0.697,0.287,2020-05-21,41,35,39,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,123.6,0.697,0.328,2015-10-28,47,73,77,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,124.05,0.697,0.351,2015-10-13,50,76,81,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,126.65,0.697,0.501,2018-12-12,72,70,62,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,123.65,0.697,0.331,2024-04-25,47.0,26.0,38.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,120.45,0.697,0.2,2020-07-30,29,35,47,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,123.0,0.697,0.301,2022-11-17,43.0,51.0,69.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,123.45,0.697,0.321,2017-03-16,46,22,51,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,123.9,0.697,0.343,2017-03-01,49,25,53,36,2,75.9599443500744,11.6716293709237
PANAM,127.41,122.5,0.697,0.278,2015-12-10,40,67,72,36,2,75.9599443500744,11.6716293709237
PANAM,123.15,0.6,7.0,0.307,2022-11-03,44.0,52.0,70.0,36,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,127.41,0.697,0.553,2023-09-28,79.0,38.0,67.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,123.15,0.697,0.308,2022-01-06,44.0,53.0,66.0,36.0,2.0,75.9599443500744,11.6716293709237
PANAM,127.41,122.95,0.697,0.299,2022-01-13,43.0,52.0,64.0,36.0,2.0,75.9599443500744,11.6716293709237
