NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PANCHET HILL,124.97,127.84,0.184,0.184,2020-12-17,100,100,83,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.44,0.184,0.158,2021-03-25,86,100,65,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,126.23,0.184,0.184,2023-10-26,100.0,100.0,85.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.38,0.184,0.184,2021-11-24,100.0,100.0,86.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.86,0.184,0.184,2021-11-18,100.0,100.0,86.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.51,0.184,0.162,2023-09-05,88.0,100.0,93.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,123.6,0.184,0.121,2020-07-22,66,54,74,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.71,0.184,0.184,2021-01-21,100,100,80,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,129.17,0.184,0.184,2021-08-05,100,92,79,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.45,0.184,0.159,2021-03-18,86,100,69,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,123.08,0.184,0.1,2023-05-04,54.0,87.0,56.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,126.66,0.184,0.184,2024-01-04,100.0,100.0,86.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.83,0.184,0.184,2020-09-24,100,100,92,0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.21,0.184,0.184,2023-10-19,100.0,100.0,90.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.33,0.184,0.153,2021-06-17,83,34,45,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.99,0.184,0.184,2021-06-03,100,59,48,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.43,0.184,0.184,2021-08-12,100,80,84,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,125.33,0.184,0.184,2024-03-14,100.0,99.0,78.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,125.23,0.184,0.184,2024-03-28,100.0,94.0,72.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,126.67,0.184,0.184,2023-12-21,100.0,100.0,85.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,126.63,0.184,0.184,2024-01-11,100.0,100.0,89.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.1,0.184,0.184,2022-03-17,100.0,87.0,83.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.71,0.184,0.184,2019-11-21,100,76,82,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.79,0.184,0.175,2024-04-25,95.0,58.0,61.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.32,0.184,0.153,2020-07-30,83,62,82,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,125.71,0.184,0.184,2023-09-29,100.0,100.0,96.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.34,0.184,0.184,2022-01-05,100.0,100.0,86.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.41,0.184,0.184,2022-01-11,100.0,100.0,89.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.4,0.184,0.184,2020-10-01,100,100,96,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,125.44,0.184,0.184,2023-09-14,100.0,100.0,89.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.96,0.184,0.184,2020-10-15,100,100,90,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.55,0.184,0.184,2020-10-28,100,100,79,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,122.97,0.184,0.096,2021-05-27,52,61,46,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.94,0.184,0.183,2024-04-18,99.0,66.0,65.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,123.29,0.184,0.109,2021-04-13,59,100,59,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,123.96,0.184,0.137,2021-04-01,74,100,64,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,123.08,0.184,0.1,2021-04-29,54,100,53,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,125.42,0.184,0.184,2024-03-07,100.0,100.0,84.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,124.25,0.184,0.15,2021-06-10,82,53,46,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,121.99,0.184,0.061,2023-07-13,33.0,46.0,61.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,121.83,0.184,0.057,2023-07-06,31.0,46.0,55.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,125.3,0.184,0.184,2021-07-22,100,66,77,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,123.79,0.184,0.129,2023-08-24,70.0,100.0,90.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.17,0.184,0.184,2019-10-10,100,76,89,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.07,0.184,0.184,2022-12-22,100.0,100.0,87.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,127.83,0.184,0.184,2021-12-15,100.0,100.0,86.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.35,0.184,0.184,2021-12-02,100.0,100.0,86.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,122.38,0.184,0.074,2023-06-08,40.0,45.0,53.0,0.0,80.0,23.6894152,86.7619917
PANCHET HILL,124.97,128.89,0.184,0.184,2021-10-07,100,100,93,0.0,80.0,23.6894152,86.7619917
