NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PANSHET(TANAJISAGAR),636.27,636.45,0.302,0.302,2023-10-26,100.0,100.0,95.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,636.2,0.302,0.301,2023-09-06,100.0,19.0,19.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,617.0,0.302,0.083,2023-05-04,27.0,56.0,49.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,633.86,0.302,0.267,2024-01-04,88.0,47.0,53.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,636.43,0.302,0.302,2023-10-19,100.0,100.0,95.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,625.48,0.302,0.163,2024-03-14,54.0,100.0,64.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,623.0,0.302,0.137,2024-03-28,45.0,47.0,54.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,633.96,0.302,0.268,2023-12-21,89.0,92.0,89.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,633.68,0.302,0.264,2024-01-11,87.0,100.0,95.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,615.49,0.302,0.071,2023-05-11,24.0,100.0,94.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,617.65,0.302,0.088,2024-04-25,29.0,31.0,42.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,636.2,0.302,0.301,2023-09-29,100.0,100.0,94.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,636.25,0.302,0.301,2023-09-14,100.0,100.0,94.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,618.99,0.302,0.099,2024-04-18,33.0,35.0,45.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,626.65,0.302,0.176,2024-03-07,58.0,100.0,30.0,0.0,8.0,73.6114934619132,18.3792612616443
PANSHET(TANAJISAGAR),636.27,617.55,0.302,0.087,2023-07-13,29.0,41.0,41.0,0.0,8.0,73.6114934619132,18.3792612616443
