NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PARAMBIKULAM,556.26,543.07,0.38,0.128,2016-10-26,34,71,87,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,555.47,0.38,0.363,2020-12-17,96,94,70,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,542.86,0.38,0.125,2015-07-22,33,24,59,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,555.62,0.38,0.366,2018-10-03,96,50,76,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,535.99,0.38,0.02,2017-06-08,5,9,27,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,548.61,0.38,0.227,2021-03-25,60,59,34,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,553.76,0.38,0.327,2020-02-06,86,69,52,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,541.97,0.38,0.11,2017-08-31,29,41,76,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,547.18,0.38,0.2,2023-10-26,53.0,54.0,79.0,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,537.31,0.38,0.039,2016-05-12,10,17,32,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,536.47,0.38,0.027,2018-05-31,7,5,27,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,539.88,0.38,0.077,2016-12-22,20,72,81,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,555.97,0.38,0.373,2021-11-25,98.0,95.0,74.0,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,547.8,0.38,0.212,2022-06-09,56.0,31.0,18.0,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,555.61,0.38,0.366,2022-08-18,96.0,92.0,68.0,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,556.02,0.38,0.374,2021-11-18,98.0,96.0,76.0,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,555.83,0.38,0.37,2022-08-25,97.0,95.0,71.0,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,546.65,0.38,0.191,2023-09-06,50.0,98.0,80.0,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,536.18,0.38,0.023,2018-05-23,6,5,28,101,-,10.3865889,76.7681666
PARAMBIKULAM,556.26,542.9,0.38,0.125,2020-07-23,33,15,48,101.0,0.0,10.3865889,76.7681666
PARAMBIKULAM,556.26,551.2,0.38,0.276,2015-12-02,73,92,86,101,-,10.3865889,76.7681666
