NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PENCH(TOTLADOH),490.0,482.77,1.091,0.545,2016-10-26,50,63,74,127,160,,
PENCH(TOTLADOH),490.0,489.31,1.091,0.963,2020-12-17,88,89,55,127.0,160.0,,
PENCH(TOTLADOH),490.0,472.6,1.091,0.156,2015-07-22,14,39,34,127,160,,
PENCH(TOTLADOH),490.0,476.7,1.091,0.281,2018-10-04,26,40,75,127,160,,
PENCH(TOTLADOH),490.0,467.47,1.091,0.048,2017-06-08,4,9,20,127,160,,
PENCH(TOTLADOH),490.0,486.47,1.091,0.763,2021-03-25,70,80,34,127.0,160.0,,
PENCH(TOTLADOH),490.0,488.75,1.091,0.921,2020-02-06,84,9,40,127.0,160.0,,
PENCH(TOTLADOH),490.0,471.5,1.091,0.129,2017-08-30,12,75,69,127,160,,
PENCH(TOTLADOH),490.0,489.17,1.091,0.953,2023-10-26,87.0,92.0,72.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,471.2,1.091,0.122,2016-05-11,11,18,24,127,160,,
PENCH(TOTLADOH),490.0,469.29,1.091,0.081,2018-05-31,7,5,20,127,160,,
PENCH(TOTLADOH),490.0,480.34,1.091,0.427,2016-12-21,39,46,55,127,160,,
PENCH(TOTLADOH),490.0,487.72,1.091,0.847,2021-11-25,78.0,90.0,61.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,482.59,1.091,0.536,2022-06-09,49.0,59.0,27.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,489.24,1.091,0.958,2022-08-18,88.0,59.0,54.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,487.77,1.091,0.851,2021-11-18,78.0,90.0,62.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,489.45,1.091,0.974,2022-08-25,89.0,60.0,56.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,489.2,1.091,0.955,2023-09-06,88.0,92.0,66.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,470.09,1.091,0.097,2018-05-23,9,5,22,127,160,,
PENCH(TOTLADOH),490.0,487.64,1.091,0.842,2020-07-23,77,0,31,127.0,160.0,,
PENCH(TOTLADOH),490.0,482.48,1.091,0.53,2015-12-03,49,45,63,127,160,,
PENCH(TOTLADOH),490.0,488.12,1.091,0.875,2021-01-21,80,88,48,127.0,160.0,,
PENCH(TOTLADOH),490.0,485.06,1.091,0.674,2021-08-05,62,80,43,127.0,160.0,,
PENCH(TOTLADOH),490.0,482.05,1.091,0.508,2015-12-17,47,45,60,127,160,,
PENCH(TOTLADOH),490.0,486.71,1.091,0.778,2021-03-17,71,80,37,127.0,160.0,,
PENCH(TOTLADOH),490.0,470.69,1.091,0.111,2017-08-23,10,74,66,127,160,,
PENCH(TOTLADOH),490.0,474.71,1.091,0.216,2018-10-11,20,38,73,127,160,,
PENCH(TOTLADOH),490.0,484.0,1.091,0.612,2023-05-04,56.0,54.0,33.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,486.15,1.091,0.742,2024-01-03,68.0,74.0,59.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,484.45,1.091,0.638,2016-07-27,58,18,38,127,160,,
PENCH(TOTLADOH),490.0,480.6,1.091,0.439,2016-07-13,40,18,25,127,160,,
PENCH(TOTLADOH),490.0,489.79,1.091,1.0,2020-09-24,92,93,78,127,160.0,,
PENCH(TOTLADOH),490.0,487.21,1.091,0.812,2020-07-09,74,0,19,127.0,160.0,,
PENCH(TOTLADOH),490.0,476.51,1.091,0.274,2016-02-17,25,23,40,127,160,,
PENCH(TOTLADOH),490.0,489.27,1.091,0.96,2023-10-19,88.0,93.0,74.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,471.44,1.091,0.127,2016-05-04,12,18,25,127,160,,
PENCH(TOTLADOH),490.0,466.5,1.091,0.033,2019-04-09,3,12,27,127,160,,
PENCH(TOTLADOH),490.0,482.33,1.091,0.522,2022-06-23,48.0,57.0,26.0,127.0,160.0,,
PENCH(TOTLADOH),490.0,480.91,1.091,0.453,2016-12-07,42,48,60,127,160,,
