NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PERIYAR,867.41,858.82,0.173,0.008,2016-10-26,5,40,56,84,140,10.1643734,76.4425439
PERIYAR,867.41,843.34,0.173,0.079,2020-12-17,46,60,62,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,863.12,0.173,0.092,2015-07-22,53,37,52,84,140,10.1643734,76.4425439
PERIYAR,867.41,864.42,0.173,0.103,2018-10-03,60,50,42,84,140,10.1643734,76.4425439
PERIYAR,867.41,858.7,0.173,0.006,2017-06-08,3,8,29,84,140,10.1643734,76.4425439
PERIYAR,867.41,864.62,0.173,0.107,2021-03-25,62,20,17,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,861.14,0.173,0.044,2020-02-06,25,24,27,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,861.63,0.173,0.052,2017-08-31,30,24,49,84,140,10.1643734,76.4425439
PERIYAR,867.41,863.44,0.173,0.084,2023-10-26,49.0,90.0,60.0,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,859.19,0.173,0.013,2016-05-12,8,15,32,84,140,10.1643734,76.4425439
PERIYAR,867.41,860.77,0.173,0.037,2018-05-31,21,3,27,84,140,10.1643734,76.4425439
PERIYAR,867.41,859.68,0.173,0.02,2016-12-22,12,100,65,84,140,10.1643734,76.4425439
PERIYAR,867.41,868.64,0.173,0.173,2021-11-25,100.0,61.0,60.0,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,865.73,0.173,0.131,2022-06-09,76.0,77.0,24.0,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,867.27,0.173,0.165,2022-08-18,95.0,83.0,60.0,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,868.55,0.173,0.173,2021-11-18,100.0,52.0,57.0,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,867.1,0.173,0.161,2022-08-25,93.0,80.0,58.0,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,861.78,0.173,0.054,2023-09-06,31.0,96.0,62.0,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,860.13,0.173,0.027,2018-05-23,16,4,27,84,140,10.1643734,76.4425439
PERIYAR,867.41,860.38,0.173,0.031,2020-07-23,18,17,43,84.0,140.0,10.1643734,76.4425439
PERIYAR,867.41,868.18,0.173,0.173,2015-12-02,100,100,74,84,140,10.1643734,76.4425439
