NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PONG DAM(BEAS),423.67,415.14,6.157,3.997,2016-10-26,65,78,76,-,360,,
PONG DAM(BEAS),423.67,411.37,6.157,3.144,2020-12-17,51,73,61,0.0,396.0,,
PONG DAM(BEAS),423.67,412.29,6.157,3.437,2015-07-22,56,32,35,-,360,,
PONG DAM(BEAS),423.67,424.35,6.157,6.089,2018-10-04,99,82,82,-,360,,
PONG DAM(BEAS),423.67,394.44,6.157,0.8,2017-06-08,13,5,23,-,360,,
PONG DAM(BEAS),423.67,396.41,6.157,1.087,2021-03-25,18,59,32,0.0,396.0,,
PONG DAM(BEAS),423.67,416.17,6.157,4.086,2020-02-06,66,52,40,0.0,396.0,,
PONG DAM(BEAS),423.67,420.97,6.157,5.272,2017-08-31,86,71,76,-,360,,
PONG DAM(BEAS),423.67,420.44,6.157,5.085,2023-10-26,83.0,83.0,77.0,0.0,396.0,,
PONG DAM(BEAS),423.67,393.0,6.157,0.655,2016-05-11,11,36,30,-,360,,
PONG DAM(BEAS),423.67,391.99,6.157,0.562,2018-05-31,9,13,21,-,360,,
PONG DAM(BEAS),423.67,409.32,6.157,2.894,2016-12-22,47,57,53,-,360,,
PONG DAM(BEAS),423.67,410.49,6.157,2.99,2021-11-25,49.0,58.0,64.0,0.0,396.0,,
PONG DAM(BEAS),423.67,399.95,6.157,1.343,2022-06-09,22.0,12.0,23.0,0.0,396.0,,
PONG DAM(BEAS),423.67,416.2,6.157,4.143,2022-08-18,67.0,38.0,64.0,0.0,396.0,,
PONG DAM(BEAS),423.67,410.68,6.157,3.02,2021-11-18,49.0,59.0,68.0,0.0,396.0,,
PONG DAM(BEAS),423.67,420.91,6.157,4.972,2022-08-25,81.0,40.0,73.0,0.0,396.0,,
PONG DAM(BEAS),423.67,423.26,6.157,5.698,2023-09-06,93.0,88.0,84.0,0.0,396.0,,
PONG DAM(BEAS),423.67,392.64,6.157,0.622,2018-05-24,10,13,22,-,360,,
PONG DAM(BEAS),423.67,407.26,6.157,2.429,2020-07-23,39,37,34,0.0,396.0,,
PONG DAM(BEAS),423.67,415.22,6.157,4.015,2015-12-03,65,49,62,-,360,,
PONG DAM(BEAS),423.67,420.02,6.157,4.811,2022-11-10,78.0,50.0,68.0,0,3.0,,
PONG DAM(BEAS),423.67,407.52,6.157,2.473,2021-01-21,40,68,49,0.0,396.0,,
PONG DAM(BEAS),423.67,405.56,6.157,2.144,2021-08-05,35,44,50,0.0,396.0,,
PONG DAM(BEAS),423.67,413.39,6.157,3.65,2015-12-17,59,43,56,-,360,,
PONG DAM(BEAS),423.67,397.52,6.157,1.053,2021-03-18,17,62,33,0.0,396.0,,
PONG DAM(BEAS),423.67,420.29,6.157,5.115,2017-08-23,83,65,73,-,360,,
PONG DAM(BEAS),423.67,424.09,6.157,6.024,2018-10-09,98,80,83,-,360,,
PONG DAM(BEAS),423.67,405.74,6.157,2.123,2023-05-04,34.0,28.0,29.0,0.0,396.0,,
PONG DAM(BEAS),423.67,415.31,6.157,3.907,2023-12-31,63.0,63.0,54.0,0.0,396.0,,
PONG DAM(BEAS),423.67,399.62,6.157,1.383,2016-07-27,22,62,39,-,360,,
PONG DAM(BEAS),423.67,395.28,6.157,0.886,2016-07-13,14,43,30,-,360,,
PONG DAM(BEAS),423.67,418.75,6.157,4.637,2020-09-24,75,87,88,0,396.0,,
PONG DAM(BEAS),423.67,406.77,6.157,2.347,2020-07-09,38,32,26,0.0,396.0,,
PONG DAM(BEAS),423.67,401.15,6.157,1.595,2016-02-18,26,22,38,-,360,,
PONG DAM(BEAS),423.67,421.16,6.157,5.176,2023-10-19,84.0,87.0,81.0,0.0,396.0,,
PONG DAM(BEAS),423.67,394.02,6.157,0.756,2016-05-05,12,36,31,-,360,,
PONG DAM(BEAS),423.67,408.86,6.157,2.813,2019-04-11,46,13,25,-,360,,
PONG DAM(BEAS),423.67,396.33,6.157,0.917,2022-06-23,15.0,8.0,21.0,0.0,396.0,,
PONG DAM(BEAS),423.67,411.08,6.157,3.21,2016-12-08,52,63,59,-,360,,
PONG DAM(BEAS),423.67,408.52,6.157,2.751,2019-04-04,45,12,25,-,360,,
PONG DAM(BEAS),423.67,393.32,6.157,0.624,2021-06-17,10,40,26,0.0,396.0,,
PONG DAM(BEAS),423.67,394.85,6.157,0.773,2021-06-03,13,45,28,0.0,396.0,,
PONG DAM(BEAS),423.67,396.66,6.157,1.033,2017-04-27,17,13,29,-,360,,
PONG DAM(BEAS),423.67,399.65,6.157,1.387,2016-02-25,23,22,36,-,360,,
PONG DAM(BEAS),423.67,406.65,6.157,2.33,2021-08-12,38,48,61,0.0,396.0,,
PONG DAM(BEAS),423.67,404.38,6.157,1.966,2024-03-14,32.0,36.0,28.0,0.0,396.0,,
PONG DAM(BEAS),423.67,403.86,6.157,1.89,2024-03-28,31.0,34.0,26.0,0.0,396.0,,
PONG DAM(BEAS),423.67,392.26,6.157,0.587,2017-06-20,10,6,23,-,360,,
PONG DAM(BEAS),423.67,416.12,6.157,4.076,2023-12-21,66.0,66.0,55.0,0.0,396.0,,
PONG DAM(BEAS),423.67,413.85,6.157,3.616,2024-01-11,59.0,59.0,49.0,0.0,396.0,,
PONG DAM(BEAS),423.67,406.16,6.157,2.243,2023-05-11,36.0,28.0,28.0,0.0,396.0,,
PONG DAM(BEAS),423.67,406.14,6.157,2.344,2015-07-09,38,25,27,-,360,,
PONG DAM(BEAS),423.67,421.17,6.157,5.319,2015-09-30,86,69,85,-,360,,
PONG DAM(BEAS),423.67,412.65,6.157,3.508,2019-01-24,57,40,43,-,360,,
PONG DAM(BEAS),423.67,414.18,6.157,3.679,2019-08-14,60,52,61,-,360,,
PONG DAM(BEAS),423.67,416.81,6.157,4.35,2017-11-02,71,63,72,-,360,,
PONG DAM(BEAS),423.67,415.69,6.157,4.114,2017-11-16,67,58,66,-,360,,
PONG DAM(BEAS),423.67,402.91,6.157,1.751,2022-03-17,28.0,17.0,30.0,0.0,396.0,,
PONG DAM(BEAS),423.67,419.8,6.157,3.85,2019-11-21,63,84,67,0.0,396.0,,
PONG DAM(BEAS),423.67,411.14,6.157,3.103,2020-05-21,50,41,26,0.0,396.0,,
PONG DAM(BEAS),423.67,418.8,6.157,4.784,2015-10-29,78,62,76,-,360,,
PONG DAM(BEAS),423.67,419.96,6.157,5.042,2015-10-14,82,67,81,-,360,,
PONG DAM(BEAS),423.67,417.88,6.157,4.58,2018-12-13,74,57,59,-,360,,
PONG DAM(BEAS),423.67,404.13,6.157,1.93,2024-04-25,31.0,36.0,27.0,0.0,396.0,,
PONG DAM(BEAS),423.67,407.82,6.157,2.524,2020-07-30,41,41,41,0.0,396.0,,
PONG DAM(BEAS),423.67,419.29,6.157,4.681,2022-11-17,76.0,49.0,66.0,0.0,396.0,,
PONG DAM(BEAS),423.67,397.68,6.157,1.151,2017-03-16,19,18,31,-,360,,
PONG DAM(BEAS),423.67,400.21,6.157,1.464,2017-03-02,24,20,33,-,360,,
PONG DAM(BEAS),423.67,414.37,6.157,3.839,2015-12-10,62,46,59,-,360,,
PONG DAM(BEAS),423.67,420.72,6.157,5.06,2022-11-03,82.0,52.0,72.0,0,3.0,,
PONG DAM(BEAS),423.67,423.15,6.157,5.448,2023-09-27,88.0,88.0,84.0,0.0,396.0,,
PONG DAM(BEAS),423.67,407.62,6.157,2.49,2022-01-06,40.0,45.0,47.0,0.0,396.0,,
PONG DAM(BEAS),423.67,408.1,6.157,2.678,2022-01-13,43.0,44.0,48.0,0.0,396.0,,
PONG DAM(BEAS),423.67,418.27,6.157,4.53,2020-10-01,74,91,88,0.0,396.0,,
PONG DAM(BEAS),423.67,422.97,6.157,5.604,2023-09-14,91.0,84.0,84.0,0.0,396.0,,
