NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
PRIYADARSHINI JURALA,118.6,117.65,0.276,0.264,2020-12-17,96,96,95,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,108.85,0.276,0.145,2021-03-25,53,65,61,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,115.5,0.276,0.235,2020-02-06,85,69,77,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,316.96,0.168,0.084,2023-10-26,50.0,89.0,92.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.5,0.276,0.275,2021-11-25,100.0,97.0,96.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,100.85,0.276,0.065,2022-06-09,24.0,25.0,32.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.85,0.168,0.131,2022-06-09,78.0,59.0,10.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,117.1,0.276,0.257,2022-08-18,93.0,88.0,84.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.69,0.168,0.122,2022-08-18,73.0,58.0,71.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.5,0.276,0.275,2021-11-18,100.0,99.0,97.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.2,0.276,0.271,2022-08-25,98.0,92.0,92.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.79,0.168,0.127,2022-08-25,76.0,58.0,75.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,318.06,0.168,0.142,2023-09-06,85.0,88.0,89.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,107.6,0.276,0.13,2020-07-23,47,57,57,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,318.51,0.168,0.168,2022-11-10,100.0,58.0,86.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,115.2,0.276,0.232,2021-01-21,84,87,84,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,114.55,0.276,0.222,2021-08-05,80,61,74,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,109.65,0.276,0.155,2021-03-18,56,65,63,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,315.71,0.168,0.029,2023-05-04,17.0,47.0,14.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.09,0.168,0.09,2024-01-04,54.0,76.0,64.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.45,0.276,0.274,2020-09-24,99,96,99,18,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.39,0.168,0.106,2023-10-19,63.0,85.0,76.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,100.3,0.276,0.06,2022-06-23,22.0,26.0,33.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.77,0.168,0.126,2022-06-23,75.0,58.0,18.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,101.55,0.276,0.07,2021-06-17,25,33,37,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,101.5,0.276,0.07,2021-06-03,25,33,38,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,115.25,0.276,0.232,2021-08-12,84,82,80,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,314.94,0.168,0.003,2024-03-14,2.0,13.0,35.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,314.56,0.168,0.0,2024-03-28,0.0,4.0,24.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.58,0.168,0.116,2023-12-21,69.0,93.0,77.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,316.87,0.168,0.079,2024-01-11,47.0,58.0,57.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,316.44,0.168,0.061,2023-05-11,36.0,45.0,14.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,110.75,0.276,0.169,2022-03-17,61.0,57.0,62.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,317.29,0.168,0.101,2022-03-17,60.0,59.0,40.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,313.99,0.168,0.0,2024-04-25,0.0,0.0,11.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,108.35,0.276,0.138,2020-07-30,50,57,69,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.3,0.276,0.272,2022-11-16,99.0,100.0,97.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,318.45,0.168,0.165,2022-11-17,98.0,58.0,84.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,318.3,0.168,0.161,2022-11-03,6.0,58.0,88.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,318.21,0.168,0.151,2023-09-29,90.0,88.0,89.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,117.65,0.276,0.264,2022-01-06,96.0,90.0,89.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,117.1,0.276,0.253,2022-01-13,92.0,88.0,86.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.5,0.276,0.275,2020-10-01,100,96,99,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,318.2,0.168,0.15,2023-09-14,89.0,75.0,86.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.5,0.276,0.275,2020-10-15,100,96,99,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,118.6,0.276,0.276,2020-10-29,100,96,98,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,314.12,0.168,0.0,2024-04-18,0.0,0.0,14.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,114.15,0.276,0.216,2023-02-09,78.0,80.0,79.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,316.75,0.168,0.074,2023-02-09,44.0,85.0,56.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,112.8,0.276,0.197,2023-02-23,71.0,75.0,73.0,18.324,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,316.58,0.168,0.067,2023-02-23,40.0,71.0,50.0,42.388,234.16,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,106.05,0.276,0.113,2021-04-15,41,52,52,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,108.0,0.276,0.133,2021-04-01,48,55,58,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,103.75,0.276,0.089,2021-04-29,32,44,45,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,315.12,0.168,0.008,2024-03-07,5.0,16.0,36.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,101.5,0.276,0.07,2021-06-10,25,33,37,18.32,6.0,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,318.52,316.63,0.168,0.069,2023-07-13,41.0,22.0,27.0,42.39,234.2,16.3389148,77.7040906894285
PRIYADARSHINI JURALA,118.6,100.65,0.276,0.063,2022-06-30,23.0,29.0,37.0,18.324,6.0,16.3389148,77.7040906894285
