NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
RAJGHAT DAM,370.89,370.85,1.945,1.935,2023-10-26,99.0,100.0,97.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,365.05,1.945,0.881,2022-06-09,45.0,3.0,8.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,369.9,1.945,1.748,2022-08-18,90.0,80.0,78.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.1,1.945,1.788,2022-08-25,92.0,89.0,83.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,369.4,1.945,1.64,2023-09-05,84.0,99.0,90.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,1.,45.0,1.0,45.0,2022-11-10,100.0,100.0,0.0,270,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,364.85,1.945,0.851,2023-05-04,44.0,53.0,17.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,367.8,1.945,1.342,2024-01-04,69.0,82.0,61.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.9,1.945,1.945,2023-10-19,100.0,100.0,99.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,364.95,1.945,0.867,2022-06-23,45.0,6.0,8.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,363.3,1.945,0.618,2024-03-14,32.0,44.0,29.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,362.95,1.945,0.568,2024-03-28,29.0,44.0,26.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,368.9,1.945,1.553,2023-12-21,80.0,91.0,72.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,367.35,1.945,1.275,2024-01-11,66.0,77.0,57.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,364.8,1.945,0.843,2023-05-11,43.0,50.0,16.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,366.7,1.945,1.163,2022-03-17,60.0,11.0,20.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,362.8,1.945,0.553,2024-04-25,28.0,44.0,23.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.9,1.945,1.945,2022-11-17,100.0,99.0,86.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,1.0,45.0,1.0,45.0,2022-11-03,100.0,100.0,4.0,270,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,371.0,1.945,1.945,2023-09-29,100.0,100.0,99.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,369.95,1.945,1.76,2022-01-06,90.0,66.0,56.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.05,1.945,1.78,2022-01-13,92.0,66.0,53.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,369.4,1.945,1.64,2023-09-05,84.0,99.0,90.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,362.85,1.945,0.558,2024-04-18,29.0,44.0,24.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,367.8,1.945,1.343,2023-02-09,69.0,88.0,46.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,366.45,1.945,1.113,2023-02-23,57.0,76.0,36.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,363.5,1.945,0.648,2024-03-07,33.0,46.0,27.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,365.65,1.945,0.817,2023-07-13,42.0,56.0,31.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,364.8,1.945,0.843,2022-06-30,43.0,10.0,14.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,371.0,1.945,0.851,2023-07-06,44.0,38.0,18.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,369.25,1.945,1.61,2023-08-24,83.0,92.0,83.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.0,1.945,1.773,2022-12-22,91.0,93.0,68.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,365.65,1.945,0.97,2022-05-12,50.0,8.0,11.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,363.75,1.945,0.686,2023-06-08,35.0,45.0,13.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,369.35,1.945,1.625,2023-08-31,84.0,92.0,85.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,1.,45.0,1.0,45.0,2022-10-27,100.0,100.0,6,270,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,366.0,1.945,1.023,2024-02-08,53.0,69.0,50.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,364.8,1.945,0.843,2024-02-22,43.0,57.0,40.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,363.6,1.945,0.663,2023-06-22,34.0,45.0,13.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,364.85,1.945,0.851,2023-04-27,44.0,57.0,19.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.45,1.945,1.84,2022-12-08,95.0,95.0,74.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,368.55,1.945,1.483,2022-02-24,76.0,26.0,30.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,366.0,1.945,1.023,2022-05-05,53.0,9.0,12.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,368.3,1.945,1.433,2022-07-28,74.0,29.0,48.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,366.35,1.945,1.093,2022-07-14,56.0,10.0,26.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,362.15,1.945,0.481,2024-05-16,25.0,43.0,20.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,362.8,1.945,0.553,2024-05-02,28.0,44.0,21.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,371.0,1.945,1.945,2022-10-20,100.0,100.0,98.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.8,1.945,1.923,2022-09-15,99.0,100.0,94.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,368.65,1.945,1.503,2023-01-12,77.0,92.0,59.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,370.5,1.945,1.847,2022-09-01,95.0,93.0,87.0,270.0,45.0,24.76354165,78.2306857680294
RAJGHAT DAM,370.89,371.0,1.945,1.945,2022-09-29,100.0,100.0,99.0,270.0,45.0,24.76354165,78.2306857680294
