NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
RAMGANGA,365.3,350.9,2.196,1.227,2016-10-27,56,64,71,1897,198,21.8098071,88.376534
RAMGANGA,365.3,358.75,2.196,1.708,2020-12-16,78,71,74,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,356.83,2.196,1.573,2015-07-23,72,53,27,1897,198,21.8098071,88.376534
RAMGANGA,365.3,353.96,2.196,1.397,2018-10-04,64,60,70,1897,198,21.8098071,88.376534
RAMGANGA,365.3,297.18,2.196,0.0,2017-06-08,0,6,26,1897,198,21.8098071,88.376534
RAMGANGA,365.3,342.4,2.196,0.812,2021-03-24,37,58,48,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,355.04,2.196,1.46,2020-02-06,66,48,59,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,343.75,2.196,0.86,2017-08-31,39,48,60,1897,198,21.8098071,88.376534
RAMGANGA,365.3,362.64,2.196,1.996,2023-10-20,91.0,77.0,74.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,326.3,2.196,0.231,2016-05-12,11,62,32,1897,198,21.8098071,88.376534
RAMGANGA,365.3,326.99,2.196,0.251,2018-05-30,11,0,25,1897,198,21.8098071,88.376534
RAMGANGA,365.3,349.5,2.196,1.151,2016-12-22,52,63,67,1897,198,21.8098071,88.376534
RAMGANGA,365.3,364.2,2.196,2.112,2021-11-25,96.0,79.0,73.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,344.09,2.196,0.885,2022-06-09,40.0,30.0,32.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,347.25,2.196,1.036,2022-08-18,47.0,61.0,55.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,363.96,2.196,2.094,2021-11-16,95.0,79.0,73.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,348.76,2.196,1.112,2022-08-25,51.0,64.0,57.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,358.8,2.196,1.712,2023-09-06,78.0,55.0,65.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,328.8,2.196,0.307,2018-05-24,14,0,27,1897,198,21.8098071,88.376534
RAMGANGA,365.3,349.47,2.196,1.149,2020-07-22,52,29,35,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,354.1,2.196,1.405,2015-12-03,64,85,74,1897,198,21.8098071,88.376534
RAMGANGA,.20,2.1,6.0,1.742,2022-11-10,7.0,5.0,73.0,18,7.0,21.8098071,88.376534
RAMGANGA,365.3,353.89,2.196,1.393,2021-01-21,63,65,63,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,349.59,2.196,1.156,2021-08-05,53,60,49,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,354.0,2.196,1.399,2015-12-17,64,83,71,1897,198,21.8098071,88.376534
RAMGANGA,365.3,342.5,2.196,0.816,2021-03-16,37,58,47,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,341.84,2.196,0.788,2017-08-24,36,43,57,1897,198,21.8098071,88.376534
RAMGANGA,365.3,354.36,2.196,1.42,2018-10-11,65,62,71,1897,198,21.8098071,88.376534
RAMGANGA,365.3,345.06,2.196,0.928,2023-05-03,42.0,56.0,53.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,360.27,2.196,1.821,2024-01-04,83.0,70.0,67.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,335.12,2.196,0.52,2016-07-25,24,72,30,1897,198,21.8098071,88.376534
RAMGANGA,365.3,327.61,2.196,0.27,2016-07-14,12,69,29,1897,198,21.8098071,88.376534
RAMGANGA,365.3,358.36,2.196,1.679,2020-09-24,76,63,71,1897,198.0,21.8098071,88.376534
RAMGANGA,365.3,348.6,2.196,1.104,2020-07-08,50,26,26,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,340.72,2.196,0.741,2016-02-18,34,68,51,1897,198,21.8098071,88.376534
RAMGANGA,365.3,362.5,2.196,1.986,2023-10-16,90.0,75.0,74.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,328.17,2.196,0.287,2016-05-05,13,49,33,1897,198,21.8098071,88.376534
RAMGANGA,365.3,344.4,2.196,0.898,2019-04-09,41,23,37,1897,198,21.8098071,88.376534
RAMGANGA,365.3,340.1,2.196,0.717,2022-06-23,33.0,35.0,30.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,350.44,2.196,1.201,2016-12-08,55,64,71,1897,198,21.8098071,88.376534
RAMGANGA,365.3,344.57,2.196,0.906,2019-04-03,41,23,38,1897,198,21.8098071,88.376534
RAMGANGA,365.3,337.53,2.196,0.615,2021-06-17,28,53,30,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,339.81,2.196,0.705,2021-06-02,32,56,33,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,327.6,2.196,0.269,2017-04-27,12,14,36,1897,198,21.8098071,88.376534
RAMGANGA,365.3,338.6,2.196,0.658,2016-02-25,30,65,50,1897,198,21.8098071,88.376534
RAMGANGA,365.3,351.54,2.196,1.262,2021-08-12,57,62,47,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,353.0,2.196,1.343,2024-03-12,61.0,48.0,48.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,351.35,2.196,1.252,2024-03-28,57.0,49.0,43.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,298.56,2.196,0.0,2017-06-22,0,6,25,1897,198,21.8098071,88.376534
RAMGANGA,365.3,362.02,2.196,1.95,2023-12-21,89.0,78.0,71.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,359.98,2.196,1.799,2024-01-11,82.0,66.0,65.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,343.73,2.196,0.869,2023-05-11,40.0,52.0,39.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,354.57,2.196,1.432,2015-07-08,65,49,21,1897,198,21.8098071,88.376534
RAMGANGA,365.3,357.64,2.196,1.628,2015-09-30,74,85,69,1897,198,21.8098071,88.376534
RAMGANGA,365.3,348.56,2.196,1.102,2019-01-24,50,45,57,1897,198,21.8098071,88.376534
RAMGANGA,365.3,343.36,2.196,0.853,2019-08-14,39,27,42,1897,198,21.8098071,88.376534
RAMGANGA,365.3,353.78,2.196,1.386,2017-11-01,63,56,73,1897,198,21.8098071,88.376534
RAMGANGA,365.3,354.09,2.196,1.404,2017-11-16,64,56,73,1897,198,21.8098071,88.376534
RAMGANGA,365.3,358.3,2.196,1.675,2022-03-15,76.0,38.0,53.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,356.92,2.196,1.58,2019-11-21,72,67,69,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,351.79,2.196,1.276,2020-05-21,58,40,30,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,353.95,2.196,1.396,2015-10-29,64,86,72,1897,198,21.8098071,88.376534
RAMGANGA,365.3,355.34,2.196,1.478,2015-10-15,67,86,72,1897,198,21.8098071,88.376534
RAMGANGA,365.3,355.11,2.196,1.465,2018-12-13,67,64,71,1897,198,21.8098071,88.376534
RAMGANGA,365.3,350.19,2.196,1.187,2024-04-25,54.0,47.0,54.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,350.45,2.196,1.202,2020-07-28,55,31,46,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,359.42,2.196,1.758,2022-11-17,80.0,95.0,73.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,333.63,2.196,0.468,2017-03-16,21,100,51,1897,198,21.8098071,88.376534
RAMGANGA,365.3,337.1,2.196,0.599,2017-03-02,27,27,47,1897,198,21.8098071,88.376534
RAMGANGA,365.3,354.07,2.196,1.402,2015-12-10,64,84,72,1897,198,21.8098071,88.376534
RAMGANGA,0.0,2.1,6.0,1.727,2022-11-03,7.0,6.0,73.0,18,7.0,21.8098071,88.376534
RAMGANGA,365.3,361.75,2.196,1.93,2023-09-27,88.0,63.0,71.0,1897.0,198.0,21.8098071,88.376534
RAMGANGA,365.3,361.22,2.196,1.891,2022-01-06,86.0,70.0,73.0,1897.0,198.0,21.8098071,88.376534
