NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
RANA PRATAP SAGAR,352.81,351.81,1.436,1.259,2016-10-27,88,56,72,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,349.41,1.436,0.81,2020-12-17,56,54,46,229.0,172.0,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,346.81,1.436,0.413,2015-07-23,29,58,52,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,350.47,1.436,0.995,2018-10-04,69,55,79,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,346.62,1.436,0.386,2017-06-08,27,42,43,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,348.23,1.436,0.611,2021-03-25,43,38,28,229.0,172.0,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,347.49,1.436,0.507,2020-02-06,35,33,33,229.0,172.0,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,349.23,1.436,0.78,2017-08-31,54,100,78,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,352.77,1.436,1.436,2023-10-19,100.0,100.0,83.0,229.0,172.0,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,347.51,1.436,0.511,2016-05-12,36,23,38,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,347.16,1.436,0.462,2018-05-31,32,26,37,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,348.42,1.436,0.645,2016-12-21,45,31,53,229,172,24.8132257,75.600809123949
RANA PRATAP SAGAR,352.81,352.17,1.436,1.317,2021-11-25,92.0,48.0,51.0,229.0,172.0,24.8132257,75.600809123949
