NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
RANGAWAN,233.17,226.37,0.155,0.041,2020-12-17,26,83,37,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,221.44,0.155,0.005,2021-03-25,3,34,15,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,228.41,0.155,0.068,2023-10-26,44.0,79.0,59.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.66,0.155,0.026,2021-11-25,17.0,32.0,45.0,20.235,0.0,26.184431,78.6049569
RANGAWAN,233.17,219.76,0.155,0.0,2022-06-09,0.0,2.0,7.0,20.235,0.0,26.184431,78.6049569
RANGAWAN,233.17,224.79,0.155,0.026,2022-08-18,17.0,12.0,33.0,20.235,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.97,0.155,0.028,2021-11-18,18.0,34.0,48.0,20.235,0.0,26.184431,78.6049569
RANGAWAN,233.17,228.11,0.155,0.063,2022-08-25,41.0,13.0,39.0,20.235,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.72,0.155,0.018,2023-09-05,12.0,51.0,46.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,231.62,0.155,0.121,2022-11-10,78.0,1.0,47.0,20.235,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.75,0.155,0.018,2021-01-21,12,72,27,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.48,0.155,0.016,2021-08-05,10,34,28,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,221.53,0.155,0.006,2021-03-18,4,34,15,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,222.47,0.155,0.01,2023-05-04,6.0,1.0,10.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.44,0.155,0.016,2024-01-04,10.0,59.0,30.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,228.45,0.155,0.068,2023-10-19,44.0,79.0,59.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,219.76,0.155,0.0,2022-06-23,0.0,1.0,4.0,20.235,0.0,26.184431,78.6049569
RANGAWAN,233.17,220.58,0.155,0.002,2021-06-17,1,34,6,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,220.83,0.155,0.003,2021-06-03,2,34,6,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.85,0.155,0.018,2021-08-12,12,34,35,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,221.58,0.155,0.006,2024-03-14,4.0,18.0,14.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,221.38,0.155,0.005,2024-03-28,3.0,17.0,16.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,224.66,0.155,0.025,2023-12-21,16.0,64.0,37.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,223.17,0.155,0.014,2024-01-11,9.0,54.0,32.0,20.24,0.0,26.184431,78.6049569
RANGAWAN,233.17,221.71,0.155,0.006,2023-05-11,4.0,1.0,7.0,20.235,0.0,26.184431,78.6049569
