NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
RENGALI,123.5,122.96,3.432,3.266,2016-10-27,95,60,83,3,200,21.65591265,84.0289177970114
RENGALI,123.5,119.45,3.432,2.128,2020-12-16,62,98,74,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,117.38,3.432,1.531,2015-07-22,45,44,21,3,200,21.65591265,84.0289177970114
RENGALI,123.5,121.38,3.432,2.751,2018-10-03,80,98,82,3,200,21.65591265,84.0289177970114
RENGALI,123.5,114.06,3.432,0.769,2017-06-08,22,5,10,3,200,21.65591265,84.0289177970114
RENGALI,123.5,115.81,3.432,1.159,2021-03-25,34,77,56,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,122.25,3.432,3.019,2020-02-06,88,42,66,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,120.9,3.432,2.604,2017-08-31,76,82,68,3,200,21.65591265,84.0289177970114
RENGALI,123.5,123.19,3.432,3.331,2023-10-26,97.0,87.0,87.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,113.99,3.432,0.752,2016-05-11,22,58,20,3,200,21.65591265,84.0289177970114
RENGALI,123.5,114.06,3.432,0.769,2018-05-30,22,32,10,3,200,21.65591265,84.0289177970114
RENGALI,123.5,122.69,3.432,3.166,2016-12-21,92,52,67,3,200,21.65591265,84.0289177970114
RENGALI,123.5,122.58,3.432,3.127,2021-11-25,91.0,68.0,86.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,110.02,3.432,0.046,2022-06-09,1.0,17.0,13.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,117.48,3.432,1.557,2022-08-18,45.0,70.0,61.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,122.44,3.432,3.083,2021-11-17,90.0,71.0,83.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,122.71,3.432,3.174,2022-08-25,92.0,76.0,72.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,116.67,3.432,1.355,2023-09-06,39.0,83.0,77.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,115.54,3.432,1.097,2018-05-23,32,42,13,3,200,21.65591265,84.0289177970114
RENGALI,123.5,112.18,3.432,0.41,2020-07-22,12,4,18,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,118.59,3.432,1.853,2015-12-02,54,83,75,3,200,21.65591265,84.0289177970114
RENGALI,123.5,118.37,3.432,1.791,2021-01-21,52,92,71,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,119.81,3.432,2.249,2021-08-05,66,25,33,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,118.36,3.432,1.788,2015-12-17,52,81,74,3,200,21.65591265,84.0289177970114
RENGALI,123.5,116.22,3.432,1.253,2021-03-18,37,78,64,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,120.17,3.432,2.371,2017-08-24,69,75,64,3,200,21.65591265,84.0289177970114
RENGALI,123.5,120.28,3.432,2.407,2018-10-11,70,100,87,3,200,21.65591265,84.0289177970114
RENGALI,123.5,116.02,3.432,1.208,2023-05-04,35.0,27.0,34.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,121.73,3.432,2.85,2024-01-04,83.0,77.0,82.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,114.45,3.432,0.809,2016-07-27,24,59,29,3,200,21.65591265,84.0289177970114
RENGALI,123.5,111.2,3.432,0.066,2016-07-13,2,40,16,3,200,21.65591265,84.0289177970114
RENGALI,123.5,122.13,3.432,2.97,2020-09-24,87,96,81,3,200.0,21.65591265,84.0289177970114
RENGALI,123.5,111.76,3.432,0.332,2020-07-09,10,6,10,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,117.76,3.432,1.625,2016-02-17,47,73,56,3,200,21.65591265,84.0289177970114
RENGALI,123.5,123.42,3.432,3.419,2023-10-19,100.0,98.0,74.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,114.12,3.432,0.783,2016-05-04,23,61,28,3,200,21.65591265,84.0289177970114
RENGALI,123.5,115.06,3.432,0.985,2019-04-10,29,61,46,3,200,21.65591265,84.0289177970114
RENGALI,123.5,109.97,3.432,0.04,2022-06-22,1.0,24.0,11.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,122.31,3.432,3.225,2016-12-07,94,53,70,3,200,21.65591265,84.0289177970114
RENGALI,123.5,115.35,3.432,1.053,2019-04-03,31,64,49,3,200,21.65591265,84.0289177970114
RENGALI,123.5,112.2,3.432,0.414,2021-06-16,12,8,10,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,114.16,3.432,0.791,2021-06-03,23,13,14,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,120.28,3.432,2.407,2017-04-26,70,27,27,3,200,21.65591265,84.0289177970114
RENGALI,123.5,117.58,3.432,1.582,2016-02-24,46,73,55,3,200,21.65591265,84.0289177970114
RENGALI,123.5,119.81,3.432,2.249,2021-08-12,66,50,39,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,119.88,3.432,2.266,2024-03-14,66.0,51.0,60.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,119.4,3.432,2.111,2024-03-28,62.0,48.0,58.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,111.04,3.432,0.206,2017-06-21,6,1,7,3,200,21.65591265,84.0289177970114
RENGALI,123.5,122.2,3.432,3.004,2023-12-21,88.0,81.0,80.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,121.57,3.432,2.806,2024-01-11,82.0,74.0,76.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,115.48,3.432,1.079,2023-05-11,31.0,21.0,34.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,113.3,3.432,0.619,2015-07-08,18,3,10,3,200,21.65591265,84.0289177970114
RENGALI,123.5,119.24,3.432,2.059,2015-09-29,60,95,86,3,200,21.65591265,84.0289177970114
RENGALI,123.5,117.39,3.432,1.534,2019-01-24,45,89,69,3,200,21.65591265,84.0289177970114
RENGALI,123.5,113.45,3.432,0.647,2019-08-13,19,55,45,3,200,21.65591265,84.0289177970114
RENGALI,123.5,123.28,3.432,3.373,2017-11-02,98,96,82,3,200,21.65591265,84.0289177970114
RENGALI,123.5,123.11,3.432,3.313,2017-11-16,97,96,82,3,200,21.65591265,84.0289177970114
RENGALI,123.5,120.63,3.432,2.522,2022-03-17,73.0,37.0,58.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,123.71,3.432,3.432,2019-11-20,100,53,82,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,113.95,3.432,0.747,2020-05-20,22,14,25,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,119.19,3.432,2.043,2015-10-28,60,86,83,3,200,21.65591265,84.0289177970114
RENGALI,123.5,119.28,3.432,2.072,2015-10-14,60,85,87,3,200,21.65591265,84.0289177970114
RENGALI,123.5,117.94,3.432,1.669,2018-12-12,49,95,80,3,200,21.65591265,84.0289177970114
RENGALI,123.5,118.16,3.432,1.73,2024-04-25,50.0,37.0,36.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,113.57,3.432,0.67,2020-07-29,20,4,25,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,122.54,3.432,3.116,2022-11-17,91.0,90.0,83.0,3.0,200.0,21.65591265,84.0289177970114
RENGALI,123.5,121.48,3.432,2.779,2017-03-16,81,40,49,3,200,21.65591265,84.0289177970114
RENGALI,123.5,121.74,3.432,2.853,2017-03-01,83,45,48,3,200,21.65591265,84.0289177970114
RENGALI,123.5,118.45,3.432,1.814,2015-12-09,53,82,74,3,200,21.65591265,84.0289177970114
