NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
RIHAND,268.22,265.03,5.649,4.27,2016-10-27,76,35,46,-,300,24.150983,82.8978537
RIHAND,268.22,262.98,5.649,3.415,2020-12-17,60,60,53,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,258.56,5.649,1.699,2015-07-23,30,11,13,-,300,24.150983,82.8978537
RIHAND,268.22,264.05,5.649,3.855,2018-10-04,68,66,53,-,300,24.150983,82.8978537
RIHAND,268.22,258.41,5.649,1.642,2017-06-08,29,15,10,-,300,24.150983,82.8978537
RIHAND,268.22,259.29,5.649,1.971,2021-03-25,35,31,28,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,260.42,5.649,2.408,2020-02-06,43,32,35,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,263.99,5.649,3.83,2017-08-31,68,80,44,-,300,24.150983,82.8978537
RIHAND,268.22,259.32,5.649,1.982,2023-10-26,35.0,50.0,57.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,256.64,5.649,1.033,2016-05-12,18,16,14,-,300,24.150983,82.8978537
RIHAND,268.22,255.3,5.649,0.643,2018-05-31,11,31,13,-,300,24.150983,82.8978537
RIHAND,268.22,263.69,5.649,3.704,2016-12-22,66,33,39,-,300,24.150983,82.8978537
RIHAND,268.22,262.92,5.649,3.39,2021-11-25,60.0,65.0,59.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,256.09,5.649,0.874,2022-06-09,15.0,17.0,16.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,257.89,5.649,1.458,2022-08-18,26.0,53.0,45.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,263.13,5.649,3.478,2021-11-18,62.0,66.0,57.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,258.41,5.649,1.642,2022-08-25,29.0,57.0,46.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,258.07,5.649,1.52,2023-09-05,27.0,33.0,54.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,255.57,5.649,0.723,2018-05-24,13,33,15,-,300,24.150983,82.8978537
RIHAND,268.22,258.84,5.649,1.801,2020-07-23,32,11,16,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,259.02,5.649,1.869,2015-12-03,33,40,43,-,300,24.150983,82.8978537
RIHAND,268.22,261.46,5.64,2.817,2022-11-10,50.0,63.0,55.0,0,300.0,24.150983,82.8978537
RIHAND,268.22,261.73,5.649,2.924,2021-01-21,52,49,41,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,260.6,5.649,2.481,2021-08-05,44,38,29,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,258.96,5.649,1.846,2015-12-14,33,40,41,-,300,24.150983,82.8978537
RIHAND,268.22,259.54,5.649,2.062,2021-03-18,37,31,29,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,263.81,5.649,3.755,2017-08-24,66,77,41,-,300,24.150983,82.8978537
RIHAND,268.22,263.56,5.649,3.654,2018-10-11,65,63,53,-,300,24.150983,82.8978537
RIHAND,268.22,256.64,5.649,1.033,2023-05-03,18.0,20.0,22.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,258.96,5.649,1.846,2024-01-04,33.0,40.0,46.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,256.34,5.649,0.945,2016-07-28,17,30,16,-,300,24.150983,82.8978537
RIHAND,268.22,255.55,5.649,0.714,2016-07-13,13,24,11,-,300,24.150983,82.8978537
RIHAND,268.22,264.26,5.649,3.943,2020-09-24,70,47,57,0,300.0,24.150983,82.8978537
RIHAND,268.22,258.26,5.649,1.585,2020-07-09,28,12,11,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,258.11,5.649,1.531,2016-02-17,27,31,29,-,300,24.150983,82.8978537
RIHAND,268.22,259.54,5.649,2.062,2023-10-19,37.0,50.0,58.0,0.0,300.0,24.150983,82.8978537
RIHAND,268.22,256.71,5.649,1.054,2016-05-05,19,17,15,-,300,24.150983,82.8978537
RIHAND,268.22,256.21,5.649,0.909,2019-04-11,16,19,24,-,300,24.150983,82.8978537
