NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SABARMATI(DHAROI),189.59,189.39,0.735,0.725,2016-10-27,99,86,73,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,188.12,0.735,0.599,2020-12-17,81,90,64,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,181.74,0.735,0.16,2015-07-22,22,13,25,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,182.68,0.735,0.204,2018-10-03,28,100,74,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,181.63,0.735,0.155,2017-06-08,21,21,18,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,184.4,0.735,0.302,2021-03-25,41,48,27,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,187.12,0.735,0.508,2020-02-06,69,18,39,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,189.09,0.735,0.693,2017-08-31,94,92,57,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,182.09,0.735,0.176,2016-05-11,24,14,23,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,180.24,0.735,0.103,2018-05-31,14,22,17,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,187.66,0.735,0.555,2016-12-22,76,66,57,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,184.08,0.735,0.283,2021-11-25,39.0,89.0,75.0,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,179.05,0.735,0.066,2022-06-09,9.0,30.0,20.0,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,188.68,0.735,0.652,2022-08-18,89.0,28.0,47.0,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,184.03,0.735,0.277,2021-11-18,38.0,92.0,77.0,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,188.68,0.735,0.652,2022-08-25,89.0,27.0,49.0,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,180.37,0.735,0.107,2018-05-24,15,23,18,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,183.31,0.735,0.237,2020-07-23,32,6,19,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,187.4,0.735,0.532,2015-12-03,72,56,64,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),18,0.16,0.735,0.7,2022-11-10,5.0,40.0,74.0,5,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,187.03,0.735,0.499,2021-01-21,68,76,51,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,182.82,0.735,0.211,2021-08-05,29,31,38,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,187.04,0.735,0.5,2015-12-17,68,50,59,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,184.6,0.735,0.315,2021-03-18,43,49,29,95.0,1.0,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,189.04,0.735,0.688,2017-08-24,94,78,53,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,182.62,0.735,0.201,2018-10-10,27,100,75,95,1,72.8565341258961,24.0037910547676
SABARMATI(DHAROI),189.59,184.42,0.735,0.303,2023-05-04,41.0,12.0,22.0,95.0,1.0,72.8565341258961,24.0037910547676
