NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SALANADI,82.3,71.58,0.558,0.251,2016-10-26,45,18,46,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,70.1,0.558,0.22,2020-12-17,39,61,40,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,70.3,0.558,0.223,2015-07-23,40,77,27,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,79.51,0.558,0.47,2018-10-04,84,41,53,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,67.14,0.558,0.16,2017-06-07,29,4,22,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,69.9,0.558,0.215,2021-03-25,39,57,35,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,74.75,0.558,0.329,2020-02-06,59,54,34,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,70.98,0.558,0.237,2017-08-31,42,44,44,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,78.0,0.558,0.421,2023-10-26,75.0,77.0,55.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,53.15,0.558,0.019,2016-05-11,3,39,25,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,70.8,0.558,0.233,2018-05-31,42,29,24,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,68.89,0.558,0.194,2016-12-22,35,6,41,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,75.75,0.558,0.358,2021-11-25,64.0,39.0,48.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,74.3,0.558,0.317,2022-06-09,57.0,40.0,38.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,78.9,0.558,0.45,2022-08-18,81.0,28.0,45.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,75.75,0.558,0.358,2021-11-18,64.0,39.0,44.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,78.72,0.558,0.444,2022-08-25,80.0,28.0,50.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,77.2,0.558,0.399,2023-09-06,72.0,69.0,61.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,70.6,0.558,0.229,2018-05-24,41,29,24,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,74.1,0.558,0.312,2020-07-23,56,47,30,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,56.5,0.558,0.035,2015-12-02,6,48,49,42,-,86.2959661276919,21.2883980007912
SALANADI,82.30,74.6,0.558,0.325,2022-11-10,58.0,65.0,51.0,42,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,69.9,0.558,0.215,2021-01-21,39,59,38,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,68.0,0.558,0.175,2021-08-05,31,49,39,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,56.3,0.558,0.034,2015-12-16,6,47,48,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,69.9,0.558,0.215,2021-03-18,39,58,35,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,69.59,0.558,0.209,2017-08-23,37,41,41,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,78.09,0.558,0.424,2018-10-11,76,41,50,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,71.82,0.558,0.256,2023-05-04,46.0,58.0,39.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,73.92,0.558,0.305,2024-01-04,55.0,53.0,47.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,60.8,0.558,0.074,2016-07-27,13,41,29,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,57.15,0.558,0.039,2016-07-13,7,42,30,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,75.7,0.558,0.356,2020-09-24,64,71,55,42,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,77.0,0.558,0.394,2020-07-09,71,55,32,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,55.45,0.558,0.029,2016-02-17,5,45,39,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,79.43,0.558,0.467,2023-10-19,84.0,79.0,61.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,53.05,0.558,0.019,2016-05-04,3,39,26,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.42,0.558,0.296,2019-04-11,53,41,18,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,74.37,0.558,0.319,2022-06-23,57.0,41.0,39.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,69.32,0.558,0.203,2016-12-07,36,6,41,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.48,0.558,0.297,2019-04-04,53,41,18,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,70.95,0.558,0.236,2021-06-17,42,56,34,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,70.3,0.558,0.223,2021-06-03,40,55,34,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,67.33,0.558,0.163,2017-04-26,29,4,23,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,55.25,0.558,0.027,2016-02-25,5,44,38,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,67.05,0.558,0.159,2021-08-12,28,53,42,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,73.0,0.558,0.286,2024-03-14,51.0,47.0,51.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,72.98,0.558,0.285,2024-03-28,51.0,47.0,47.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,67.17,0.558,0.16,2017-06-22,29,4,26,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,74.0,0.558,0.309,2023-12-21,55.0,53.0,49.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,73.88,0.558,0.307,2024-01-11,55.0,53.0,47.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,71.74,0.558,0.254,2023-05-11,46.0,58.0,40.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,70.75,0.558,0.232,2015-07-09,42,72,29,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,71.1,0.558,0.24,2015-09-30,43,70,63,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.78,0.558,0.304,2019-01-23,54,42,28,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.22,0.558,0.291,2019-08-14,52,67,34,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,71.3,0.558,0.244,2017-11-01,44,42,39,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,70.94,0.558,0.236,2017-11-15,42,40,39,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,75.8,0.558,0.359,2022-03-17,64.0,39.0,39.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,75.35,0.558,0.346,2019-11-21,62,57,37,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,73.93,0.558,0.308,2020-05-21,55,55,30,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,62.0,0.558,0.084,2015-10-28,15,55,56,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,67.0,0.558,0.157,2015-10-14,28,64,62,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,74.24,0.558,0.316,2018-12-13,57,43,36,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,72.39,0.558,0.27,2024-04-25,48.0,46.0,46.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,72.78,0.558,0.28,2020-07-30,50,44,30,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,73.8,0.558,0.305,2022-11-17,55.0,64.0,46.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,67.66,0.558,0.169,2017-03-15,30,44,35,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,67.75,0.558,0.171,2017-03-01,31,5,33,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,56.35,0.558,0.034,2015-12-09,6,48,48,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,76.5,0.558,0.37,2022-11-03,68.0,70.0,46.0,42,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,79.34,0.558,0.464,2023-09-29,83.0,74.0,64.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,75.8,0.558,0.359,2022-01-05,64.0,39.0,43.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,75.8,0.558,0.359,2022-01-13,64.0,39.0,46.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,74.7,0.558,0.328,2020-09-30,59,73,55,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,78.44,0.558,0.435,2023-09-14,78.0,71.0,63.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,74.5,0.558,0.32,2020-10-15,57,68,54,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,73.4,0.558,0.295,2020-10-29,53,61,48,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,73.56,0.558,0.299,2019-03-20,54,41,28,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,68.35,0.558,0.183,2021-05-26,33,55,37,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,72.62,0.558,0.276,2024-04-18,49.0,46.0,47.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,74.27,0.558,0.316,2018-12-06,57,43,36,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.32,0.558,0.293,2016-09-15,53,46,54,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,68.68,0.558,0.19,2017-01-12,34,6,39,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,71.36,0.558,0.246,2016-08-31,44,47,48,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,74.01,0.558,0.31,2016-09-28,56,44,61,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.2,0.558,0.29,2016-10-19,52,22,58,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,72.2,0.558,0.265,2015-07-29,47,72,27,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,72.5,0.558,0.273,2023-02-09,49.0,64.0,43.0,42.0,0.0,86.2959661276919,21.2883980007912
SALANADI,82.3,75.94,0.558,0.362,2019-08-29,65,81,37,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.74,0.558,0.303,2019-01-31,54,42,31,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,79.75,0.558,0.478,2018-09-20,86,45,48,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,71.83,0.558,0.257,2018-07-19,46,29,27,42,-,86.2959661276919,21.2883980007912
SALANADI,82.3,73.71,0.558,0.302,2019-06-06,54,42,23,42,-,86.2959661276919,21.2883980007912
