NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SANJAY SAROVAR,519.38,516.65,0.508,0.284,2020-12-17,56,69,50,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,509.65,0.508,0.066,2021-03-25,13,32,10,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,515.75,0.508,0.248,2020-02-06,49,7,22,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,519.1,0.508,0.397,2023-10-19,78.0,82.0,69.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,518.0,0.508,0.345,2021-11-25,68.0,70.0,62.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,507.55,0.508,0.024,2022-06-09,5.0,11.0,8.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,517.4,0.508,0.317,2022-08-18,62.0,45.0,51.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,518.5,0.508,0.368,2021-11-18,72.0,75.0,66.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,517.6,0.508,0.327,2022-08-25,64.0,49.0,57.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,517.8,0.508,0.336,2023-09-06,66.0,69.0,65.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,517.3,0.508,0.313,2020-07-23,62,4,26,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,51,0.38,0.508,0.41,2022-11-10,82.0,76.0,6.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,513.75,0.508,0.181,2021-01-21,36,56,32,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,514.2,0.508,0.196,2021-08-05,39,65,42,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,509.4,0.508,0.06,2021-03-17,12,39,11,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,507.3,0.508,0.019,2023-05-04,4.0,8.0,9.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,515.7,0.508,0.246,2024-01-04,48.0,46.0,36.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,518.75,0.508,0.38,2020-09-24,75,77,73,13,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,516.3,0.508,0.269,2020-07-09,53,4,11,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,519.1,0.508,0.397,2023-10-19,78.0,82.0,69.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,507.8,0.508,0.029,2022-06-23,6.0,18.0,10.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,510.15,0.508,0.079,2021-06-17,16,32,7,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,509.15,0.508,0.054,2021-06-03,11,31,7,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,514.5,0.508,0.205,2021-08-12,40,65,50,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,508.45,0.508,0.041,2024-03-14,8.0,4.0,7.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,508.6,0.508,0.043,2024-03-28,8.0,4.0,9.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,516.95,0.508,0.297,2023-12-21,58.0,56.0,48.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,515.3,0.508,0.232,2024-01-11,46.0,42.0,32.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,507.3,0.508,0.019,2023-05-11,4.0,6.0,6.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,513.05,0.508,0.158,2019-08-14,31,40,54,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,509.15,0.508,0.055,2022-03-17,11.0,12.0,10.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,519.25,0.508,0.404,2019-11-21,80,42,62,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,513.1,0.508,0.16,2020-05-21,31,4,6,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,508.5,0.508,0.041,2024-04-25,8.0,4.0,6.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,517.15,0.508,0.306,2020-07-30,60,4,32,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,519.25,0.508,0.404,2022-11-17,80.0,72.0,66.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,51.0,0.38,0.508,0.41,2022-11-03,82.0,80.0,6.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,518.85,0.508,0.385,2023-09-25,76.0,76.0,71.0,12.65,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,514.95,0.508,0.22,2022-01-06,43.0,43.0,39.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,514.7,0.508,0.212,2022-01-12,42.0,39.0,36.0,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,518.8,0.508,0.382,2020-10-01,75,72,73,12.646,3.45,22.34751275,79.6170499015841
SANJAY SAROVAR,519.38,518.5,0.508,0.368,2023-09-14,72.0,68.0,66.0,12.65,3.45,22.34751275,79.6170499015841
