NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SAPUA,168.5,168.52,0.006,0.006,2020-12-17,100,100,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.19,0.006,0.006,2021-03-25,100,100,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.52,0.006,0.006,2020-02-06,100,67,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.92,0.006,0.006,2023-10-26,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.19,0.006,0.006,2021-11-25,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.73,0.006,0.006,2022-06-09,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.56,0.006,0.006,2022-08-18,100.0,17.0,50.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.13,0.006,0.006,2021-11-18,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.6,0.006,0.006,2022-08-25,100.0,17.0,50.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,166.4,0.006,0.004,2023-09-06,67.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.7,0.006,0.006,2020-07-23,100,50,50,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.5,0.006,0.006,2021-01-21,100,100,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,164.73,0.006,0.003,2021-08-05,50,83,50,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.21,0.006,0.006,2021-03-18,100,100,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.78,0.006,0.006,2023-05-04,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.48,0.006,0.006,2024-01-04,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.45,0.006,0.006,2020-09-24,100,100,83,0,0.0,20.5138363,85.598098
SAPUA,168.5,168.34,0.006,0.006,2020-07-09,100,17,50,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,168.26,0.006,0.006,2023-10-19,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.74,0.006,0.006,2022-06-23,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.61,0.006,0.006,2021-06-17,100,100,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.59,0.006,0.006,2021-06-03,100,100,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,163.68,0.006,0.002,2021-08-12,33,100,67,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.49,0.006,0.005,2024-03-14,83.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.5,0.006,0.005,2024-03-28,83.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.46,0.006,0.006,2023-12-21,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
SAPUA,168.5,167.49,0.006,0.006,2024-01-11,100.0,100.0,67.0,0.0,0.0,20.5138363,85.598098
