NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SARDAR SAROVAR,121.92,121.13,1.566,1.423,2016-10-26,91,86,84,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,134.67,5.76,4.509,2020-12-17,78,82,29,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,117.68,1.566,0.887,2015-07-23,57,28,41,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,127.41,5.76,2.658,2018-10-04,46,58,28,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,118.75,1.566,1.039,2017-06-08,66,78,39,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,127.02,5.76,2.539,2021-03-25,44,28,14,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,128.85,5.76,2.959,2020-02-06,51,18,17,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,124.43,1.566,1.566,2017-08-31,100,100,91,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,138.43,5.76,5.679,2023-10-26,99.0,95.0,52.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,119.23,1.566,1.108,2016-05-12,71,81,45,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,105.91,5.76,0.0,2018-05-30,0,20,13,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,119.59,1.566,1.159,2016-12-20,74,48,77,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,129.73,5.76,3.16,2021-11-24,55.0,79.0,39.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,117.05,5.76,0.797,2022-06-09,14.0,21.0,16.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,135.31,5.76,4.707,2022-08-18,82.0,11.0,27.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,130.32,5.76,3.296,2021-11-18,57.0,80.0,40.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,136.09,5.76,4.949,2022-08-25,86.0,11.0,33.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,133.98,5.76,4.295,2023-09-06,75.0,91.0,45.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,105.21,5.76,0.0,2018-05-24,0,19,14,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,120.35,5.76,1.128,2020-07-23,20,27,14,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,117.61,1.566,0.877,2015-12-03,56,81,73,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,137.35,5.76,5.33,2022-11-10,3.0,5.0,45.0,2120,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,133.86,5.76,4.258,2021-01-20,74,62,23,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,116.46,5.76,0.243,2021-08-05,4,20,22,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,117.01,1.566,0.791,2015-12-17,51,72,73,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,128.0,5.76,2.764,2021-03-18,48,31,14,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,122.44,1.566,1.566,2017-08-24,100,100,93,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,127.82,5.76,2.722,2018-10-11,47,56,27,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,118.49,5.76,1.002,2023-05-04,17.0,23.0,18.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,134.59,5.76,4.484,2023-12-28,78.0,65.0,38.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,119.48,1.566,1.144,2016-07-28,73,86,58,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,115.65,1.566,0.597,2016-07-14,38,40,36,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,136.89,5.76,5.197,2020-09-24,90,98,39,2120,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,121.72,5.76,1.53,2020-07-09,27,20,10,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,114.3,1.566,0.404,2016-02-18,26,67,64,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,138.23,5.76,5.615,2023-10-19,97.0,96.0,52.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,117.97,1.566,0.928,2016-05-05,59,81,47,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,119.28,5.76,1.115,2019-04-11,19,0,13,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,115.08,5.76,0.515,2022-06-23,9.0,10.0,14.0,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,120.49,1.566,1.307,2016-12-07,83,52,78,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,119.36,5.76,1.127,2019-04-04,20,0,13,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,116.43,5.76,0.708,2021-06-17,12,46,16,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,138.68,122.72,5.76,1.711,2021-06-03,30,31,14,2120.0,1450.0,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,118.27,1.566,0.971,2017-04-27,62,46,52,2120,1450,21.8378767,73.7559923648656
SARDAR SAROVAR,121.92,114.34,1.566,0.41,2016-02-25,26,75,62,2120,1450,21.8378767,73.7559923648656
