NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SATHANUR,222.2,221.27,0.207,0.188,2023-10-26,91.0,91.0,43.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,212.69,0.207,0.063,2022-06-09,30.0,21.0,19.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.6,0.207,0.195,2022-08-18,94.0,21.0,20.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.6,0.207,0.195,2022-08-25,94.0,22.0,20.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,219.81,0.207,0.16,2023-09-06,77.0,92.0,29.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,221.35,0.207,0.1,0.0,2022-11-10,2.0,46.0,40.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,216.41,0.207,0.106,2023-05-04,51.0,24.0,21.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.88,0.207,0.201,2023-12-28,97.0,97.0,58.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.49,0.207,0.193,2023-10-19,93.0,87.0,41.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,215.04,0.207,0.09,2022-06-23,43.0,21.0,20.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,217.72,0.207,0.125,2024-03-14,60.0,97.0,43.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,214.18,0.207,0.078,2024-03-28,38.0,81.0,37.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.87,0.207,0.2,2023-12-21,97.0,96.0,58.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.9,0.207,0.201,2024-01-11,97.0,99.0,60.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,217.58,0.207,0.123,2023-05-11,59.0,21.0,19.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,215.88,0.207,0.099,2022-03-17,48.0,60.0,35.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,210.34,0.207,0.043,2024-04-25,21.0,53.0,27.0,20.24,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.55,0.207,0.194,2022-11-17,94.0,49.0,44.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.31,0.207,0.18,2022-11-03,1.0,46.0,38.0,20.243,7.5,12.2047442,78.8891979
SATHANUR,222.2,221.52,0.207,0.193,2023-09-29,93.0,87.0,32.0,20.24,7.5,12.2047442,78.8891979
