NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SHARDA SAGAR,190.5,189.88,0.33,0.33,2020-12-17,100,100,69,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,183.83,0.33,0.077,2021-03-25,23,82,49,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.51,0.33,0.33,2020-02-06,100,71,62,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.96,0.33,0.32,2023-10-26,97.0,90.0,66.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.19,0.33,0.33,2021-11-25,100.0,100.0,73.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.54,0.33,0.191,2022-06-09,58.0,88.0,62.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.32,0.33,0.095,2022-08-18,29.0,50.0,58.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.91,0.33,0.266,2021-11-18,81.0,100.0,72.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.34,0.33,0.095,2022-08-25,29.0,44.0,59.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.79,0.33,0.111,2023-09-05,34.0,30.0,47.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.39,0.33,0.239,2020-07-23,72,0,49,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,.,2.0,0.33,0.33,2022-11-10,100.0,56.0,70.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.26,0.33,0.281,2021-01-20,85,100,67,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.09,0.33,0.219,2021-08-05,66,68,52,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.95,0.33,0.117,2021-03-18,35,82,47,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.59,0.33,0.251,2023-05-04,76.0,84.0,59.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.82,0.33,0.263,2024-01-04,80.0,88.0,64.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.71,0.33,0.199,2020-09-24,60,26,53,126,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.86,0.33,0.264,2020-07-09,80,0,54,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.2,0.33,0.279,2023-10-19,85.0,68.0,55.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.09,0.33,0.219,2022-06-23,66.0,93.0,67.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.7,0.33,0.305,2021-06-17,92,71,55,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.73,0.33,0.26,2021-06-03,79,66,56,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.54,0.33,0.191,2021-08-12,58,65,58,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.76,0.33,0.309,2024-03-14,94.0,83.0,50.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.51,0.33,0.247,2024-03-28,75.0,100.0,56.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.33,0.33,0.33,2023-12-21,100.0,100.0,73.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.73,0.33,0.26,2024-01-11,79.0,97.0,69.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.61,0.33,0.27,2023-05-11,82.0,62.0,47.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.21,0.33,0.227,2022-03-17,69.0,35.0,46.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.39,0.33,0.33,2019-11-21,100,79,68,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.33,0.33,0.236,2020-05-21,72,0,41,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.93,0.33,0.211,2024-04-25,64.0,91.0,70.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.06,0.33,0.218,2020-07-30,66,0,48,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,190.0,0.33,0.33,2022-11-17,100.0,81.0,72.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,18.0,0.37,0.33,0.33,2022-11-03,100.0,38.0,68.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.88,0.33,0.115,2023-09-29,35.0,43.0,47.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.12,0.33,0.328,2022-01-06,99.0,73.0,61.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.48,0.33,0.33,2022-01-13,100.0,73.0,67.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.63,0.33,0.195,2020-10-01,59,41,55,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.71,0.33,0.109,2023-09-14,33.0,32.0,42.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.76,0.33,0.262,2020-10-15,79,83,56,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.17,0.33,0.33,2020-10-29,100,98,70,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.77,0.33,0.202,2021-05-27,61,68,49,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.3,0.33,0.234,2024-04-18,71.0,100.0,62.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.91,0.33,0.33,2023-02-09,100.0,100.0,70.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.05,0.33,0.269,2023-02-23,82.0,100.0,57.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,185.65,0.33,0.14,2021-04-15,42,86,56,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.73,0.33,0.109,2021-04-01,33,100,55,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,185.76,0.33,0.152,2021-04-29,46,72,57,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.55,0.33,0.297,2024-03-07,90.0,65.0,48.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.43,0.33,0.29,2021-06-10,88,62,50,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.02,0.33,0.084,2023-07-13,25.0,47.0,56.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.69,0.33,0.198,2022-06-30,60.0,93.0,65.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,183.93,0.33,0.081,2023-07-06,25.0,56.0,58.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.77,0.33,0.262,2021-07-22,79,73,53,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,183.98,0.33,0.082,2023-08-24,25.0,29.0,51.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.38,0.33,0.097,2019-09-19,29,57,58,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.12,0.33,0.222,2019-10-10,67,90,58,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.74,0.33,0.271,2020-03-12,82,55,45,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.56,0.33,0.33,2022-12-22,100.0,100.0,70.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.82,0.33,0.33,2021-12-16,100.0,100.0,73.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.89,0.33,0.33,2021-12-02,100.0,100.0,76.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.84,0.33,0.206,2022-05-12,62.0,51.0,52.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.41,0.33,0.098,2023-06-08,30.0,58.0,53.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.43,0.33,0.099,2021-10-07,30,61,53,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.71,0.33,0.109,2023-08-31,33.0,29.0,52.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,0.50,188.75,0.33,0.308,2022-10-27,3.0,37.0,65,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.41,0.33,0.33,2020-01-09,100,66,64,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.49,0.33,0.293,2024-02-08,89.0,100.0,71.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.98,0.33,0.32,2024-02-22,97.0,82.0,59.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.0,0.33,0.215,2020-08-13,65,51,57,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.31,0.33,0.094,2021-09-30,28,60,53,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.47,0.33,0.33,2020-01-23,100,78,65,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,183.8,0.33,0.076,2023-06-22,23.0,74.0,61.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.88,0.33,0.33,2020-11-26,100,100,72,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,180.16,0.33,0.089,2019-09-26,27,62,58,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.43,0.33,0.29,2023-04-27,88.0,98.0,57.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.95,0.33,0.33,2022-12-08,100.0,100.0,75.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.88,0.33,0.265,2021-02-11,80,100,65,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.74,0.33,0.271,2020-03-12,82,55,45,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.84,0.33,0.314,2021-02-04,95,100,66,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.19,0.33,0.33,2022-02-24,100.0,42.0,52.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.96,0.33,0.267,2022-05-05,81.0,49.0,55.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.66,0.33,0.107,2022-07-28,32.0,75.0,56.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,185.72,0.33,0.15,2022-07-14,45.0,81.0,64.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.16,0.33,0.224,2020-08-06,68,0,50,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.37,0.33,0.287,2021-07-08,87,79,57,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,185.96,0.33,0.162,2024-05-16,49.0,77.0,48.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.29,0.33,0.177,2024-05-02,54.0,78.0,62.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.39,0.33,0.239,2022-10-20,72.0,37.0,54.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.71,0.33,0.109,2021-09-09,33,71,55,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.6,0.33,0.105,2022-09-15,32.0,13.0,47.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.47,0.33,0.1,2021-10-14,30,76,56,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.07,0.33,0.326,2023-01-12,99.0,100.0,68.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,184.41,0.33,0.098,2022-09-01,30.0,39.0,57.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,185.55,0.33,0.142,2022-09-29,43.0,28.0,48.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,185.05,0.33,0.121,2021-10-28,37.0,99.0,71.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.16,0.33,0.33,2020-04-02,100,15,51,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.34,0.33,0.284,2020-04-16,86,1,52,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.25,0.33,0.173,2021-05-20,52,72,46,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.16,0.33,0.278,2019-10-17,84,60,58,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,185.56,0.33,0.144,2019-10-03,44,59,56,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.34,0.33,0.284,2023-03-16,86.0,69.0,46.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.9,0.33,0.209,2023-03-02,63.0,94.0,56.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.16,0.33,0.33,2023-11-02,100.0,100.0,67.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.6,0.33,0.33,2023-11-16,100.0,100.0,71.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,189.66,0.33,0.33,2019-12-12,100,79,69,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,187.04,0.33,0.218,2020-06-04,66,0,46,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,188.98,0.33,0.32,2022-12-29,97.0,100.0,65.0,126.5,0.0,23.8728109,78.9006882
SHARDA SAGAR,190.5,186.34,0.33,0.18,2022-07-07,55.0,87.0,66.0,126.5,0.0,23.8728109,78.9006882
