NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SHETRUNJI,55.53,53.82,0.3,0.182,2016-10-27,61,95,80,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,55.42,0.3,0.291,2020-12-17,97,87,63,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,55.12,0.3,0.027,2015-07-22,9,16,44,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,52.67,0.3,0.125,2018-10-03,42,61,73,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,49.37,0.3,0.041,2017-06-08,14,11,7,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,53.62,0.3,0.171,2021-03-25,57,45,36,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,54.47,0.3,0.222,2020-02-06,74,18,39,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,53.52,0.3,0.166,2017-08-31,55,21,59,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,55.4,0.3,0.3,2023-10-26,100.0,100.0,79.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,49.22,0.3,0.039,2016-05-11,13,15,9,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,49.42,0.3,0.042,2018-05-31,14,14,9,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,53.52,0.3,0.166,2016-12-22,55,82,70,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,55.53,0.3,0.3,2021-11-25,100.0,98.0,66.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,51.6,0.3,0.09,2022-06-09,30.0,55.0,15.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,54.3,0.3,0.261,2022-08-18,87.0,70.0,49.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,55.53,0.3,0.3,2021-11-18,100.0,98.0,67.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,54.45,0.3,0.271,2022-08-25,90.0,97.0,52.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,55.53,0.3,0.3,2023-09-05,100.0,91.0,63.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,49.52,0.3,0.043,2018-05-24,14,15,9,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,52.27,0.3,0.111,2020-07-23,37,11,31,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,55.12,0.3,0.268,2015-12-02,89,40,74,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,55.2,0.3,0.3,2022-11-10,100.0,100.0,6.0,36,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,55.22,0.3,0.275,2021-01-21,92,82,55,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,54.27,0.3,0.209,2021-08-05,70,43,41,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,54.97,0.3,0.257,2015-12-17,86,38,72,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,53.87,0.3,0.185,2021-03-18,62,50,31,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,52.82,0.3,0.131,2017-08-24,44,21,54,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,52.62,0.3,0.123,2018-10-10,41,60,73,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,50.35,0.3,0.075,2023-05-04,25.0,36.0,18.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,54.75,0.3,0.29,2024-01-04,97.0,97.0,69.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,50.37,0.3,0.058,2016-07-28,19,94,49,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,50.42,0.3,0.059,2016-07-12,20,90,35,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,55.53,0.3,0.3,2020-09-24,100,68,64,36,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,51.92,0.3,0.099,2020-07-09,33,9,20,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,53.17,0.3,0.147,2016-02-18,49,26,50,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,55.45,0.3,0.3,2023-10-19,100.0,100.0,82.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,49.27,0.3,0.039,2016-05-05,13,15,11,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,49.02,0.3,0.036,2019-04-10,12,17,29,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,51.45,0.3,0.115,2022-06-23,38.0,59.0,17.0,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,53.57,0.3,0.168,2016-12-08,56,88,73,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,49.12,0.3,0.037,2019-04-03,12,18,31,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,53.62,0.3,0.171,2021-06-17,57,25,11,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,53.52,0.3,0.166,2021-06-03,55,13,10,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,49.97,0.3,0.051,2017-04-27,17,14,14,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,52.72,0.3,0.127,2016-02-25,42,21,47,36,-,21.4016951,72.0033843
SHETRUNJI,55.53,54.27,0.3,0.209,2021-08-12,70,73,46,36.0,0.0,21.4016951,72.0033843
SHETRUNJI,55.53,52.55,0.3,0.165,2024-03-14,55.0,57.0,42.0,36.0,0.0,21.4016951,72.0033843
