NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SHOLAYAR,1002.79,971.39,0.143,0.013,2016-10-26,9,57,90,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,987.13,0.143,0.06,2020-12-17,42,69,53,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,997.32,0.143,0.116,2015-07-22,81,64,71,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,1002.34,0.143,0.127,2018-10-03,89,78,87,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,964.35,0.143,0.0,2017-06-08,0,0,9,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,954.64,0.143,0.0,2021-03-25,0,0,2,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,969.52,0.143,0.009,2020-02-06,6,36,10,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,983.09,0.143,0.046,2017-08-31,32,50,84,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,983.51,0.143,0.061,2023-10-26,43.0,100.0,80.0,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,954.82,0.143,0.0,2016-05-12,0,5,6,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,965.46,0.143,0.0,2018-05-31,0,0,6,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,958.22,0.143,0.0,2016-12-22,0,29,59,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,1002.81,0.143,0.143,2021-11-25,100.0,76.0,66.0,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,1002.98,0.143,0.143,2021-11-18,100.0,83.0,69.0,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,983.35,0.143,0.061,2023-09-06,43.0,100.0,83.0,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,961.49,0.143,0.0,2018-05-23,0,0,5,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,987.33,0.143,0.06,2020-07-23,42,13,62,0.0,95.0,10.3108449,76.8075228
SHOLAYAR,1002.79,978.87,0.143,0.046,2015-12-02,32,92,85,-,95,10.3108449,76.8075228
SHOLAYAR,1002.79,973.18,0.143,0.017,2021-01-20,12,20,20,0.0,95.0,10.3108449,76.8075228
