NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SINGUR,523.6,523.31,0.822,0.776,2020-12-17,94,2,49,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.68,0.822,0.557,2021-03-25,68,1,39,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,511.86,0.822,0.016,2020-02-06,2,3,50,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.43,0.822,0.82,2023-10-26,100.0,100.0,60.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,523.57,0.822,0.818,2021-11-25,100.0,98.0,51.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,521.42,0.822,0.532,2022-06-09,65.0,54.0,27.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.41,0.822,0.791,2022-08-18,96.0,69.0,34.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.6,0.822,0.822,2021-11-18,100.0,99.0,51.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.36,0.822,0.783,2022-08-25,95.0,69.0,32.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.26,0.822,0.793,2023-09-06,96.0,98.0,42.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,509.87,0.822,0.0,2020-07-23,0,0,29,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.58,0.822,0.818,2022-11-10,100.0,100.0,55.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,522.89,0.822,0.712,2021-01-21,87,2,46,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.84,0.822,0.572,2021-08-05,70,4,33,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.95,0.822,0.582,2021-03-18,71,1,36,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,520.93,0.822,0.484,2023-05-04,59.0,71.0,30.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,522.7,0.822,0.71,2024-01-04,86.0,91.0,54.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.6,0.822,0.55,2020-09-24,67,2,59,16,15.0,22.8130387,88.2283646
SINGUR,523.6,510.03,0.822,0.0,2020-07-09,0,0,27,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,523.49,0.822,0.822,2023-10-19,100.0,100.0,63.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.25,0.822,0.516,2022-06-23,63.0,57.0,23.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,520.81,0.822,0.474,2021-06-17,58,0,24,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,520.55,0.822,0.449,2021-06-03,55,0,22,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.72,0.822,0.561,2021-08-12,68,5,30,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.43,0.822,0.558,2024-03-14,68.0,69.0,43.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,521.11,0.822,0.527,2024-03-28,64.0,67.0,41.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,522.79,0.822,0.723,2023-12-21,88.0,94.0,55.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,522.65,0.822,0.703,2024-01-11,86.0,89.0,53.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,520.89,0.822,0.48,2023-05-11,58.0,70.0,33.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,522.6,0.822,0.672,2022-03-17,82.0,71.0,35.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,512.4,0.822,0.047,2019-11-20,6,8,55,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,509.88,0.822,0.0,2020-05-21,0,0,26,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,520.41,0.822,0.461,2024-04-25,56.0,60.0,35.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,510.05,0.822,0.0,2020-07-29,0,0,33,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.58,0.822,0.818,2022-11-17,100.0,100.0,52.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.51,0.822,0.822,2023-09-27,100.0,100.0,60.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,523.29,0.822,0.773,2022-01-06,94.0,91.0,51.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.25,0.822,0.767,2022-01-13,93.0,89.0,46.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,522.57,0.822,0.667,2020-10-01,81,3,61,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.45,0.822,0.822,2023-09-14,100.0,100.0,47.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,523.3,0.822,0.799,2020-10-15,97,3,57,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,523.6,0.822,0.822,2020-10-29,100,4,57,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,520.61,0.822,0.454,2021-05-27,55,0,24,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,520.54,0.822,0.473,2024-04-18,58.0,61.0,36.0,16.19,15.0,22.8130387,88.2283646
SINGUR,523.6,522.5,0.822,0.657,2023-02-09,80.0,89.0,43.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,522.28,0.822,0.626,2023-02-23,76.0,85.0,41.0,16.187,15.0,22.8130387,88.2283646
SINGUR,523.6,521.15,0.822,0.506,2021-04-15,62,0,28,16.19,15.0,22.8130387,88.2283646
