NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SIRSI,217.93,214.4,0.19,0.086,2020-12-17,45,86,53,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,210.4,0.19,0.02,2021-03-23,11,63,26,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,212.7,0.19,0.07,2023-10-26,37.0,37.0,54.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,215.7,0.19,0.118,2021-11-25,62.0,47.0,54.0,80.566,0.0,14.6192362,74.8388611
SIRSI,217.93,211.05,0.19,0.027,2022-06-09,14.0,4.0,16.0,80.566,0.0,14.6192362,74.8388611
SIRSI,217.93,210.7,0.19,0.024,2022-08-18,13.0,79.0,56.0,80.566,0.0,14.6192362,74.8388611
SIRSI,217.93,215.8,0.19,0.12,2021-11-18,63.0,48.0,59.0,80.566,0.0,14.6192362,74.8388611
SIRSI,217.93,211.1,0.19,0.028,2022-08-25,15.0,80.0,67.0,80.566,0.0,14.6192362,74.8388611
SIRSI,217.93,211.4,0.19,0.049,2023-09-06,26.0,27.0,59.0,80.57,0.0,14.6192362,74.8388611
SIRSI,213.10,0.1,0.0,0.06,2022-11-10,32.0,67.0,57.0,80.566,0.0,14.6192362,74.8388611
SIRSI,217.93,213.06,0.19,0.06,2021-01-21,32,77,39,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,216.25,0.19,0.135,2021-08-05,71,65,32,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,210.4,0.19,0.02,2021-03-18,11,63,27,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,208.05,0.19,0.014,2023-05-04,7.0,21.0,20.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,210.95,0.19,0.043,2024-01-04,23.0,9.0,33.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,213.0,0.19,0.075,2023-10-19,39.0,39.0,56.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,211.1,0.19,0.028,2022-06-23,15.0,19.0,12.0,80.566,0.0,14.6192362,74.8388611
SIRSI,217.93,209.5,0.19,0.009,2021-06-17,5,52,15,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,209.6,0.19,0.01,2021-06-03,5,53,17,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,216.6,0.19,0.147,2021-08-12,77,68,39,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,209.5,0.19,0.026,2024-03-14,14.0,7.0,21.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,209.5,0.19,0.026,2024-03-28,14.0,8.0,20.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,210.95,0.19,0.043,2023-12-21,23.0,24.0,46.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,210.7,0.19,0.04,2024-01-11,21.0,10.0,38.0,80.57,0.0,14.6192362,74.8388611
SIRSI,217.93,208.05,0.19,0.014,2023-05-11,7.0,15.0,18.0,80.566,0.0,14.6192362,74.8388611
