NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SOMASILA,100.58,93.53,1.994,1.059,2016-10-27,53,21,59,168,0,14.4986502,79.3138784
SOMASILA,100.58,100.02,1.994,1.994,2020-12-17,100,99,70,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,83.45,1.994,0.269,2015-07-21,13,22,24,168,0,14.4986502,79.3138784
SOMASILA,100.58,94.53,1.994,1.176,2018-10-04,59,33,46,168,0,14.4986502,79.3138784
SOMASILA,100.58,82.28,1.994,0.214,2017-06-08,11,28,30,168,0,14.4986502,79.3138784
SOMASILA,100.58,98.33,1.994,1.758,2021-03-25,88,67,38,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,97.93,1.994,1.684,2020-02-06,84,27,52,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,84.67,1.994,0.333,2017-08-31,17,11,30,168,0,14.4986502,79.3138784
SOMASILA,100.58,91.67,1.994,0.643,2023-10-26,32.0,92.0,73.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,90.4,1.994,0.738,2016-05-12,37,16,37,168,0,14.4986502,79.3138784
SOMASILA,100.58,84.97,1.994,0.348,2018-05-31,17,11,33,168,0,14.4986502,79.3138784
SOMASILA,100.58,93.74,1.994,1.084,2016-12-21,54,91,73,168,0,14.4986502,79.3138784
SOMASILA,100.58,99.23,1.994,1.93,2021-11-25,97.0,100.0,72.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,97.38,1.994,1.585,2022-06-09,79.0,69.0,26.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,99.35,1.994,1.982,2022-08-18,99.0,89.0,23.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,99.5,1.994,1.986,2021-11-18,100.0,100.0,70.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,99.33,1.994,1.951,2022-08-25,98.0,87.0,27.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,88.23,1.994,0.346,2023-09-06,17.0,100.0,44.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,85.02,1.994,0.352,2018-05-24,18,11,35,168,0,14.4986502,79.3138784
SOMASILA,100.58,90.31,1.994,0.73,2020-07-23,37,3,20,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,99.32,1.994,1.949,2015-12-03,98,66,72,168,0,14.4986502,79.3138784
SOMASILA,100.58,100.13,1.994,1.994,2021-01-21,100,91,59,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,96.94,1.994,1.515,2021-08-05,76,40,19,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,98.74,1.994,1.834,2015-12-17,92,62,70,168,0,14.4986502,79.3138784
SOMASILA,100.58,98.62,1.994,1.812,2021-03-18,91,69,40,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,81.51,1.994,0.187,2017-08-24,9,11,27,168,0,14.4986502,79.3138784
SOMASILA,100.58,94.49,1.994,1.171,2018-10-11,59,43,55,168,0,14.4986502,79.3138784
SOMASILA,100.58,96.33,1.994,1.203,2023-05-04,60.0,82.0,36.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,92.43,1.994,0.724,2024-01-04,36.0,91.0,77.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,84.41,1.994,0.318,2016-07-28,16,13,24,168,0,14.4986502,79.3138784
SOMASILA,100.58,85.72,1.994,0.393,2016-07-14,20,14,26,168,0,14.4986502,79.3138784
SOMASILA,100.58,100.04,1.994,1.994,2020-09-24,100,94,50,168,0.0,14.4986502,79.3138784
SOMASILA,100.58,89.05,1.994,0.625,2020-07-09,31,4,20,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,94.9,1.994,1.224,2016-02-18,61,33,55,168,0,14.4986502,79.3138784
SOMASILA,100.58,91.74,1.994,0.651,2023-10-19,33.0,93.0,71.0,168.0,0.0,14.4986502,79.3138784
SOMASILA,100.58,90.77,1.994,0.772,2016-05-05,39,16,39,168,0,14.4986502,79.3138784
SOMASILA,100.58,80.25,1.994,0.146,2019-04-10,7,19,38,168,0,14.4986502,79.3138784
