NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2016-10-27,100,9,57,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.48,2.3,2.3,2020-12-17,100,100,67,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.98,2.3,0.224,2015-07-23,10,30,20,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,330.04,2.3,1.709,2018-10-04,74,45,62,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,321.41,2.3,0.252,2017-06-08,11,6,10,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,327.2,2.3,1.028,2021-03-25,45,48,28,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,330.53,2.3,1.84,2020-02-06,80,33,42,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,327.11,2.3,1.01,2017-08-31,44,44,37,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.32,2.3,2.3,2023-10-26,100.0,100.0,73.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,319.1,2.3,0.134,2016-05-12,6,14,9,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.25,2.3,0.187,2018-05-31,8,11,10,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,331.68,2.3,2.182,2016-12-22,95,8,51,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2021-11-25,100.0,100.0,69.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.49,2.3,0.555,2022-06-09,24.0,22.0,16.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.2,2.3,2.3,2022-08-18,100.0,99.0,43.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2021-11-18,100.0,100.0,66.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.17,2.3,2.3,2022-08-25,100.0,100.0,57.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2023-09-06,100.0,100.0,62.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.31,2.3,0.19,2018-05-24,8,11,8,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,327.23,2.3,1.034,2020-07-23,45,7,26,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.62,2.3,0.205,2015-12-03,9,27,61,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2022-11-10,100.0,100.0,68.0,411,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,331.07,2.3,2.001,2021-01-21,87,91,58,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.08,2.3,2.3,2021-08-05,100,48,37,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.13,2.3,0.18,2015-12-17,8,22,57,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,327.9,2.3,1.181,2021-03-18,51,53,31,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,325.65,2.3,0.735,2017-08-24,32,49,34,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,329.12,2.3,1.469,2018-10-11,64,44,68,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.89,2.3,0.616,2023-05-04,27.0,26.0,19.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,330.98,2.3,1.974,2024-01-04,86.0,96.0,71.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.32,2.3,0.854,2016-07-28,37,9,24,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,323.7,2.3,0.451,2016-07-14,20,13,13,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.26,2.3,2.3,2020-09-24,100,67,68,411,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.62,2.3,0.914,2020-07-09,40,7,16,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,319.89,2.3,0.168,2016-02-18,7,20,31,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.45,2.3,2.3,2023-10-19,100.0,100.0,77.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,319.13,2.3,0.135,2016-05-05,6,14,9,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,321.05,2.3,0.228,2019-04-10,10,13,16,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.8,2.3,0.601,2022-06-23,26.0,31.0,17.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.02,2.3,2.299,2016-12-08,100,8,54,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,322.48,2.3,0.326,2019-04-04,14,13,18,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.73,2.3,0.592,2021-06-17,26,37,16,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.25,2.3,0.522,2021-06-03,23,37,16,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,322.88,2.3,0.364,2017-04-27,16,6,10,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,319.83,2.3,0.165,2016-02-25,7,19,27,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,331.99,2.3,2.284,2021-08-12,99,48,38,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,325.01,2.3,0.635,2024-03-14,28.0,45.0,38.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,323.73,2.3,0.455,2024-03-28,20.0,37.0,31.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,321.41,2.3,0.252,2017-06-22,11,6,10,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,331.68,2.3,2.182,2023-12-21,95.0,100.0,72.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,330.5,2.3,1.831,2024-01-11,80.0,91.0,74.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.89,2.3,0.616,2023-05-11,27.0,26.0,18.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,322.42,2.3,0.321,2015-07-02,14,30,7,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,321.08,2.3,0.23,2015-09-29,10,38,69,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.38,2.3,0.866,2019-01-24,38,45,45,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,323.94,2.3,0.482,2019-08-14,21,21,36,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,329.46,2.3,1.556,2017-11-02,68,100,61,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,329.12,2.3,1.469,2017-11-16,64,100,55,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,328.27,2.3,1.266,2022-03-17,55.0,52.0,32.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.51,2.3,2.3,2019-11-21,100,43,59,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.29,2.3,0.848,2020-05-21,37,7,12,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.8,2.3,0.214,2015-10-28,9,30,67,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.89,2.3,0.219,2015-10-15,10,31,73,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.84,2.3,0.956,2018-12-13,42,58,57,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,322.14,2.3,0.303,2024-04-25,13.0,25.0,21.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,327.54,2.3,1.098,2020-07-30,48,7,33,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2022-11-17,100.0,100.0,68.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.47,2.3,0.884,2017-03-16,38,6,20,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,327.69,2.3,1.131,2017-03-02,49,7,25,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.25,2.3,0.187,2015-12-10,8,24,59,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2022-11-03,100.0,100.0,71.0,411,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2023-09-27,100.0,100.0,75.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.11,2.3,2.3,2022-01-06,100.0,96.0,64.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,331.87,2.3,2.237,2022-01-13,97.0,92.0,65.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2020-10-01,100,91,72,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2023-09-14,100.0,100.0,67.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.51,2.3,2.3,2020-10-15,100,100,73,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2020-10-29,100,100,71,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,323.27,2.3,0.402,2019-03-20,17,19,23,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.31,2.3,0.53,2021-05-27,23,37,14,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,322.11,2.3,0.301,2024-04-18,13.0,25.0,22.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.87,2.3,0.962,2018-12-06,42,58,58,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.96,2.3,0.98,2016-09-15,43,10,53,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,330.83,2.3,1.929,2017-01-12,84,8,45,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,327.05,2.3,0.998,2016-09-01,43,10,43,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2016-09-29,100,10,61,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,332.54,2.3,2.3,2016-10-20,100,10,63,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,320.62,2.3,0.205,2015-07-30,9,29,33,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,329.61,2.3,1.596,2023-02-09,69.0,82.0,52.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.16,2.3,0.51,2019-08-29,22,89,49,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.29,2.3,0.848,2019-01-31,37,41,42,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,330.62,2.3,1.866,2018-09-20,81,53,55,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,323.15,2.3,0.391,2018-07-19,17,12,21,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,319.83,2.3,0.165,2019-06-06,7,8,12,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,328.73,2.3,1.372,2023-02-23,60.0,72.0,45.0,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,321.17,2.3,0.236,2015-09-22,10,38,63,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,325.16,2.3,0.659,2021-04-15,29,41,19,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,319.49,2.3,0.149,2016-07-06,6,14,10,411,27,18.8812115,78.1441131
SRIRAMSAGAR,332.54,326.5,2.3,0.89,2021-04-01,39,46,25,411.0,27.0,18.8812115,78.1441131
SRIRAMSAGAR,332.54,324.8,2.3,0.601,2021-04-29,26,38,17,411.0,27.0,18.8812115,78.1441131
