NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SRISAILAM,269.75,268.04,8.288,5.134,2016-10-27,62,24,69,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,268.07,8.288,5.158,2020-12-17,62,57,45,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,244.6,8.288,0.0,2015-07-21,0,0,26,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,263.99,8.288,3.481,2018-10-04,42,63,69,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,236.43,8.288,0.435,2017-06-08,5,5,11,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,254.14,8.288,1.42,2021-03-25,17,17,15,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,264.81,8.288,3.771,2020-02-06,45,17,35,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,240.49,8.288,0.582,2017-08-31,7,51,65,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,257.74,6.013,1.922,2023-10-26,32.0,100.0,72.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,238.03,8.288,0.489,2016-05-12,6,30,14,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,243.75,8.288,0.72,2018-05-31,9,5,11,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,264.6,8.288,3.687,2016-12-21,44,18,61,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,264.14,6.013,3.534,2021-11-25,59.0,91.0,62.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,249.57,6.013,1.033,2022-06-09,17.0,14.0,11.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,269.53,6.013,5.892,2022-08-18,98.0,85.0,59.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,260.94,6.013,2.584,2021-11-18,43.0,96.0,68.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,269.6,6.013,5.932,2022-08-25,99.0,81.0,60.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,259.32,6.013,2.221,2023-09-06,37.0,99.0,71.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,243.81,8.288,0.723,2018-05-24,9,5,11,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,258.71,8.288,2.093,2020-07-23,25,10,11,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,254.45,8.288,1.456,2015-12-03,18,0,71,0,770,16.0909794,78.8656307623982
SRISAILAM,.75,267.8,6.013,5.03,2022-11-10,84.0,50.0,63.0,0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,265.79,8.288,4.144,2021-01-21,50,50,38,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,269.63,8.288,5.946,2021-08-05,72,26,26,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,254.63,8.288,1.477,2015-12-17,18,0,69,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,257.13,8.288,1.812,2021-03-18,22,17,18,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,238.48,8.288,0.505,2017-08-24,6,50,62,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,262.25,8.288,2.931,2018-10-11,35,70,68,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,245.85,6.013,0.82,2023-05-03,14.0,15.0,11.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,252.83,6.013,1.291,2024-01-04,21.0,43.0,44.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,246.0,8.288,0.828,2016-07-28,10,0,33,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,240.3,8.288,0.575,2016-07-14,7,30,24,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,269.5,8.288,5.878,2020-09-24,71,71,60,0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,247.99,8.288,0.935,2020-07-09,11,10,9,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,250.48,8.288,1.097,2016-02-18,13,0,47,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,258.32,6.013,2.022,2023-10-19,34.0,99.0,76.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,239.35,8.288,0.538,2016-05-05,6,30,15,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,249.54,8.288,1.032,2019-04-10,12,9,13,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,251.03,6.013,1.138,2022-06-23,19.0,17.0,11.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,265.48,8.288,4.033,2016-12-08,49,18,63,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,250.94,8.288,1.131,2019-04-04,14,10,14,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,249.23,8.288,1.012,2021-06-17,12,11,9,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,246.43,8.288,0.85,2021-06-03,10,11,8,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,239.27,8.288,0.534,2017-04-27,6,6,16,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,250.43,8.288,1.093,2016-02-25,13,0,44,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,269.69,8.288,5.973,2021-08-12,72,41,39,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,247.38,6.013,0.901,2024-03-14,15.0,17.0,18.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,247.1,6.013,0.886,2024-03-28,15.0,14.0,13.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,237.16,8.288,0.46,2017-06-22,6,6,14,0,770,16.0909794,78.8656307623982
SRISAILAM,269.75,254.11,6.013,1.42,2023-12-21,24.0,52.0,50.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,252.44,6.013,1.254,2024-01-11,21.0,38.0,44.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,246.49,6.013,0.853,2023-05-11,14.0,15.0,11.0,0.0,770.0,16.0909794,78.8656307623982
SRISAILAM,269.75,244.55,8.288,0.0,2015-07-09,0,0,22,0,770,16.0909794,78.8656307623982
