NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
SUPA,564.0,546.91,4.12,2.309,2016-10-25,56,44,72,-,-,,
SUPA,564.0,556.94,4.12,3.302,2020-12-17,80,92,66,0.0,0.0,,
SUPA,564.0,537.85,4.12,1.608,2015-07-23,39,31,35,-,-,,
SUPA,564.0,561.75,4.12,3.845,2018-10-04,93,60,66,-,-,,
SUPA,564.0,530.38,4.12,1.117,2017-06-07,27,20,19,-,-,,
SUPA,564.0,547.01,4.12,2.318,2021-03-25,56,54,42,0.0,0.0,,
SUPA,564.0,555.17,4.12,3.111,2020-02-06,76,62,53,0.0,0.0,,
SUPA,564.0,546.5,4.12,2.273,2017-08-31,55,51,61,-,-,,
SUPA,564.0,544.91,4.12,2.139,2023-10-26,52.0,72.0,79.0,0.0,0.0,,
SUPA,564.0,526.42,4.12,0.894,2016-05-12,22,39,24,-,-,,
SUPA,564.0,534.32,4.12,1.365,2018-05-31,33,28,21,-,-,,
SUPA,564.0,545.38,4.12,2.178,2016-12-19,53,44,63,-,-,,
SUPA,564.0,555.08,4.12,3.102,2021-11-25,75.0,83.0,71.0,0.0,0.0,,
SUPA,564.0,519.55,4.12,0.577,2022-06-09,14.0,35.0,27.0,0.0,0.0,,
SUPA,564.0,548.32,4.12,2.435,2022-08-18,59.0,74.0,65.0,0.0,0.0,,
SUPA,564.0,555.34,4.12,3.13,2021-11-18,76.0,84.0,75.0,0.0,0.0,,
SUPA,564.0,549.74,4.12,2.567,2022-08-25,62.0,75.0,65.0,0.0,0.0,,
SUPA,564.0,545.43,4.12,2.182,2023-09-06,53.0,65.0,72.0,0.0,0.0,,
SUPA,564.0,534.78,4.12,1.396,2018-05-24,34,29,22,-,-,,
SUPA,564.0,534.46,4.12,1.375,2020-07-23,33,46,38,0.0,0.0,,
SUPA,564.0,540.86,4.12,1.824,2015-12-03,44,71,71,-,-,,
SUPA,553.08,4.12,2.8,4.0,2022-11-10,70.0,77.0,73.0,0,0.0,,
SUPA,564.0,554.38,4.12,3.028,2021-01-21,73,81,59,0.0,0.0,,
SUPA,564.0,553.3,4.12,2.917,2021-08-05,71,36,51,0.0,0.0,,
SUPA,564.0,540.81,4.12,1.82,2015-12-17,44,69,68,-,-,,
SUPA,564.0,548.11,4.12,2.416,2021-03-18,59,58,45,0.0,0.0,,
SUPA,564.0,544.95,4.12,2.142,2017-08-24,52,49,58,-,-,,
SUPA,564.0,561.33,4.12,3.796,2018-10-11,92,60,65,-,-,,
SUPA,564.0,536.3,4.12,1.499,2023-05-03,36.0,25.0,33.0,0.0,0.0,,
SUPA,564.0,543.02,4.12,1.987,2024-01-04,48.0,62.0,66.0,0.0,0.0,,
SUPA,564.0,534.69,4.12,1.39,2016-07-28,34,41,41,-,-,,
SUPA,564.0,531.85,4.12,1.206,2016-07-14,29,36,28,-,-,,
SUPA,564.0,557.08,4.12,3.317,2020-09-24,81,97,74,0,0.0,,
SUPA,564.0,530.95,4.12,1.151,2020-07-09,28,36,27,0.0,0.0,,
SUPA,564.0,538.34,4.12,1.642,2016-02-18,40,59,52,-,-,,
SUPA,564.0,545.2,4.12,2.163,2023-10-19,53.0,72.0,76.0,0.0,0.0,,
SUPA,564.0,526.53,4.12,0.9,2016-05-05,22,40,29,-,-,,
SUPA,564.0,540.68,4.12,1.811,2019-04-11,44,41,29,-,-,,
SUPA,564.0,518.23,4.12,0.525,2022-06-23,13.0,41.0,25.0,0.0,0.0,,
SUPA,564.0,545.6,4.12,2.196,2016-12-08,53,44,65,-,-,,
SUPA,564.0,541.69,4.12,1.886,2019-04-04,46,42,35,-,-,,
SUPA,564.0,536.4,4.12,1.506,2021-06-17,37,27,25,0.0,0.0,,
SUPA,564.0,536.36,4.12,1.504,2021-06-03,37,29,26,0.0,0.0,,
SUPA,564.0,534.63,4.12,1.385,2017-04-27,34,24,29,-,-,,
SUPA,564.0,537.36,4.12,1.574,2016-02-25,38,56,50,-,-,,
SUPA,564.0,554.5,4.12,3.041,2021-08-12,74,51,60,0.0,0.0,,
SUPA,564.0,537.5,4.12,1.583,2024-03-07,38.0,51.0,53.0,0.0,0.0,,
SUPA,564.0,535.55,4.12,1.448,2024-03-28,35.0,47.0,46.0,0.0,0.0,,
SUPA,564.0,530.08,4.12,1.099,2017-06-21,27,19,20,-,-,,
SUPA,564.0,543.78,4.12,2.046,2023-12-21,50.0,66.0,69.0,0.0,0.0,,
SUPA,564.0,542.6,4.12,1.954,2024-01-11,47.0,61.0,65.0,0.0,0.0,,
SUPA,564.0,535.19,4.12,1.424,2023-05-10,35.0,23.0,31.0,0.0,0.0,,
SUPA,564.0,535.32,4.12,1.433,2015-07-09,35,17,25,-,-,,
SUPA,564.0,540.3,4.12,1.782,2015-09-30,43,81,78,-,-,,
SUPA,564.0,551.17,4.12,2.704,2019-01-24,66,51,54,-,-,,
SUPA,564.0,560.98,4.12,3.813,2019-08-14,93,79,56,-,-,,
SUPA,564.0,549.09,4.12,2.505,2017-11-02,61,55,67,-,-,,
SUPA,564.0,548.16,4.12,2.421,2017-11-16,59,54,66,-,-,,
SUPA,564.0,540.53,4.12,1.799,2022-03-17,44.0,59.0,47.0,0.0,0.0,,
SUPA,564.0,563.04,4.12,3.999,2019-11-20,97,83,65,0.0,0.0,,
SUPA,564.0,534.38,4.12,1.369,2020-05-21,33,32,26,0.0,0.0,,
SUPA,564.0,540.71,4.12,1.813,2015-10-29,44,78,76,-,-,,
SUPA,564.0,540.48,4.12,1.796,2015-10-15,44,78,77,-,-,,
SUPA,564.0,555.96,4.12,3.196,2018-12-13,78,56,59,-,-,,
SUPA,564.0,531.65,4.12,1.194,2024-04-25,29.0,39.0,38.0,0.0,0.0,,
SUPA,564.0,533.78,4.12,1.329,2020-07-30,32,51,45,0.0,0.0,,
SUPA,564.0,552.88,4.12,2.874,2022-11-17,70.0,76.0,73.0,0.0,0.0,,
SUPA,564.0,539.53,4.12,1.727,2017-03-16,42,35,42,-,-,,
SUPA,564.0,541.23,4.12,1.851,2017-03-02,45,37,46,-,-,,
SUPA,564.0,540.86,4.12,1.824,2015-12-08,44,70,69,-,-,,
SUPA,553.47,4.12,2.0,34.0,2022-11-03,71.0,78.0,74.0,0,0.0,,
SUPA,564.0,545.39,4.12,2.179,2023-09-29,53.0,72.0,78.0,0.0,0.0,,
SUPA,564.0,551.89,4.12,2.774,2022-01-05,67.0,76.0,64.0,0.0,0.0,,
SUPA,564.0,551.1,4.12,2.697,2022-01-12,65.0,75.0,63.0,0.0,0.0,,
SUPA,564.0,558.1,4.12,3.429,2020-10-01,83,97,74,0.0,0.0,,
SUPA,564.0,545.5,4.12,2.188,2023-09-14,53.0,69.0,77.0,0.0,0.0,,
SUPA,564.0,558.65,4.12,3.491,2020-10-15,85,97,72,0.0,0.0,,
SUPA,564.0,558.93,4.12,3.522,2020-10-29,85,99,71,0.0,0.0,,
SUPA,564.0,544.09,4.12,2.072,2019-03-20,50,46,40,-,-,,
SUPA,564.0,537.83,4.12,1.606,2021-05-27,39,31,26,0.0,0.0,,
SUPA,564.0,532.39,4.12,1.24,2024-04-18,30.0,41.0,39.0,0.0,0.0,,
SUPA,564.0,556.63,4.12,3.268,2018-12-06,79,57,60,-,-,,
SUPA,564.0,544.88,4.12,2.137,2016-09-15,52,42,71,-,-,,
SUPA,564.0,544.21,4.12,2.082,2017-01-12,51,43,58,-,-,,
SUPA,564.0,544.2,4.12,2.081,2016-08-31,51,42,66,-,-,,
SUPA,564.0,547.4,4.12,2.352,2016-09-29,57,43,73,-,-,,
SUPA,564.0,547.34,4.12,2.348,2016-10-20,57,44,72,-,-,,
SUPA,564.0,539.3,4.12,1.71,2015-07-30,42,38,43,-,-,,
SUPA,564.0,546.77,4.12,2.298,2023-02-09,56.0,58.0,58.0,0.0,0.0,,
SUPA,564.0,562.88,4.12,3.979,2019-08-29,97,96,58,-,-,,
SUPA,564.0,550.28,4.12,2.618,2019-01-31,64,51,52,-,-,,
SUPA,564.0,562.15,4.12,3.892,2018-09-20,94,57,67,-,-,,
