NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TANDULA,332.2,328.58,0.312,0.159,2020-12-16,51,28,61,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.3,0.312,0.15,2021-03-25,48,52,54,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,329.37,0.312,0.187,2020-02-06,60,44,57,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.52,0.312,0.157,2023-10-19,50.0,88.0,61.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.27,0.312,0.149,2021-11-25,48.0,53.0,56.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,325.47,0.312,0.069,2022-06-08,22.0,8.0,21.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,332.45,0.312,0.312,2022-08-17,100.0,16.0,41.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.27,0.312,0.149,2021-11-18,48.0,53.0,56.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,332.24,0.312,0.305,2022-08-24,98.0,18.0,52.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,329.04,0.312,0.175,2023-09-06,56.0,94.0,53.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,326.23,0.312,0.089,2020-07-22,29,40,37,246.36,0.0,21.1879859,81.3977351
TANDULA,332.20,331.54,0.312,0.274,2022-11-08,88.0,48.0,57.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.49,0.312,0.156,2021-01-21,50,63,63,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,324.31,0.312,0.047,2021-08-05,15,29,42,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.27,0.312,0.149,2021-03-18,48,54,56,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.67,0.312,0.162,2023-05-04,52.0,25.0,22.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.73,0.312,0.131,2023-12-28,42.0,83.0,62.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,329.28,0.312,0.184,2020-09-24,59,28,55,246,0.0,21.1879859,81.3977351
TANDULA,332.2,326.2,0.312,0.088,2020-07-08,28,40,28,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.52,0.312,0.157,2023-10-19,50.0,88.0,61.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,325.53,0.312,0.071,2022-06-22,23.0,8.0,22.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,322.97,0.312,0.026,2021-06-16,8,20,25,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,322.97,0.312,0.026,2021-06-03,8,20,23,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,324.34,0.312,0.048,2021-08-11,15,36,39,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.54,0.312,0.126,2024-03-12,40.0,77.0,54.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.48,0.312,0.124,2024-03-27,40.0,69.0,53.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.73,0.312,0.131,2023-12-21,42.0,86.0,63.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.73,0.312,0.131,2024-01-10,42.0,82.0,67.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.61,0.312,0.16,2023-05-11,51.0,23.0,20.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.27,0.312,0.149,2022-03-17,48.0,48.0,54.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,325.23,0.312,0.065,2020-05-20,21,40,26,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,325.8,0.312,0.079,2024-04-24,25.0,52.0,30.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,326.26,0.312,0.09,2020-07-29,29,40,41,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,331.5,0.312,0.272,2022-11-16,87.0,48.0,56.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,331.54,0.312,0.274,2022-11-02,88.0,48.0,54.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,330.38,0.312,0.226,2023-09-29,72.0,91.0,70.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.27,0.312,0.149,2022-01-06,48.0,50.0,60.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.37,0.312,0.152,2022-01-12,49.0,50.0,61.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.85,0.312,0.169,2020-10-01,54,28,70,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,329.37,0.312,0.187,2023-09-14,60.0,99.0,68.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.82,0.312,0.168,2020-10-14,54,28,62,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.88,0.312,0.17,2020-10-28,54,28,59,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,323.73,0.312,0.037,2021-05-26,12,21,25,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.05,0.312,0.112,2024-04-10,36.0,57.0,42.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,330.96,0.312,0.249,2023-02-08,80.0,49.0,56.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,330.86,0.312,0.245,2023-02-23,79.0,49.0,54.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,325.96,0.312,0.082,2021-04-14,26,45,44,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.85,0.312,0.135,2021-03-31,43,50,53,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,324.71,0.312,0.054,2021-04-28,17,33,33,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.54,0.312,0.126,2024-03-07,40.0,77.0,58.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,322.97,0.312,0.026,2021-06-10,8,20,27,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.96,0.312,0.178,2023-07-12,57.0,37.0,27.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,325.56,0.312,0.071,2022-06-29,23.0,8.0,23.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.88,0.312,0.17,2023-07-03,54.0,23.0,23.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,323.73,0.312,0.039,2021-07-22,13,29,38,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,330.38,0.312,0.226,2023-08-21,72.0,98.0,55.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.82,0.312,0.168,2020-03-19,54,43,53,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,331.28,0.312,0.267,2022-12-20,86.0,46.0,60.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,328.21,0.312,0.147,2021-12-16,47.0,51.0,59.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.24,0.312,0.148,2021-12-02,47.0,52.0,59.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,325.65,0.312,0.073,2022-05-12,23.0,17.0,23.0,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,328.33,0.312,0.151,2023-06-08,48.0,22.0,21.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,329.47,0.312,0.189,2021-10-07,61,53,66,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,330.22,0.312,0.22,2023-08-29,71.0,99.0,59.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.20,331.57,0.312,0.275,2022-10-27,88.0,46.0,57,246.36,0.0,21.1879859,81.3977351
TANDULA,332.2,327.76,0.312,0.132,2024-02-08,42.0,80.0,59.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.66,0.312,0.13,2024-02-22,42.0,79.0,56.0,246.4,0.0,21.1879859,81.3977351
TANDULA,332.2,327.09,0.312,0.113,2020-08-12,36,25,42,246.4,0.0,21.1879859,81.3977351
