NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TAWA,355.4,355.34,1.944,1.944,2016-10-27,100,100,98,247,-,53.4631552,-113.427559
TAWA,355.4,352.65,1.944,1.55,2020-12-17,80,90,71,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,347.35,1.944,0.848,2015-07-23,44,37,52,247,-,53.4631552,-113.427559
TAWA,355.4,352.84,1.944,1.579,2018-10-04,81,77,95,247,-,53.4631552,-113.427559
TAWA,355.4,342.53,1.944,0.436,2017-06-08,22,6,19,247,-,53.4631552,-113.427559
TAWA,355.4,346.68,1.944,0.791,2021-03-25,41,45,25,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,350.52,1.944,1.222,2020-02-06,63,13,38,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,349.09,1.944,1.051,2017-08-31,54,100,94,247,-,53.4631552,-113.427559
TAWA,355.4,355.43,1.944,1.944,2023-10-26,100.0,100.0,95.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,337.14,1.944,0.122,2016-05-12,6,31,23,247,-,53.4631552,-113.427559
TAWA,355.4,338.18,1.944,0.175,2018-05-31,9,23,19,247,-,53.4631552,-113.427559
TAWA,355.4,351.8,1.944,1.419,2016-12-22,73,65,70,247,-,53.4631552,-113.427559
TAWA,355.4,422.51,1.944,1.944,2021-11-25,100.0,91.0,83.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,337.63,1.944,0.147,2022-06-09,8.0,7.0,14.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,353.72,1.944,1.727,2022-08-18,89.0,77.0,79.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,354.59,1.944,1.892,2021-11-18,97.0,95.0,87.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,354.6,1.944,1.894,2022-08-25,97.0,83.0,85.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,354.57,1.944,1.888,2023-09-06,97.0,100.0,90.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,338.24,1.944,0.178,2018-05-24,9,23,19,247,-,53.4631552,-113.427559
TAWA,355.4,343.21,1.944,0.495,2020-07-23,25,12,47,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,352.53,1.944,1.532,2015-12-02,79,81,82,247,-,53.4631552,-113.427559
TAWA,1.,44.0,1.0,44.0,2022-11-10,100.0,100.0,2.0,247,0.0,53.4631552,-113.427559
TAWA,355.4,349.85,1.944,1.142,2021-01-21,59,73,49,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,350.98,1.944,1.293,2021-08-05,67,33,66,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,351.28,1.944,1.34,2015-12-17,69,73,74,247,-,53.4631552,-113.427559
TAWA,355.4,346.74,1.944,0.796,2021-03-18,41,45,25,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,348.26,1.944,0.953,2017-08-24,49,98,90,247,-,53.4631552,-113.427559
TAWA,355.4,352.84,1.944,1.579,2018-10-11,81,78,95,247,-,53.4631552,-113.427559
TAWA,355.4,344.73,1.944,0.624,2023-05-04,32.0,21.0,17.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,353.48,1.944,1.686,2023-12-28,87.0,83.0,67.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,353.2,1.944,1.634,2016-07-28,84,56,58,247,-,53.4631552,-113.427559
TAWA,355.4,352.56,1.944,1.536,2016-07-14,79,34,38,247,-,53.4631552,-113.427559
TAWA,355.4,355.46,1.944,1.944,2020-09-24,100,100,95,247,0.0,53.4631552,-113.427559
TAWA,355.4,342.53,1.944,0.436,2020-07-07,22,11,28,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,343.45,1.944,0.515,2016-02-18,26,39,35,247,-,53.4631552,-113.427559
TAWA,355.4,355.43,1.944,1.944,2023-10-19,100.0,100.0,96.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,337.9,1.944,0.161,2016-05-05,8,32,23,247,-,53.4631552,-113.427559
TAWA,355.4,337.69,1.944,0.15,2019-04-11,8,9,24,247,-,53.4631552,-113.427559
TAWA,355.4,337.75,1.944,0.152,2022-06-22,8.0,15.0,16.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,352.87,1.944,1.583,2016-12-08,81,75,78,247,-,53.4631552,-113.427559
TAWA,355.4,337.72,1.944,0.152,2019-04-04,8,9,25,247,-,53.4631552,-113.427559
TAWA,355.4,339.61,1.944,0.248,2021-06-17,13,14,16,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,337.23,1.944,0.127,2021-06-03,7,13,15,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,342.81,1.944,0.461,2017-04-27,24,11,23,247,-,53.4631552,-113.427559
TAWA,355.4,342.41,1.944,0.426,2016-02-25,22,35,32,247,-,53.4631552,-113.427559
TAWA,355.4,352.11,1.944,1.466,2021-08-12,75,39,74,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,349.48,1.944,1.098,2024-03-14,56.0,49.0,31.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,349.33,1.944,1.08,2024-03-28,56.0,49.0,31.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,342.47,1.944,0.431,2017-06-22,22,6,21,247,-,53.4631552,-113.427559
TAWA,355.4,353.9,1.944,1.756,2023-12-21,90.0,88.0,72.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,352.83,1.944,1.579,2024-01-11,81.0,76.0,59.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,344.12,1.944,0.572,2023-05-11,29.0,15.0,17.0,247.0,0.0,53.4631552,-113.427559
TAWA,355.4,344.76,1.944,0.627,2015-07-09,32,13,34,247,-,53.4631552,-113.427559
