NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TEHRI,830.0,823.45,2.615,2.344,2016-10-27,90,82,81,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,815.45,2.615,2.031,2020-12-17,78,79,77,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,782.75,2.615,0.966,2015-07-23,37,33,28,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,826.9,2.615,2.49,2018-10-04,95,92,88,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,742.1,2.615,0.03,2017-06-05,1,2,2,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,759.58,2.615,0.389,2021-03-25,15,30,30,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,798.58,2.615,1.439,2020-02-06,55,53,53,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,816.9,2.615,2.084,2017-08-31,80,82,77,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,826.68,2.615,2.48,2023-10-26,95.0,99.0,92.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,741.5,2.615,0.019,2016-05-11,1,13,7,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,743.05,2.615,0.049,2018-05-31,2,3,3,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,811.85,2.615,1.894,2016-12-22,72,65,69,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,820.45,2.615,2.222,2021-11-25,85.0,88.0,84.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,743.25,2.615,0.052,2022-06-09,2.0,2.0,3.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,816.05,2.615,2.052,2022-08-18,78.0,72.0,68.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,821.6,2.615,2.271,2021-11-18,87.0,91.0,87.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,819.8,2.615,2.198,2022-08-25,84.0,80.0,79.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,825.44,2.615,2.43,2023-09-06,93.0,96.0,88.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,744.45,2.615,0.076,2018-05-24,3,4,5,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,776.15,2.615,0.788,2020-07-23,30,19,33,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,811.5,2.615,1.883,2015-12-02,72,81,75,2351,1000,30.40260205,78.3883578903798
TEHRI,830.00,827.4,2.615,2.512,2022-11-10,6.0,88.0,88.0,2351,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,800.4,2.615,1.5,2021-01-21,57,64,61,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,802.35,2.615,1.597,2021-08-05,61,47,53,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,808.0,2.615,1.758,2015-12-17,67,76,71,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,764.15,2.615,0.492,2021-03-18,19,33,33,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,811.6,2.615,1.887,2017-08-23,72,76,73,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,827.0,2.615,2.495,2018-10-11,95,92,89,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,755.35,2.615,0.296,2023-05-04,11.0,11.0,10.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,805.89,2.615,1.683,2024-01-04,64.0,75.0,69.0,2351.0,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,787.3,2.615,1.096,2016-07-28,42,47,36,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,768.05,2.615,0.587,2016-07-14,22,22,19,2351,1000,30.40260205,78.3883578903798
TEHRI,830.0,827.85,2.615,2.529,2020-09-23,97,96,91,2351,1000.0,30.40260205,78.3883578903798
TEHRI,830.0,761.4,2.615,0.43,2020-07-09,16,7,15,2351.0,1000.0,30.40260205,78.3883578903798
