NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TENUGHAT,269.14,260.6,0.821,0.441,2016-10-25,54,47,44,-,-,23.7469287,85.7543455
TENUGHAT,269.14,260.02,0.821,0.417,2020-12-17,51,52,46,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,259.61,0.821,0.41,2015-07-23,50,50,39,-,-,23.7469287,85.7543455
TENUGHAT,269.14,259.84,0.821,0.41,2018-10-04,50,53,47,-,-,23.7469287,85.7543455
TENUGHAT,269.14,258.67,0.821,0.366,2017-06-08,45,32,31,-,-,23.7469287,85.7543455
TENUGHAT,269.14,258.68,0.821,0.366,2021-03-25,45,56,43,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,260.09,0.821,0.42,2020-02-06,51,44,46,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,257.62,0.821,0.33,2017-08-31,40,45,43,-,-,23.7469287,85.7543455
TENUGHAT,269.14,261.08,0.821,0.462,2023-10-26,56.0,54.0,52.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,255.67,0.821,0.272,2016-05-12,33,41,31,-,-,23.7469287,85.7543455
TENUGHAT,269.14,257.24,0.821,0.318,2018-05-31,39,43,31,-,-,23.7469287,85.7543455
TENUGHAT,269.14,260.22,0.821,0.426,2016-12-22,52,43,43,-,-,23.7469287,85.7543455
TENUGHAT,269.14,259.92,0.821,0.413,2021-11-24,50.0,51.0,48.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,256.09,0.821,0.284,2022-06-09,35.0,39.0,38.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,259.37,0.821,0.392,2022-08-18,48.0,47.0,45.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,259.72,0.821,0.406,2021-11-18,49.0,51.0,48.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,259.98,0.821,0.416,2022-08-25,51.0,43.0,44.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,259.72,0.821,0.406,2023-09-05,49.0,52.0,49.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,257.4,0.821,0.323,2018-05-24,39,43,31,-,-,23.7469287,85.7543455
TENUGHAT,269.14,258.23,0.821,0.35,2020-07-22,43,40,40,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,258.71,0.821,0.367,2015-12-02,45,48,43,-,-,23.7469287,85.7543455
TENUGHAT,.14,260.45,0.821,0.435,2022-11-10,53.0,51.0,4.0,0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,259.67,0.821,0.403,2021-01-21,49,51,48,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,260.54,0.821,0.438,2021-08-05,53,49,44,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,258.5,0.821,0.36,2015-12-17,44,48,42,-,-,23.7469287,85.7543455
TENUGHAT,269.14,258.85,0.821,0.372,2021-03-18,45,57,44,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,257.74,0.821,0.334,2017-08-24,41,48,42,-,-,23.7469287,85.7543455
TENUGHAT,269.14,259.83,0.821,0.41,2018-10-11,50,48,47,-,-,23.7469287,85.7543455
TENUGHAT,269.14,258.41,0.821,0.357,2023-05-04,43.0,42.0,43.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,260.28,0.821,0.428,2024-01-04,52.0,53.0,50.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,258.56,0.821,0.362,2016-07-28,44,44,39,-,-,23.7469287,85.7543455
TENUGHAT,269.14,258.88,0.821,0.373,2016-07-14,45,39,38,-,-,23.7469287,85.7543455
TENUGHAT,269.14,259.93,0.821,0.414,2020-09-24,50,50,47,0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,258.26,0.821,0.351,2020-07-09,43,41,39,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,257.54,0.821,0.327,2016-02-18,40,45,41,-,-,23.7469287,85.7543455
TENUGHAT,269.14,260.85,0.821,0.452,2023-10-19,55.0,57.0,52.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,255.86,0.821,0.277,2016-05-05,34,42,32,-,-,23.7469287,85.7543455
TENUGHAT,269.14,257.82,0.821,0.337,2019-04-11,41,43,37,-,-,23.7469287,85.7543455
TENUGHAT,269.14,255.68,0.821,0.273,2022-06-23,33.0,41.0,37.0,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,260.3,0.821,0.429,2016-12-08,52,44,43,-,-,23.7469287,85.7543455
TENUGHAT,269.14,257.94,0.821,0.34,2019-04-04,41,43,38,-,-,23.7469287,85.7543455
TENUGHAT,269.14,257.53,0.821,0.327,2021-06-17,40,41,35,0.0,0.0,23.7469287,85.7543455
TENUGHAT,269.14,258.68,0.821,0.366,2021-06-03,45,46,37,0.0,0.0,23.7469287,85.7543455
