NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
THEIN DAM,527.91,514.17,2.344,1.36,2016-10-27,58,53,60,348,600,32.4425,75.728611
THEIN DAM,527.91,499.85,2.344,0.621,2020-12-17,26,71,55,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,523.23,2.344,1.959,2015-07-21,84,72,50,348,600,32.4425,75.728611
THEIN DAM,527.91,526.9,2.344,2.277,2018-10-04,97,71,65,348,600,32.4425,75.728611
THEIN DAM,527.91,514.64,2.344,1.386,2017-06-08,59,38,47,348,600,32.4425,75.728611
THEIN DAM,527.91,498.11,2.344,0.545,2021-03-25,23,38,40,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,511.65,2.344,1.192,2020-02-06,51,63,35,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,520.2,2.344,1.721,2017-08-31,73,77,66,348,600,32.4425,75.728611
THEIN DAM,527.91,514.32,2.344,1.386,2023-10-26,59.0,84.0,64.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,500.65,2.344,0.646,2016-05-10,28,84,45,348,600,32.4425,75.728611
THEIN DAM,527.91,499.05,2.344,0.583,2018-05-31,25,58,44,348,600,32.4425,75.728611
THEIN DAM,527.91,506.28,2.344,0.939,2016-12-22,40,29,48,348,600,32.4425,75.728611
THEIN DAM,527.91,508.56,2.344,1.037,2021-11-22,44.0,41.0,59.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,506.92,2.344,1.037,2022-06-09,44.0,38.0,52.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,523.7,2.344,1.999,2022-08-18,85.0,42.0,65.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,509.18,2.344,1.061,2021-11-18,45.0,43.0,60.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,522.82,2.344,1.959,2022-08-25,84.0,41.0,67.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,519.41,2.344,1.721,2023-09-06,73.0,84.0,73.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,498.89,2.344,0.583,2018-05-24,25,58,42,348,600,32.4425,75.728611
THEIN DAM,527.91,510.59,2.344,1.172,2020-07-23,50,54,50,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,506.16,2.344,0.915,2015-12-03,39,46,54,348,600,32.4425,75.728611
THEIN DAM,1,521.13,2.344,1.841,2022-11-10,7.0,47.0,60.0,348,600.0,32.4425,75.728611
THEIN DAM,527.91,493.53,2.344,0.374,2021-01-21,16,59,41,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,507.67,2.344,0.988,2021-08-05,42,45,58,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,502.46,2.344,0.744,2015-12-17,32,44,50,348,600,32.4425,75.728611
THEIN DAM,527.91,497.25,2.344,0.507,2021-03-18,22,38,40,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,521.45,2.344,1.841,2017-08-24,79,72,65,348,600,32.4425,75.728611
THEIN DAM,527.91,526.4,2.344,2.237,2018-10-11,95,66,63,348,600,32.4425,75.728611
THEIN DAM,527.91,511.71,2.344,1.141,2023-05-04,49.0,40.0,54.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,499.84,2.344,0.621,2024-01-04,26.0,64.0,43.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,506.81,2.344,0.964,2016-07-28,41,84,52,348,600,32.4425,75.728611
THEIN DAM,527.91,504.26,2.344,0.817,2016-07-14,35,85,51,348,600,32.4425,75.728611
THEIN DAM,527.91,515.39,2.344,1.446,2020-09-24,62,87,78,348,600.0,32.4425,75.728611
THEIN DAM,527.91,511.35,2.344,1.172,2020-07-09,50,47,50,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,495.79,2.344,0.469,2016-02-18,20,29,30,348,600,32.4425,75.728611
THEIN DAM,527.91,513.93,2.344,1.36,2023-10-19,58.0,89.0,67.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,499.77,2.344,0.621,2016-05-05,26,82,46,348,600,32.4425,75.728611
THEIN DAM,527.91,520.31,2.344,1.76,2019-04-11,75,20,36,348,600,32.4425,75.728611
THEIN DAM,527.91,504.83,2.344,0.892,2022-06-23,38.0,40.0,51.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,508.14,2.344,1.013,2016-12-08,43,37,52,348,600,32.4425,75.728611
THEIN DAM,527.91,519.62,2.344,1.69,2019-04-04,72,20,31,348,600,32.4425,75.728611
THEIN DAM,527.91,507.09,2.344,0.964,2021-06-17,41,56,53,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,504.95,2.344,0.842,2021-06-03,36,58,50,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,516.13,2.344,1.477,2017-04-27,63,24,39,348,600,32.4425,75.728611
THEIN DAM,527.91,496.11,2.344,0.473,2016-02-25,20,29,29,348,600,32.4425,75.728611
THEIN DAM,527.91,508.26,2.344,1.013,2021-08-11,43,44,61,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,504.72,2.344,0.842,2024-03-14,36.0,49.0,39.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,505.46,2.344,0.892,2024-03-28,38.0,47.0,40.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,513.87,2.344,1.36,2017-06-22,58,37,47,348,600,32.4425,75.728611
THEIN DAM,527.91,507.9,2.344,1.037,2023-12-21,44.0,69.0,48.0,348.0,600.0,32.4425,75.728611
THEIN DAM,527.91,498.75,2.344,0.583,2024-01-11,25.0,62.0,40.0,348.0,600.0,32.4425,75.728611
