NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
THOKARWADI,667.14,661.72,0.353,0.215,2020-12-17,61,93,71,0.0,72.0,,
THOKARWADI,667.14,657.82,0.353,0.141,2021-03-25,40,63,44,0.0,72.0,,
THOKARWADI,667.14,664.22,0.353,0.273,2020-02-06,77,62,56,0.0,72.0,,
THOKARWADI,667.14,666.54,0.353,0.335,2023-10-26,95.0,96.0,81.0,0.0,72.0,,
THOKARWADI,667.14,665.21,0.353,0.299,2021-11-25,85.0,67.0,75.0,0.0,72.0,,
THOKARWADI,667.14,654.19,0.353,0.086,2022-06-09,24.0,20.0,25.0,0.0,72.0,,
THOKARWADI,667.14,664.22,0.353,0.273,2022-08-18,77.0,67.0,66.0,0.0,72.0,,
THOKARWADI,667.14,664.25,0.353,0.274,2021-11-16,78.0,68.0,76.0,0.0,72.0,,
THOKARWADI,667.14,664.98,0.353,0.293,2022-08-25,83.0,70.0,69.0,0.0,72.0,,
THOKARWADI,667.14,665.53,0.353,0.307,2023-09-06,87.0,84.0,75.0,0.0,72.0,,
THOKARWADI,667.14,656.94,0.353,0.126,2020-07-23,36,63,38,0.0,72.0,,
THOKARWADI,667.14,666.14,0.353,0.324,2022-11-10,2.0,7.0,74.0,0,72.0,,
THOKARWADI,667.14,660.78,0.353,0.195,2021-01-21,55,83,61,0.0,72.0,,
THOKARWADI,667.14,662.21,0.353,0.226,2021-08-05,64,40,56,0.0,72.0,,
THOKARWADI,667.14,658.1,0.353,0.145,2021-03-18,41,65,46,0.0,72.0,,
THOKARWADI,667.14,658.67,0.353,0.155,2023-05-04,44.0,35.0,35.0,0.0,72.0,,
THOKARWADI,667.14,664.28,0.353,0.275,2024-01-04,78.0,75.0,64.0,0.0,72.0,,
THOKARWADI,667.14,663.61,0.353,0.258,2020-09-24,73,100,82,0,72.0,,
THOKARWADI,667.14,656.72,0.353,0.123,2020-07-09,35,35,24,0.0,72.0,,
THOKARWADI,667.14,666.72,0.353,0.34,2023-10-19,96.0,96.0,82.0,0.0,72.0,,
THOKARWADI,667.14,653.1,0.353,0.071,2022-06-23,20.0,21.0,22.0,0.0,72.0,,
THOKARWADI,667.14,652.58,0.353,0.065,2021-06-17,18,36,24,0.0,72.0,,
THOKARWADI,667.14,653.46,0.353,0.076,2021-06-03,22,39,26,0.0,72.0,,
THOKARWADI,667.14,662.58,0.353,0.234,2021-08-12,66,48,62,0.0,72.0,,
THOKARWADI,667.14,661.48,0.353,0.21,2024-03-14,59.0,60.0,47.0,0.0,72.0,,
THOKARWADI,667.14,660.69,0.353,0.194,2024-03-28,55.0,56.0,46.0,0.0,72.0,,
THOKARWADI,667.14,664.8,0.353,0.288,2023-12-21,82.0,80.0,68.0,0.0,72.0,,
THOKARWADI,667.14,664.04,0.353,0.269,2024-01-11,76.0,74.0,65.0,0.0,72.0,,
THOKARWADI,667.14,658.31,0.353,0.149,2023-05-11,42.0,32.0,29.0,0.0,72.0,,
THOKARWADI,667.14,659.68,0.353,0.174,2022-03-17,49.0,42.0,47.0,0.0,72.0,,
THOKARWADI,667.14,667.06,0.353,0.35,2019-11-21,99,88,74,0.0,72.0,,
THOKARWADI,667.14,658.55,0.353,0.153,2020-05-21,43,39,32,0.0,72.0,,
THOKARWADI,667.14,659.16,0.353,0.164,2024-04-25,46.0,46.0,37.0,0.0,72.0,,
THOKARWADI,667.14,656.94,0.353,0.126,2020-07-30,36,67,46,0.0,72.0,,
THOKARWADI,667.14,665.9,0.353,0.317,2022-11-17,90.0,78.0,77.0,0.0,72.0,,
THOKARWADI,667.14,666.3,0.353,0.331,2022-11-03,4.0,0.0,80.0,0,72.0,,
THOKARWADI,667.14,666.9,0.353,0.346,2023-09-29,98.0,97.0,86.0,0.0,72.0,,
THOKARWADI,667.14,662.55,0.353,0.233,2022-01-06,66.0,58.0,62.0,0.0,72.0,,
THOKARWADI,667.14,662.33,0.353,0.229,2022-01-12,65.0,57.0,64.0,0.0,72.0,,
THOKARWADI,667.14,663.61,0.353,0.258,2020-10-01,73,100,82,0.0,72.0,,
THOKARWADI,667.14,666.2,0.353,0.326,2023-09-14,92.0,90.0,81.0,0.0,72.0,,
THOKARWADI,667.14,663.49,0.353,0.255,2020-10-15,72,100,82,0.0,72.0,,
THOKARWADI,667.14,663.4,0.353,0.253,2020-10-29,72,100,80,0.0,72.0,,
THOKARWADI,667.14,653.92,0.353,0.082,2021-05-27,23,41,28,0.0,72.0,,
THOKARWADI,667.14,659.59,0.353,0.172,2024-04-18,49.0,48.0,40.0,0.0,72.0,,
