NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TILAIYA,368.81,367.15,0.142,0.086,2020-12-17,61,88,70,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.95,0.142,0.028,2021-03-25,20,32,29,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,368.06,0.142,0.116,2023-10-26,82.0,65.0,90.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,369.56,0.142,0.142,2021-11-24,100.0,86.0,86.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.42,0.142,0.018,2022-06-09,13.0,27.0,20.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.26,0.142,0.015,2022-08-18,11.0,100.0,65.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,369.79,0.142,0.142,2021-11-18,100.0,90.0,87.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.67,0.142,0.023,2022-08-25,16.0,100.0,74.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.98,0.142,0.029,2023-09-05,20.0,21.0,75.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,367.03,0.142,0.082,2020-07-22,58,1,27,0.0,4.0,23.7452169,85.8300721
TILAIYA,367.31,0.142,0.0,1.0,2022-11-10,64.0,100.0,2.0,0,4.0,23.7452169,85.8300721
TILAIYA,368.81,365.71,0.142,0.045,2021-01-21,32,85,51,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,369.19,0.142,0.142,2021-08-05,100,63,50,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,365.01,0.142,0.029,2021-03-18,20,32,30,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.61,0.142,0.021,2023-05-04,15.0,15.0,19.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,367.04,0.142,0.082,2024-01-04,58.0,59.0,66.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,368.84,0.142,0.141,2020-09-24,99,36,77,0,4.0,23.7452169,85.8300721
TILAIYA,368.81,368.04,0.142,0.116,2023-10-19,82.0,65.0,91.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.29,0.142,0.015,2022-06-23,11.0,51.0,23.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,365.63,0.142,0.043,2021-06-17,30,25,18,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,365.49,0.142,0.04,2021-06-03,28,25,18,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,369.88,0.142,0.142,2021-08-12,100,61,56,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.74,0.142,0.024,2024-03-14,17.0,19.0,31.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,364.65,0.142,0.022,2024-03-28,15.0,20.0,27.0,0.0,4.0,23.7452169,85.8300721
TILAIYA,368.81,367.55,0.142,0.1,2023-12-21,70.0,61.0,74.0,0.0,4.0,23.7452169,85.8300721
