NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TILLARI,113.2,109.59,0.447,0.391,2020-12-17,87,94,87,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,101.94,0.447,0.283,2021-03-25,63,71,60,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,109.29,0.447,0.387,2020-02-06,87,59,73,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,111.79,0.447,0.425,2023-10-26,95.0,96.0,95.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,112.25,0.447,0.433,2021-11-25,97.0,93.0,90.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,99.0,0.447,0.246,2022-06-09,55.0,49.0,38.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,107.85,0.447,0.365,2022-08-18,82.0,80.0,88.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,112.35,0.447,0.434,2021-11-18,97.0,95.0,91.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,107.65,0.447,0.362,2022-08-25,81.0,81.0,89.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,107.75,0.447,0.364,2023-09-06,81.0,83.0,91.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,107.34,0.447,0.358,2020-07-23,80,35,74,21.26,10.0,15.8084943,74.1968244
TILLARI,113.20,111.45,0.447,0.42,2022-11-10,4.0,8.0,3.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,105.88,0.447,0.337,2021-01-21,75,89,77,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,108.1,0.447,0.369,2021-08-05,83,90,80,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,102.52,0.447,0.29,2021-03-18,65,73,62,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,93.2,0.447,0.18,2023-05-04,40.0,63.0,48.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,110.14,0.447,0.4,2023-12-28,89.0,93.0,82.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,110.4,0.447,0.416,2020-09-24,93,94,96,21,10.0,15.8084943,74.1968244
TILLARI,113.2,107.7,0.447,0.363,2020-07-09,81,35,57,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,112.29,0.447,0.433,2023-10-19,97.0,96.0,96.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,98.14,0.447,0.235,2022-06-23,53.0,79.0,42.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,100.25,0.447,0.261,2021-06-17,58,52,39,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,96.76,0.447,0.219,2021-06-03,49,49,39,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,107.38,0.447,0.358,2021-08-12,80,83,81,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,99.53,0.447,0.252,2024-03-14,56.0,59.0,58.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,97.02,0.447,0.222,2024-03-28,50.0,53.0,54.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,110.16,0.447,0.4,2023-12-21,89.0,94.0,84.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,109.12,0.447,0.384,2024-01-11,86.0,87.0,75.0,21.26,10.0,15.8084943,74.1968244
TILLARI,113.2,92.1,0.447,0.169,2023-05-11,38.0,61.0,45.0,21.26,10.0,15.8084943,74.1968244
