NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
TUNGABHADRA,497.74,489.31,3.276,0.768,2016-10-27,23,55,81,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,495.81,3.276,2.217,2020-12-17,68,71,49,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,493.7,3.276,1.63,2015-07-23,50,39,55,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,496.47,3.276,2.424,2018-10-04,74,66,77,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,478.19,3.276,0.026,2017-06-08,1,13,12,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,486.16,3.276,0.4,2021-03-25,12,11,9,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,492.25,3.276,1.295,2020-02-06,40,16,25,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,494.54,3.276,1.849,2017-08-31,56,44,82,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,490.63,3.276,1.046,2023-10-26,32.0,91.0,74.0,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,479.55,3.276,0.054,2016-05-12,2,19,5,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,481.4,3.276,0.111,2018-05-31,3,1,9,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,484.06,3.276,0.241,2016-12-21,7,24,57,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,497.74,3.276,2.856,2021-11-25,87.0,74.0,57.0,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,491.42,3.276,1.13,2022-06-09,34.0,9.0,11.0,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,497.74,3.276,2.996,2022-08-17,91.0,87.0,74.0,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,497.74,3.276,2.856,2021-11-18,87.0,79.0,61.0,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,497.67,3.276,2.969,2022-08-25,91.0,86.0,76.0,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,494.95,3.276,2.06,2023-09-06,63.0,90.0,78.0,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,480.69,3.276,0.086,2018-05-24,3,1,9,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,490.78,3.276,1.007,2020-07-23,31,15,43,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,491.18,3.276,1.081,2015-12-03,33,74,70,529,72,15.3444252,76.4933824
TUNGABHADRA,4,7.41,3.276,2.874,2022-11-10,88.0,85.0,66.0,52,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,493.28,3.276,1.527,2021-01-21,47,49,32,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,497.44,3.276,2.748,2021-08-05,84,34,56,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,489.76,3.276,0.836,2015-12-17,26,68,64,529,72,15.3444252,76.4933824
TUNGABHADRA,497.74,487.48,3.276,0.533,2021-03-18,16,15,11,529.0,72.0,15.3444252,76.4933824
TUNGABHADRA,497.74,493.58,3.276,1.601,2017-08-24,49,46,81,529,72,15.3444252,76.4933824
