NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UKAI,105.16,104.31,6.615,6.235,2016-10-26,94,70,82,348,300,22.8939198,77.8148905291473
UKAI,105.16,103.74,6.615,5.904,2020-12-17,89,96,67,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,90.91,6.615,1.233,2015-07-23,19,21,34,348,300,22.8939198,77.8148905291473
UKAI,105.16,97.12,6.615,2.868,2018-10-04,43,52,80,348,300,22.8939198,77.8148905291473
UKAI,105.16,94.29,6.615,1.909,2017-06-08,29,9,21,348,300,22.8939198,77.8148905291473
UKAI,105.16,100.43,6.615,4.227,2021-03-25,64,71,46,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,103.38,6.615,5.705,2020-02-06,86,25,55,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.88,6.615,2.782,2017-08-31,42,76,68,348,300,22.8939198,77.8148905291473
UKAI,105.16,104.76,6.615,6.498,2023-10-26,98.0,100.0,81.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,89.89,6.615,1.039,2016-05-12,16,25,32,348,300,22.8939198,77.8148905291473
UKAI,105.16,88.3,6.615,0.769,2018-05-30,12,32,24,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.46,6.615,5.217,2016-12-20,79,54,69,348,300,22.8939198,77.8148905291473
UKAI,105.16,104.67,6.615,6.443,2021-11-24,97.0,95.0,75.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.82,6.615,2.76,2022-06-09,42.0,38.0,23.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,102.29,6.615,5.129,2022-08-18,78.0,56.0,63.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,104.83,6.615,6.538,2021-11-17,99.0,97.0,76.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,102.44,6.615,5.208,2022-08-25,79.0,62.0,65.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,101.99,6.615,4.975,2023-09-06,75.0,83.0,72.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,88.76,6.615,0.845,2018-05-24,13,34,26,348,300,22.8939198,77.8148905291473
UKAI,105.16,98.56,6.615,3.428,2020-07-23,52,4,27,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,99.67,6.615,3.895,2015-12-03,59,69,75,348,300,22.8939198,77.8148905291473
UKAI,105.16,105.16,6.615,6.615,2022-11-10,100.0,100.0,7.0,348,300.0,22.8939198,77.8148905291473
UKAI,105.16,103.38,6.615,5.704,2021-01-20,86,91,63,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,99.29,6.615,3.726,2021-08-05,56,61,48,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,99.1,6.615,3.643,2015-12-17,55,64,72,348,300,22.8939198,77.8148905291473
UKAI,105.16,100.77,6.615,4.385,2021-03-18,66,73,48,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.31,6.615,2.574,2017-08-24,39,76,65,348,300,22.8939198,77.8148905291473
UKAI,105.16,97.11,6.615,2.866,2018-10-11,43,51,81,348,300,22.8939198,77.8148905291473
UKAI,105.16,97.7,6.615,3.085,2023-05-04,47.0,54.0,35.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,103.12,6.615,5.37,2024-01-04,81.0,87.0,68.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.25,6.615,2.553,2016-07-28,39,24,41,348,300,22.8939198,77.8148905291473
UKAI,105.16,92.48,6.615,1.558,2016-07-14,24,20,30,348,300,22.8939198,77.8148905291473
UKAI,105.16,104.48,6.615,6.333,2020-09-24,96,98,81,348,300.0,22.8939198,77.8148905291473
UKAI,105.16,97.37,6.615,2.96,2020-07-09,45,3,20,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.81,6.615,2.756,2016-02-18,42,51,58,348,300,22.8939198,77.8148905291473
UKAI,105.16,105.0,6.615,6.615,2023-10-19,100.0,100.0,88.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,90.39,6.615,1.132,2016-05-05,17,26,34,348,300,22.8939198,77.8148905291473
UKAI,105.16,89.68,6.615,1.002,2019-04-11,15,24,39,348,300,22.8939198,77.8148905291473
UKAI,105.16,96.19,6.615,2.529,2022-06-23,38.0,35.0,23.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,102.63,6.615,5.306,2016-12-07,80,57,72,348,300,22.8939198,77.8148905291473
UKAI,105.16,89.78,6.615,1.019,2019-04-04,15,26,41,348,300,22.8939198,77.8148905291473
UKAI,105.16,95.69,6.615,2.356,2021-06-17,36,43,22,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.6,6.615,2.679,2021-06-03,40,45,24,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,97.48,6.615,3.001,2017-04-27,45,30,36,348,300,22.8939198,77.8148905291473
UKAI,105.16,96.41,6.615,2.612,2016-02-25,39,49,56,348,300,22.8939198,77.8148905291473
UKAI,105.16,99.26,6.615,3.715,2021-08-12,56,65,62,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,100.5,6.615,4.256,2024-03-13,64.0,66.0,50.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,99.59,6.615,3.859,2024-03-28,58.0,62.0,50.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,93.96,6.615,1.847,2017-06-20,28,8,19,348,300,22.8939198,77.8148905291473
UKAI,105.16,103.32,6.615,5.474,2023-12-21,83.0,89.0,72.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,103.08,6.615,5.545,2024-01-10,84.0,86.0,67.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,97.32,6.615,2.941,2023-05-10,44.0,51.0,31.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,91.75,6.615,1.401,2015-07-09,21,22,28,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.32,6.615,5.142,2015-09-30,78,88,87,348,300,22.8939198,77.8148905291473
UKAI,105.16,93.18,6.615,1.704,2019-01-24,26,39,60,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.41,6.615,5.192,2019-08-14,78,21,56,348,300,22.8939198,77.8148905291473
UKAI,105.16,98.73,6.615,3.497,2017-11-02,53,93,81,348,300,22.8939198,77.8148905291473
UKAI,105.16,97.84,6.615,3.141,2017-11-16,47,88,77,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.0,6.615,4.979,2022-03-16,75.0,66.0,49.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,105.14,6.615,6.615,2019-11-21,100,35,69,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,98.19,6.615,3.281,2020-05-21,50,5,24,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,101.18,6.615,4.58,2015-10-28,69,79,83,348,300,22.8939198,77.8148905291473
UKAI,105.16,101.74,6.615,4.851,2015-10-14,73,84,87,348,300,22.8939198,77.8148905291473
UKAI,105.16,94.56,6.615,1.971,2018-12-13,30,43,67,348,300,22.8939198,77.8148905291473
UKAI,105.16,97.68,6.615,3.077,2024-04-24,47.0,51.0,40.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,99.28,6.615,3.724,2020-07-30,56,8,37,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,104.85,6.615,6.548,2022-11-16,99.0,99.0,78.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,100.11,6.615,4.088,2017-03-15,62,33,49,348,300,22.8939198,77.8148905291473
UKAI,105.16,101.04,6.615,4.517,2017-02-27,68,39,53,348,300,22.8939198,77.8148905291473
UKAI,105.16,99.31,6.615,3.736,2015-12-10,56,66,74,348,300,22.8939198,77.8148905291473
UKAI,105.16,105.15,6.615,6.615,2022-11-01,100.0,100.0,85.0,348,300.0,22.8939198,77.8148905291473
UKAI,105.16,104.91,6.615,6.586,2023-09-29,100.0,100.0,83.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,103.89,6.615,5.991,2022-01-05,91.0,87.0,66.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,103.85,6.615,5.968,2022-01-12,90.0,87.0,66.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,105.16,6.615,6.615,2020-10-01,100,100,82,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,101.99,6.615,4.975,2023-09-06,75.0,83.0,72.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,105.16,6.615,6.615,2020-10-15,100,100,81,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,105.16,6.615,6.615,2020-10-29,100,100,80,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,90.29,6.615,1.115,2019-03-20,17,29,45,348,300,22.8939198,77.8148905291473
UKAI,105.16,96.83,6.615,2.761,2021-05-27,42,48,25,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,98.35,6.615,3.344,2024-04-16,51.0,54.0,40.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,95.16,6.615,2.176,2018-12-06,33,45,68,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.0,6.615,4.979,2016-09-14,75,70,78,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.32,6.615,5.145,2017-01-09,78,51,66,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.09,6.615,5.022,2016-09-01,76,73,68,348,300,22.8939198,77.8148905291473
UKAI,105.16,103.26,6.615,5.642,2016-09-29,85,78,86,348,300,22.8939198,77.8148905291473
UKAI,105.16,104.45,6.615,6.315,2016-10-20,95,72,82,348,300,22.8939198,77.8148905291473
UKAI,105.16,93.49,6.615,1.761,2015-07-30,27,59,44,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.54,6.615,5.26,2023-02-09,80.0,87.0,63.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,102.81,6.615,5.401,2019-08-28,82,39,62,348,300,22.8939198,77.8148905291473
UKAI,105.16,93.08,6.615,1.685,2019-01-31,25,38,59,348,300,22.8939198,77.8148905291473
UKAI,105.16,96.82,6.615,2.759,2018-09-20,42,48,77,348,300,22.8939198,77.8148905291473
UKAI,105.16,90.11,6.615,1.08,2018-07-19,16,27,27,348,300,22.8939198,77.8148905291473
UKAI,105.16,84.57,6.615,0.254,2019-06-06,4,11,21,348,300,22.8939198,77.8148905291473
UKAI,105.16,101.95,6.615,4.953,2023-02-21,75.0,81.0,59.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,102.44,6.615,5.205,2015-09-23,79,90,86,348,300,22.8939198,77.8148905291473
UKAI,105.16,99.08,6.615,3.633,2021-04-15,55,63,40,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,86.57,6.615,0.515,2016-07-05,8,22,24,348,300,22.8939198,77.8148905291473
UKAI,105.16,100.22,6.615,4.135,2021-03-30,63,71,45,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,98.2,6.615,3.283,2021-04-29,50,58,36,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,100.87,6.615,4.435,2024-03-07,67.0,70.0,55.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.08,6.615,2.491,2021-06-10,38,44,22,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,98.03,6.615,3.215,2017-04-20,49,22,37,348,300,22.8939198,77.8148905291473
UKAI,105.16,96.17,6.615,2.523,2018-02-01,38,76,62,348,300,22.8939198,77.8148905291473
UKAI,105.16,95.96,6.615,2.449,2018-02-15,37,74,58,348,300,22.8939198,77.8148905291473
UKAI,105.16,94.46,6.615,1.941,2023-07-13,29.0,57.0,28.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,96.11,6.615,2.502,2022-06-30,38.0,36.0,21.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,94.2,6.615,1.893,2023-07-06,29.0,38.0,25.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,92.47,6.615,1.556,2019-02-28,24,31,49,348,300,22.8939198,77.8148905291473
UKAI,105.16,84.39,6.615,0.233,2019-06-13,4,10,20,348,300,22.8939198,77.8148905291473
UKAI,105.16,95.86,6.615,2.412,2021-07-22,36,52,30,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,95.55,6.615,2.308,2016-03-10,35,45,52,348,300,22.8939198,77.8148905291473
UKAI,105.16,92.55,6.615,1.574,2018-04-12,24,52,40,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.28,6.615,5.119,2023-08-24,77.0,79.0,65.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,104.39,6.615,6.281,2019-09-19,95,42,73,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,103.9,6.615,5.996,2016-11-10,91,65,78,348,300,22.8939198,77.8148905291473
UKAI,105.16,105.17,6.615,6.615,2019-10-10,100,43,77,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,101.69,6.615,4.83,2020-03-19,73,17,43,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,98.44,6.615,3.379,2016-01-13,51,61,67,348,300,22.8939198,77.8148905291473
UKAI,105.16,103.69,6.615,5.875,2022-12-22,89.0,94.0,69.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,97.25,6.615,2.917,2017-09-07,44,77,73,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.14,6.615,5.048,2016-08-23,76,75,65,348,300,22.8939198,77.8148905291473
UKAI,105.16,86.96,6.615,0.57,2016-06-08,9,16,23,348,300,22.8939198,77.8148905291473
UKAI,105.16,98.14,6.615,3.26,2016-01-27,49,58,64,348,300,22.8939198,77.8148905291473
UKAI,105.16,102.08,6.615,5.016,2016-08-18,76,74,64,348,300,22.8939198,77.8148905291473
UKAI,105.16,100.46,6.615,4.239,2015-11-17,64,73,79,348,300,22.8939198,77.8148905291473
UKAI,105.16,104.48,6.615,6.333,2021-12-16,96.0,89.0,69.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,98.82,6.615,3.53,2017-10-24,53,95,81,348,300,22.8939198,77.8148905291473
UKAI,105.16,104.59,6.615,6.399,2021-12-01,97.0,93.0,71.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,98.57,6.615,3.341,2022-05-12,51.0,44.0,31.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,95.2,6.615,2.187,2023-06-08,33.0,42.0,25.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,105.16,6.615,6.615,2021-10-07,100,100,83,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,102.29,6.615,5.128,2023-08-31,78.0,79.0,68.0,348.0,300.0,22.8939198,77.8148905291473
UKAI,105.16,84.74,6.615,0.276,2019-05-30,4,12,23,348,300,22.8939198,77.8148905291473
