NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UMRONG,609.6,603.85,0.159,0.066,2023-10-26,42.0,19.0,59.0,0.0,200.0,,
UMRONG,609.6,605.4,0.159,0.084,2023-09-06,53.0,19.0,72.0,0.0,200.0,,
UMRONG,609.6,607.15,0.159,0.105,2023-12-28,66.0,0.0,28.0,0.0,200.0,,
UMRONG,609.6,604.15,0.159,0.07,2023-10-19,44.0,19.0,62.0,0.0,200.0,,
UMRONG,609.6,607.45,0.159,0.109,2024-03-14,69.0,0.0,13.0,0.0,200.0,,
UMRONG,609.6,607.0,0.159,0.103,2024-03-28,65.0,0.0,13.0,0.0,200.0,,
UMRONG,609.6,606.45,0.159,0.096,2023-12-21,60.0,2.0,33.0,0.0,200.0,,
UMRONG,609.6,607.8,0.159,0.114,2024-01-11,72.0,0.0,23.0,0.0,200.0,,
UMRONG,609.6,608.0,0.159,0.117,2024-04-24,74.0,11.0,28.0,0.0,200.0,,
UMRONG,609.6,604.75,0.159,0.076,2023-09-29,48.0,19.0,70.0,0.0,200.0,,
UMRONG,609.6,605.25,0.159,0.082,2023-09-14,52.0,19.0,71.0,0.0,200.0,,
UMRONG,609.6,608.1,0.159,0.118,2024-04-18,74.0,11.0,23.0,0.0,200.0,,
UMRONG,609.6,607.65,0.159,0.112,2024-03-07,70.0,0.0,13.0,0.0,200.0,,
UMRONG,609.6,605.4,0.159,0.101,2023-08-31,64.0,19.0,70.0,0.0,200.0,,
UMRONG,609.6,608.6,0.159,0.125,2024-02-08,79.0,0.0,14.0,0.0,200.0,,
UMRONG,609.6,608.1,0.159,0.118,2024-02-22,74.0,0.0,11.0,0.0,200.0,,
UMRONG,609.6,608.35,0.159,0.121,2024-05-16,76.0,13.0,36.0,0.0,200.0,,
UMRONG,609.6,608.55,0.159,0.124,2024-05-02,78.0,13.0,31.0,0.0,200.0,,
UMRONG,609.6,603.4,0.159,0.062,2023-11-02,39.0,19.0,57.0,0.0,200.0,,
UMRONG,609.6,603.35,0.159,0.061,2023-11-16,38.0,19.0,57.0,0.0,200.0,,
UMRONG,609.6,608.55,0.159,0.124,2024-05-09,78.0,13.0,35.0,0.0,200.0,,
UMRONG,609.6,604.6,0.159,0.075,2023-11-30,47.0,28.0,52.0,0.0,200.0,,
UMRONG,609.6,607.85,0.159,0.115,2024-02-29,72.0,0.0,12.0,0.0,200.0,,
UMRONG,609.6,608.35,0.159,0.121,2024-02-15,76.0,0.0,13.0,0.0,200.0,,
UMRONG,609.6,608.8,0.159,0.127,2024-02-01,80.0,0.0,16.0,0.0,200.0,,
UMRONG,609.6,603.35,0.159,0.061,2023-11-16,38.0,19.0,57.0,0.0,200.0,,
UMRONG,609.6,608.8,0.159,0.127,2024-05-30,80.0,13.0,38.0,0.0,200.0,,
UMRONG,609.6,608.35,0.159,0.121,2024-05-24,76.0,13.0,39.0,0.0,200.0,,
UMRONG,609.6,602.7,0.159,0.055,2023-11-09,35.0,19.0,55.0,0.0,200.0,,
UMRONG,609.6,608.25,0.159,0.12,2024-06-13,75.0,13.0,42.0,0.0,200.0,,
UMRONG,609.6,604.25,0.159,0.071,2023-10-12,45.0,20.0,64.0,0.0,200.0,,
UMRONG,609.6,600.45,0.159,0.123,2024-06-05,77.0,13.0,43.0,0.0,200.0,,
UMRONG,609.6,608.25,0.159,0.12,2024-01-25,75.0,0.0,18.0,0.0,200.0,,
UMRONG,609.6,604.5,0.159,0.074,2023-10-05,47.0,20.0,69.0,0.0,200.0,,
UMRONG,609.6,607.2,0.159,0.106,2024-03-21,67.0,0.0,13.0,0.0,200.0,,
UMRONG,609.6,607.15,0.159,0.105,2023-12-28,66.0,0.0,28.0,0.0,200.0,,
UMRONG,609.6,605.95,0.159,0.09,2023-12-14,57.0,6.0,38.0,0.0,200.0,,
UMRONG,609.6,607.8,0.159,0.114,2024-01-11,72.0,0.0,23.0,0.0,200.0,,
UMRONG,609.6,606.8,0.159,0.101,2024-04-04,64.0,0.0,15.0,0.0,200.0,,
UMRONG,609.6,605.0,0.159,0.079,2023-09-21,50.0,19.0,71.0,0.0,200.0,,
UMRONG,609.6,605.15,0.159,0.081,2023-12-07,51.0,14.0,44.0,0.0,200.0,,
UMRONG,609.6,607.45,0.159,0.109,2024-04-12,69.0,0.0,18.0,0.0,200.0,,
