NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
UND-I,98.0,97.51,0.066,0.059,2020-12-16,89,100,52,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,95.38,0.066,0.033,2021-03-25,50,59,26,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,97.43,0.066,0.048,2020-02-05,73,0,12,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,97.96,0.066,0.065,2023-10-26,98.0,100.0,59.0,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,97.91,0.066,0.065,2021-11-24,98.0,95.0,73.0,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,91.83,0.066,0.005,2022-06-09,8.0,9.0,5.0,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,96.72,0.066,0.048,2022-08-18,73.0,42.0,45.0,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,97.95,0.066,0.065,2021-11-17,98.0,98.0,74.0,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,96.72,0.066,0.048,2022-08-25,73.0,38.0,32.0,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,97.67,0.066,0.061,2023-09-06,92.0,80.0,44.0,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,97.5,0.066,0.059,2020-07-23,89,0,20,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,96.77,0.066,0.049,2021-01-21,74,86,61,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,95.19,0.066,0.031,2021-08-05,47,89,29,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,95.59,0.066,0.035,2021-03-18,53,59,30,9.9,0.0,70.4041489333127,22.4058292326195
UND-I,98.0,93.68,0.066,0.017,2023-05-04,26.0,20.0,17.0,9.9,0.0,70.4041489333127,22.4058292326195
